MIS,Top Depth (m),Bottom Depth (m),Top Age (kyr),Bottom Age (kyr),Duration (kyr),Thickness (cm),Sedimentation Rate (cm/kyr)
1,0.0,0.14,0.0,14.0,14.0,14.000000000000002,1.0000000000000002
2,0.14,1.0700000000000005,14.0,29.0,15.0,93.00000000000004,6.200000000000003
3,1.0700000000000005,1.865,29.0,57.0,28.0,79.49999999999994,2.839285714285712
4,1.865,2.2800000000000002,57.0,71.0,14.0,41.50000000000003,2.964285714285716
5,2.2800000000000002,4.1,71.0,130.0,59.0,181.99999999999994,3.0847457627118633
6,4.1,6.221999999999957,130.0,191.0,61.0,212.19999999999573,3.478688524590094
7,6.221999999999957,8.3,191.0,243.0,52.0,190.8000000000044,3.6692307692308535
8,8.3,11.129999999999944,243.0,300.0,57.0,299.9999999999943,5.263157894736742
9,11.129999999999944,12.2,300.0,337.0,37.0,116.00000000000551,3.1351351351352843
10,12.2,15.595999999999938,337.0,374.0,37.0,330.5999999999939,8.93513513513497
11,15.595999999999938,17.05,374.0,424.0,50.0,145.4000000000063,2.9080000000001256
12,17.05,20.393000000000463,424.0,478.0,54.0,334.30000000004617,6.190740740741596
13,20.393000000000463,22.94,478.0,531.0,53.0,254.6999999999539,4.80566037735762
14,22.94,24.4680000000002,531.0,563.0,32.0,152.80000000001976,4.775000000000618
15,24.4680000000002,26.73,563.0,621.0,58.0,226.19999999998015,3.899999999999658
16,26.73,28.724000000000274,621.0,676.0,55.0,199.40000000002732,3.625454545455042
17,28.724000000000274,29.67,676.0,712.0,36.0,94.5999999999728,2.627777777777022
18,29.67,31.8440000000003,712.0,761.0,49.0,217.4000000000298,4.436734693878159
19,31.8440000000003,32.11,761.0,790.0,29.0,26.59999999996998,0.9172413793093097
20,32.11,33.48599999999983,790.0,814.0,24.0,137.5999999999827,5.733333333332613
21,33.48599999999983,34.94,814.0,866.0,52.0,145.40000000001712,2.7961538461541755
22,34.94,36.22399999999981,866.0,900.0,34.0,128.39999999998142,3.776470588234748
23,36.22399999999981,36.65,900.0,917.0,17.0,42.60000000001867,2.5058823529422747
24,36.65,37.79399999999982,917.0,936.0,19.0,114.39999999998207,6.021052631578004
25,37.79399999999982,38.82,936.0,959.0,23.0,102.6000000000181,4.460869565218178
26,38.82,39.54399999999993,959.0,970.0,11.0,72.39999999999327,6.58181818181757
27,39.54399999999993,40.2,970.0,982.0,12.0,65.60000000000699,5.4666666666672485
28,40.2,41.86399999999974,982.0,1014.0,32.0,166.39999999997386,5.199999999999183
29,41.86399999999974,42.41,1014.0,1031.0,17.0,54.60000000002552,3.211764705883854
30,42.41,44.04899999999972,1031.0,1062.0,31.0,163.89999999997258,5.287096774192664
31,44.04899999999972,44.74,1062.0,1081.0,19.0,69.10000000002796,3.6368421052646296
32,44.74,45.80939999999993,1081.0,1104.0,23.0,106.93999999999306,4.649565217391003
33,45.80939999999993,46.08,1104.0,1114.0,10.0,27.060000000006568,2.7060000000006568
34,46.08,47.380999999999844,1114.0,1141.0,27.0,130.09999999998456,4.818518518517947
