Top Depth CCSF (m),Exp,Site,Hole,Core,Type,Section,Top Offset (cm),Bottom Offset (cm),Bottom Depth CCSF (m),Thickness (cm),Label,N,N (new),SectionLabel
0.202,361,U1474,A,1,H,1,20.2,22.5,0.225,2.3,0,0,1201,U1474A_1H1
0.226,361,U1474,A,1,H,1,22.6,24.8,0.248,2.2,0,1,263,U1474A_1H1
0.497,361,U1474,A,1,H,1,49.7,51.7,0.517,2,0,2,1043,U1474A_1H1
0.523,361,U1474,A,1,H,1,52.3,54.1,0.541,1.8,3,3,1021,U1474A_1H1
0.542,361,U1474,A,1,H,1,54.2,54.6,0.546,0.4,0,4,1092,U1474A_1H1
0.548,361,U1474,A,1,H,1,54.8,55.7,0.557,0.9,3,5,758,U1474A_1H1
0.558,361,U1474,A,1,H,1,55.8,56.4,0.564,0.6,4,6,1036,U1474A_1H1
0.565,361,U1474,A,1,H,1,56.5,56.8,0.568,0.3,4,7,177,U1474A_1H1
0.571,361,U1474,A,1,H,1,57.1,57.4,0.574,0.3,4,8,1075,U1474A_1H1
0.58,361,U1474,A,1,H,1,58,59.1,0.591,1.1,4,9,539,U1474A_1H1
1.413,361,U1474,A,1,H,1,141.3,142.6,1.426,1.3,4,10,741,U1474A_1H1
1.453,361,U1474,A,1,H,1,145.3,145.7,1.457,0.4,2,11,289,U1474A_1H1
1.461,361,U1474,A,1,H,1,146.1,146.7,1.467,0.6,2,12,35,U1474A_1H1
2.848,361,U1474,A,1,H,2,134.8,138,2.88,3.2,0,13,1292,U1474A_1H2
2.989,361,U1474,A,1,H,2,-1.1,0.6,3.006,1.7,0,14,1003,U1474A_1H2
3.058,361,U1474,A,1,H,3,5.8,9.6,3.096,3.8,0,15,1248,U1474A_1H3
3.099,361,U1474,A,1,H,3,9.9,13.9,3.139,4,0,16,1093,U1474A_1H3
3.14,361,U1474,A,1,H,3,14,19.7,3.197,5.7,0,17,272,U1474A_1H3
3.746,361,U1474,A,1,H,3,74.6,74.9,3.749,0.3,0,18,1068,U1474A_1H3
3.949,361,U1474,A,1,H,3,94.9,95.5,3.955,0.6,0,19,906,U1474A_1H3
4.018,361,U1474,A,1,H,4,0.8,2.1,4.031,1.3,0,20,535,U1474A_1H4
4.096,361,U1474,A,1,H,4,8.6,10,4.11,1.4,0,21,800,U1474A_1H4
4.111,361,U1474,A,1,H,4,10.1,12.7,4.137,2.6,0,22,621,U1474A_1H4
4.139,361,U1474,A,1,H,4,12.9,14.1,4.151,1.2,0,23,449,U1474A_1H4
4.177,361,U1474,A,1,H,4,16.7,17,4.18,0.3,2,24,467,U1474A_1H4
4.18,361,U1474,A,1,H,4,17.1,20,4.195,2.9,4,25,1221,U1474A_1H4
4.211,361,U1474,A,1,H,4,20.1,23.8,4.248,3.7,0,26,119,U1474A_1H4
4.249,361,U1474,A,1,H,4,23.9,24.6,4.256,0.7,0,27,1032,U1474A_1H4
4.265,361,U1474,A,1,H,4,25.5,27.6,4.286,2.1,0,28,98,U1474A_1H4
4.294,361,U1474,A,1,H,4,28.4,31.2,4.322,2.8,3,29,201,U1474A_1H4
4.441,361,U1474,A,1,H,4,43.1,43.7,4.447,0.6,0,30,859,U1474A_1H4
4.461,361,U1474,A,1,H,4,45.1,45.9,4.469,0.8,0,31,1022,U1474A_1H4
5.219,361,U1474,A,2,H,1,131.7,132.5,5.227,0.8,3,32,200,U1474A_2H1
5.286,361,U1474,A,2,H,1,138.4,140.6,5.308,2.2,4,33,968,U1474A_2H1
6.279,361,U1474,A,2,H,2,87.7,88.1,6.283,0.4,4,34,460,U1474A_2H2
6.284,361,U1474,A,2,H,2,88.2,89.9,6.301,1.7,4,35,564,U1474A_2H2
7.035,361,U1474,A,2,H,3,13.3,13.6,7.038,0.3,0,36,5,U1474A_2H3
7.81,361,U1474,A,2,H,3,90.8,92.9,7.831,2.1,4,37,430,U1474A_2H3
7.833,361,U1474,A,2,H,3,93.1,94.7,7.849,1.6,1,38,923,U1474A_2H3
8.022,361,U1474,A,2,H,3,112,113.9,8.041,1.9,4,39,844,U1474A_2H3
8.041,361,U1474,A,2,H,3,113.9,114.4,8.046,0.5,0,40,450,U1474A_2H3
8.052,361,U1474,A,2,H,3,115,116.8,8.07,1.8,0,41,128,U1474A_2H3
8.071,361,U1474,A,2,H,3,116.9,119.1,8.093,2.2,1,42,1031,U1474A_2H3
8.094,361,U1474,A,2,H,3,119.2,119.6,8.098,0.4,3,43,518,U1474A_2H3
8.099,361,U1474,A,2,H,3,119.7,120,8.102,0.3,2,44,1247,U1474A_2H3
8.167,361,U1474,A,2,H,3,126.5,126.8,8.17,0.3,0,45,165,U1474A_2H3
8.319,361,U1474,A,2,H,3,141.7,142,8.322,0.3,1,46,207,U1474A_2H3
8.323,361,U1474,A,2,H,3,142.1,143.4,8.336,1.3,4,47,920,U1474A_2H3
8.383,361,U1474,A,2,H,3,148.1,149.1,8.393,1,0,48,408,U1474A_2H3
8.44,361,U1474,A,2,H,4,3.8,5,8.452,1.2,4,49,643,U1474A_2H4
8.507,361,U1474,A,2,H,4,10.5,11.5,8.517,1,3,50,452,U1474A_2H4
8.818,361,U1474,A,2,H,4,41.6,43,8.832,1.4,4,51,75,U1474A_2H4
8.835,361,U1474,A,2,H,4,43.3,44,8.842,0.7,3,52,842,U1474A_2H4
9.135,361,U1474,A,2,H,4,73.3,74.9,9.151,1.6,4,53,1195,U1474A_2H4
9.197,361,U1474,A,2,H,4,79.5,80.4,9.206,0.9,0,54,1191,U1474A_2H4
9.234,361,U1474,A,2,H,4,83.2,85.4,9.256,2.2,3,55,188,U1474A_2H4
9.257,361,U1474,A,2,H,4,85.5,90.4,9.306,4.9,4,56,872,U1474A_2H4
9.394,361,U1474,A,2,H,4,99.2,101.2,9.414,2,0,57,88,U1474A_2H4
9.464,361,U1474,A,2,H,4,106.2,108,9.482,1.8,3,58,103,U1474A_2H4
9.515,361,U1474,A,2,H,4,111.3,112.1,9.523,0.8,0,59,668,U1474A_2H4
9.524,361,U1474,A,2,H,4,112.2,112.6,9.528,0.4,0,60,768,U1474A_2H4
9.567,361,U1474,A,2,H,4,116.5,117.5,9.577,1,1,61,624,U1474A_2H4
9.58,361,U1474,A,2,H,4,117.8,118.9,9.591,1.1,2,62,1049,U1474A_2H4
9.622,361,U1474,A,2,H,4,122,123.1,9.633,1.1,1,63,773,U1474A_2H4
9.694,361,U1474,A,2,H,4,129.2,130.2,9.704,1,3,64,398,U1474A_2H4
10.302,361,U1474,A,2,H,5,40,40.6,10.308,0.6,2,65,438,U1474A_2H5
10.362,361,U1474,A,2,H,5,46,47.1,10.373,1.1,3,66,893,U1474A_2H5
10.621,361,U1474,A,2,H,5,71.9,73.1,10.633,1.2,4,67,148,U1474A_2H5
10.66,361,U1474,A,2,H,5,75.8,77.3,10.675,1.5,4,68,1317,U1474A_2H5
12.257,361,U1474,A,2,H,6,85.5,86.2,12.264,0.7,0,69,657,U1474A_2H6
12.279,361,U1474,A,2,H,6,87.7,88.7,12.289,1,1,70,1015,U1474A_2H6
12.29,361,U1474,A,2,H,6,88.8,89.3,12.295,0.5,0,71,306,U1474A_2H6
12.296,361,U1474,A,2,H,6,89.4,91.9,12.321,2.5,4,72,903,U1474A_2H6
12.815,361,U1474,A,2,H,7,20.3,21.4,12.826,1.1,4,73,682,U1474A_2H7
12.88,361,U1474,A,2,H,7,26.8,28,12.892,1.2,3,74,1091,U1474A_2H7
12.938,361,U1474,A,2,H,7,32.6,34.7,12.959,2.1,2,75,1185,U1474A_2H7
12.986,361,U1474,A,2,H,7,37.4,39,13.002,1.6,0,76,479,U1474A_2H7
13.011,361,U1474,A,2,H,7,39.9,41,13.022,1.1,0,77,481,U1474A_2H7
17.724,361,U1474,A,3,H,4,2.1,2.5,17.728,0.4,3,78,274,U1474A_3H4
18.243,361,U1474,A,3,H,4,54,54.6,18.249,0.6,1,79,1264,U1474A_3H4
18.35,361,U1474,A,3,H,4,64.7,66.9,18.372,2.2,0,80,269,U1474A_3H4
19.727,361,U1474,A,3,H,5,52.4,52.7,19.73,0.3,3,81,213,U1474A_3H5
20.404,361,U1474,A,3,H,5,120.1,120.5,20.408,0.4,3,82,166,U1474A_3H5
20.412,361,U1474,A,3,H,5,120.9,122.3,20.426,1.4,0,83,428,U1474A_3H5
20.428,361,U1474,A,3,H,5,122.5,127.7,20.48,5.2,0,84,1064,U1474A_3H5
21.593,361,U1474,A,3,H,6,89,89.6,21.599,0.6,4,85,113,U1474A_3H6
21.62,361,U1474,A,3,H,6,91.7,92.3,21.626,0.6,3,86,769,U1474A_3H6
21.635,361,U1474,A,3,H,6,93.2,93.5,21.638,0.3,0,87,1137,U1474A_3H6
21.639,361,U1474,A,3,H,6,93.6,94,21.643,0.4,0,88,530,U1474A_3H6
26.86,361,U1474,A,4,H,2,36.4,39.3,26.889,2.9,1,89,196,U1474A_4H2
26.909,361,U1474,A,4,H,2,41.3,42.6,26.922,1.3,0,90,746,U1474A_4H2
27.109,361,U1474,A,4,H,2,61.3,62.8,27.124,1.5,4,91,96,U1474A_4H2
27.13,361,U1474,A,4,H,2,63.4,64.3,27.139,0.9,1,92,521,U1474A_4H2
27.14,361,U1474,A,4,H,2,64.4,66.3,27.159,1.9,2,93,380,U1474A_4H2
27.161,361,U1474,A,4,H,2,66.5,67.3,27.169,0.8,1,94,232,U1474A_4H2
27.191,361,U1474,A,4,H,2,69.5,70.1,27.197,0.6,2,95,1143,U1474A_4H2
27.213,361,U1474,A,4,H,2,71.7,72.5,27.221,0.8,1,96,1160,U1474A_4H2
27.268,361,U1474,A,4,H,2,77.2,78.2,27.278,1,2,97,874,U1474A_4H2
27.402,361,U1474,A,4,H,2,90.6,92.5,27.421,1.9,3,98,1165,U1474A_4H2
