N (new),Era,Leg/Exp,Site,Hole,Latitude,Longitude,Water depth (m),CaCO3 (%),Oxygen (umol/L),Sed Rate (g/cm2/y),Code,Image Link,Filename,N,Label
2135,DSDP,1,1,*,25.8583,-92.1833,2827,,218.2052307,0.212545738,1-1-*,http://deepseadrilling.org/cores/leg001/1.1M.pdf,1.1M.pdf,0,0
629,DSDP,1,2,*,23.455,-92.5867,3572,,213.0361786,0.143917754,1-2-*,,,1,
2507,DSDP,1,3,*,23.03,-92.0433,3747,,218.9720001,0.160311282,1-3-*,,,2,
3269,DSDP,1,4,*,24.478,-73.792,5319,49.1,256.4351196,0.07223177,1-4-*,http://deepseadrilling.org/cores/leg001/4.1R.PDF,4.1R.PDF,3,9
3693,DSDP,1,4,*,24.478,-73.792,5319,49.1,256.4351196,0.07223177,1-4-*,http://deepseadrilling.org/cores/leg001/4.1R.PDF,4.1R.PDF,4,9
3128,DSDP,1,5,*,24.7265,-73.641,5354,7.3,256.4351196,0.071414277,1-5-*,http://deepseadrilling.org/cores/leg001/5.1R.PDF,5.1R.PDF,5,9
1043,DSDP,1,5,*,24.7265,-73.641,5354,7.3,256.4351196,0.071414277,1-5-*,http://deepseadrilling.org/cores/leg001/5.1R.PDF,5.1R.PDF,6,9
2229,DSDP,1,6,*,30.8398,-67.6477,5124,,257.7094116,0.06866914,1-6-*,,,7,
1116,DSDP,1,6,*,30.8398,-67.6477,5124,,257.7094116,0.06866914,1-6-*,,,8,
2307,DSDP,1,7,*,30.134,-68.2967,5182,56.4,257.4682007,0.069079548,1-7-*,http://deepseadrilling.org/cores/leg001/7.1R.PDF,7.1R.PDF,9,0
877,DSDP,1,7,*,30.134,-68.2967,5182,56.4,257.4682007,0.069079548,1-7-*,http://deepseadrilling.org/cores/leg001/7.1R.PDF,7.1R.PDF,10,0
507,DSDP,2,8,*,35.3833,-67.5533,5184,,257.7975464,0.064223163,2-8-*,,,11,
2558,DSDP,2,8,*,35.3833,-67.5533,5184,,257.7975464,0.064223163,2-8-*,,,12,
2299,DSDP,2,9,*,32.7733,-59.195,4973,,262.0440674,0.067639031,2-9-*,,,13,
1985,DSDP,2,9,*,32.7733,-59.195,4973,,262.0440674,0.067639031,2-9-*,,,14,
1049,DSDP,2,10,*,32.8622,-52.2153,4712,,257.914978,0.064797647,2-10-*,,,15,
982,DSDP,2,11,*,29.943,-44.7467,3571,,260.3764343,0.047695387,2-11-*,,,16,
1482,DSDP,2,11,*,29.943,-44.7467,3571,,260.3764343,0.047695387,2-11-*,,,17,
2467,DSDP,2,12,*,19.6955,-26.0005,4557,,245.1103058,0.055031478,2-12-*,,,18,
3365,DSDP,2,12,*,19.6955,-26.0005,4557,,245.1103058,0.055031478,2-12-*,,,19,
1637,DSDP,2,12,*,19.6955,-26.0005,4557,,245.1103058,0.055031478,2-12-*,,,20,
1415,DSDP,3,13,*,6.04,-18.2285,4585,63.6,243.5967865,0.055047531,3-13-*,http://deepseadrilling.org/cores/leg003/13.1R.PDF,13.1R.PDF,21,0
3708,DSDP,3,13,*,6.04,-18.2285,4585,63.6,243.5967865,0.055047531,3-13-*,http://deepseadrilling.org/cores/leg003/13.1R.PDF,13.1R.PDF,22,0
2410,DSDP,3,14,*,-28.3315,-20.941,4343,53,229.4698334,0.032767996,3-14-*,http://deepseadrilling.org/cores/leg003/14.1R.PDF,14.1R.PDF,23,0
36,DSDP,3,15,*,-30.8897,-17.9832,3927,80.8,236.6730499,0.038106807,3-15-*,http://deepseadrilling.org/cores/leg003/15.1R.PDF,15.1R.PDF,24,0
40,DSDP,3,16,*,-30.3358,-15.7132,3527,87.6,242.3178558,0.041968517,3-16-*,http://deepseadrilling.org/cores/leg003/16.1R.PDF,16.1R.PDF,25,0
452,DSDP,3,17,*,-28.0457,-6.6025,4265,83.8,233.123764,0.033837695,3-17-*,http://deepseadrilling.org/cores/leg003/17.1R.PDF,17.1R.PDF,26,0
1698,DSDP,3,17,*,-28.0457,-6.6025,4265,83.8,233.123764,0.033837695,3-17-*,http://deepseadrilling.org/cores/leg003/17.1R.PDF,17.1R.PDF,27,0
3154,DSDP,3,17,*,-28.0457,-6.6025,4265,83.8,233.123764,0.033837695,3-17-*,http://deepseadrilling.org/cores/leg003/17.1R.PDF,17.1R.PDF,28,0
3669,DSDP,3,18,*,-27.9787,-8.0117,4018,83.1,233.849472,0.035042401,3-18-*,http://deepseadrilling.org/cores/leg003/18.1R.PDF,18.1R.PDF,29,0
778,DSDP,3,19,*,-28.5347,-23.6772,4677,,226.6437073,0.032668654,3-19-*,http://deepseadrilling.org/cores/leg003/19.1R.PDF,19.1R.PDF,30,0
3802,DSDP,3,20,*,-28.5262,-26.843,4500,,225.5022278,0.034277432,3-20-*,,,31,
3415,DSDP,3,20,*,-28.5262,-26.843,4500,,225.5022278,0.034277432,3-20-*,,,32,
2974,DSDP,3,20,*,-28.5262,-26.843,4500,,225.5022278,0.034277432,3-20-*,,,33,
833,DSDP,3,20,*,-28.5262,-26.843,4500,,225.5022278,0.034277432,3-20-*,,,34,
362,DSDP,3,21,*,-28.585,-30.5975,2113,,230.0769043,0.037990373,3-21-*,,,35,
2320,DSDP,3,21,*,-28.585,-30.5975,2113,,230.0769043,0.037990373,3-21-*,,,36,
180,DSDP,3,22,*,-30.0052,-35.25,2134,78.3,229.0849915,0.041115396,3-22-*,http://deepseadrilling.org/cores/leg003/22.1R.PDF,22.1R.PDF,37,0
1524,DSDP,4,23,*,-6.1458,-31.0433,5079,2.2,223.6612091,0.041922994,4-23-*,http://deepseadrilling.org/cores/leg004/23.1R.PDF,23.1R.PDF,38,9
30,DSDP,4,24,*,-6.2717,-30.8922,5148,,223.2854462,0.040907215,4-24-*,,,39,
3261,DSDP,4,24,*,-6.2717,-30.8922,5148,,223.2854462,0.040907215,4-24-*,,,40,
2656,DSDP,4,25,*,-0.5167,-39.24,1916,63.3,257.1281128,0.065420546,4-25-*,http://deepseadrilling.org/cores/leg004/25.1R.PDF,25.1R.PDF,41,0
3562,DSDP,4,25,*,-0.5167,-39.24,1916,63.3,257.1281128,0.065420546,4-25-*,http://deepseadrilling.org/cores/leg004/25.1R.PDF,25.1R.PDF,42,0
31,DSDP,4,26,*,10.8925,-44.0428,5169,,241.480957,0.052225608,4-26-*,,,43,
948,DSDP,4,26,*,10.8925,-44.0428,5169,,241.480957,0.052225608,4-26-*,,,44,
1498,DSDP,4,27,*,15.8565,-56.8793,5251,,248.9457703,0.065663174,4-27-*,,,45,
