Depth CCSF (m),Age tie (Ma)
0,0
1.04,0.018
3.85,0.116
4.21,0.131
5.33,0.159
6.91,0.22
9.64,0.319
10.13,0.34
13.01,0.424
13.53,0.435
14.28,0.472
15.09,0.491
16.81,0.534
18.4,0.618
20.06,0.679
20.91,0.721
22.12,0.776
22.8,0.789
24.83,0.866
25.23,0.873
25.63,0.893
26.38,0.926
28.01,0.959
31.47,1.06
32.6,1.102
34.25,1.164
34.45,1.177
34.9,1.195
35.47,1.214
35.95,1.241
36.35,1.253
36.95,1.282
38,1.316
39.55,1.357
40.1,1.377
41.16,1.398
41.54,1.419
41.95,1.45
42.25,1.462
43.33,1.502
44.18,1.536
45.28,1.577
46.18,1.615
47.18,1.653
47.33,1.662
49.98,1.727
50.83,1.749
52.19,1.797
52.79,1.821
53.48,1.841
54.08,1.863
54.73,1.884
55.03,1.9
55.63,1.914
56.18,1.935
56.97,1.956
57.63,1.99
58.23,2.009
59.28,2.061
60.43,2.084
60.83,2.106
61.48,2.127
62.33,2.151
63.78,2.201
64.48,2.22
65.23,2.242
66.55,2.289
67.24,2.314
67.89,2.372
68.95,2.406
69.8,2.441
71.4,2.49
72.22,2.53
73.6,2.574
74.35,2.6
75.4,2.647
76.78,2.669
77.53,2.692
78.13,2.716
79.49,2.764
80.68,2.809
82.83,2.885
83.58,2.913
84.2,2.934
86.78,3.027
87.48,3.049
90.41,3.142
91.68,3.184
93.27,3.237
93.92,3.258
94.92,3.294
95.32,3.313
95.92,3.335
96.42,3.354
97.3,3.388
98.15,3.429
99.1,3.468
100.93,3.543
101.39,3.562
102.78,3.62
103.27,3.638
105.3,3.716
107.31,3.807
108.05,3.831
109.06,3.866
110.02,3.918
110.71,3.945
112.91,4.04
114.23,4.092
114.83,4.114
116.19,4.157
117.93,4.208
119.14,4.249
120.15,4.299
120.88,4.322
122.17,4.367
124.67,4.454
126.96,4.54
128.11,4.586
133.26,4.774
134.6,4.813
137.73,4.94
140.5,5.058
140.95,5.079
142.81,5.148
143.57,5.173
145.53,5.262
146.55,5.3
147.54,5.34
148.85,5.414
151.92,5.548
154.05,5.622
155.48,5.678
155.93,5.701
156.36,5.719
157.8,5.793
158.88,5.832
159.09,5.838
160.21,5.884
160.68,5.908
162.47,6.001
162.78,6.022
163.2,6.04
164.08,6.078
164.86,6.119
165.96,6.17
166.84,6.236
167.39,6.287
168.19,6.327
169.31,6.399
169.83,6.442
170.36,6.496
171.35,6.57
173.14,6.686
174.09,6.778
175.07,6.855
175.61,6.948
175.85,6.971
176.14,7.011
176.7,7.127
177.38,7.179
178.86,7.42
179.11,7.463
179.48,7.51
179.82,7.579
180.12,7.625
180.26,7.665
181.08,7.776
181.42,7.819
182.06,7.891
182.92,7.983
183.22,8.024
183.54,8.078
184.08,8.154
184.53,8.196
185.1,8.269
185.56,8.311
185.98,8.361
186.36,8.4
186.49,8.408
186.99,8.517
187.37,8.544
187.55,8.557
188.21,8.648
188.67,8.69
189.16,8.762
189.47,8.804
190.18,8.933
190.49,8.973
191.07,9.046
191.77,9.138
192.22,9.181
192.68,9.255
193.97,9.378
194.65,9.423
195.01,9.468
196.65,9.832
197.12,9.895
197.76,9.986
198.23,10.101
198.53,10.178
199.03,10.25
199.5,10.386
199.97,10.478
200.31,10.555
200.81,10.629
201.19,10.67
201.66,10.764
202.08,10.837
202.23,10.878
202.5,10.953
202.78,11.006
202.93,11.048
203.12,11.121
215.07,13.532
