/* DATA DESCRIPTION:
Citation:	Tiedemann, Ralf (1991): Stable isotopes measured on foraminifera from Site 108-659. PANGAEA, https://doi.org/10.1594/PANGAEA.194774
Related to:	Tiedemann, Ralf (1991): Acht Millionen Jahre Klimageschichte von Nordwest Afrika und Paläo-Ozeanographie des angrenzenden Atlantiks: Hochauflösende Zeitreihen von ODP-Sites 658-661. Berichte-Reports, Geologisch-Paläontologisches Institut der Universität Kiel, 46, 190 pp, https://doi.org/10.2312/reports-gpi.1991.46
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: 18.077200 * LONGITUDE: -21.026200
	DATE/TIME START: 1986-03-09T00:00:00 * DATE/TIME END: 1986-03-12T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.11 m * MAXIMUM DEPTH, sediment/rock: 139.21 m
Event(s):	108-659 * LATITUDE: 18.077200 * LONGITUDE: -21.026200 * DATE/TIME START: 1986-03-09T00:00:00 * DATE/TIME END: 1986-03-12T00:00:00 * ELEVATION: -3082.3 m * Penetration: 671.9 m * Recovery: 411.2 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Leg108 (URI: https://doi.org/10.2973/odp.proc.ir.108.1988) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 59 cores; 551.9 m cored; 0 m drilled; 74.5% recovery
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Depth, composite [mcd] (Depth comp) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Intercore correlation
	Sample code/label (Sample label) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globorotalia inflata, δ18O [‰ PDB] (G. inflata δ18O) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globorotalia inflata, δ13C [‰ PDB] (G. inflata δ13C) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globigerinoides sacculifer, δ18O [‰ PDB] (G. sacculifer δ18O) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globigerinoides sacculifer, δ13C [‰ PDB] (G. sacculifer δ13C) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	3625 data points
*/
Depth [m]	Age [ka BP]	Depth comp [mcd]	Sample label	C. wuellerstorfi δ18O [‰ PDB]	C. wuellerstorfi δ13C [‰ PDB]	G. inflata δ18O [‰ PDB]	G. inflata δ13C [‰ PDB]	G. sacculifer δ18O [‰ PDB]	G. sacculifer δ13C [‰ PDB]
0.11	2.0	0.11	108-659B-1H-1,9-12	2.27	0.83				
0.14	8.4	0.47	108-659A-1H-1,14	2.59	1.04	0.68	0.11		
0.22	3.9	0.22	108-659B-1H-1,20-24	2.52	1.14				
0.32	5.7	0.32	108-659B-1H-1,30-34	2.59	1.04				
0.55	9.8	0.55	108-659B-1H-1,53-57	2.56	0.87				
0.73	12.9	0.73	108-659B-1H-1,71-75	2.83	0.47				
0.73	18.0	1.03	108-659A-1H-1,70-75	4.18	0.11	1.93	0.10		
0.93	18.3	1.05	108-659A-1H-1,92-94	4.41	0.16	2.78	0.46		
1.04	23.9	1.32	108-659A-1H-1,102-105	4.29	0.40	2.05	0.23		
1.12	19.8	1.12	108-659B-1H-1,110-114	4.33	0.26				
1.31	29.5	1.59	108-659A-1H-1,130-132	3.66	0.61	1.47	0.17		
1.41	26.6	1.45	108-659C-1H-1,141	4.13	0.49	1.69	0.19		
1.42	32.8	1.67	108-659A-1H-1,141-143	3.90	0.61				
1.60	39.7	1.84	108-659A-1H-2,9-11	3.71	0.83				
1.64	41.3	1.88	108-659A-1H-2,14	3.74	0.66	1.78	0.32		
2.11	50.7	2.11	108-659B-1H-2,60-62	3.79	0.81	1.66	0.29		
2.12	52.8	2.16	108-659C-1H-2,62	3.78	0.46	1.51	0.12		
2.23	63.8	2.43	108-659B-1H-2,70-75	3.71	0.03	2.01	0.39		
2.43	65.0	2.46	108-659C-1H-2,92-94	4.12	0.31	2.51	0.70		
2.54	75.3	2.72	108-659A-1H-2,102-105	3.51	0.64	0.95	0.54		
2.81	84.1	2.94	108-659A-1H-2,130-132	3.61	0.59	1.22	0.36		
2.91	83.3	2.92	108-659C-1H-2,141	3.28	0.77	0.97	0.05		
3.14	94.9	3.21	108-659A-1H-3,14	3.21	0.91	1.08	0.16		
3.61	108.9	3.61	108-659B-1H-3,60-62			1.58	0.65		
3.62	110.0	3.65	108-659C-1H-3,62	3.23	0.56	1.51	0.45		
3.73	115.6	3.85	108-659A-1H-3,70-75	3.61	0.59	0.90	0.21		
3.93	117.9	3.93	108-659C-1H-3,92-94	2.58	0.94	0.43	0.11		
4.04	123.8	4.14	108-659A-1H-3,102-105	2.15	0.68	0.41	-0.42		
4.31	135.3	4.42	108-659A-1H-3,130-132	4.32	0.18	1.82	-0.18		
4.41	135.1	4.41	108-659C-1H-3,141	4.35	0.27	1.70	-0.40		
4.64	141.7	4.70	108-659A-1H-4,14	4.16	-0.18	2.06	-0.12		
5.11	152.6	5.18	108-659B-1H-4,60-62	4.43	0.19	2.22	0.89		
5.12	151.2	5.12	108-659C-1H-4,62	4.04	-0.07	2.10	-0.19		
5.23	156.1	5.26	108-659A-1H-4,7-75	4.14	-0.06	1.28	-0.51		
5.43	163.5	5.43	108-659C-1H-4,92-94	4.13	0.25	1.99	0.21		
5.54	168.3	5.54	108-659A-1H-4,102-104	3.89	0.35	1.76	-0.07		
5.81	180.1	5.81	108-659A-1H-4,130-132	3.86	0.01	1.80	-0.17		
5.91	184.5	5.91	108-659C-1H-4,141	3.80	-0.01	1.78	0.09		
6.14	194.6	6.14	108-659A-1H-5,14	3.31	0.71	0.84	-0.12		
6.62	215.5	6.62	108-659C-1H-5,62	2.77	0.78	1.19	0.30		
6.73	218.0	6.73	108-659A-1H-5,70-75	2.92	0.83	1.04	0.08		
6.93	222.4	6.93	108-659C-1H-5,92-94	3.56	-0.32	2.38	0.11		
7.04	224.9	7.04	108-659A-1H-5,102-104	4.08	0.13	2.34	0.27		
7.31	234.1	7.31	108-659A-1H-5,130-132	3.76	0.34	1.88	0.25		
7.41	237.5	7.41	108-659C-1H-5,141	2.99	0.29	1.28	0.29		
7.57	242.4	7.57	108-659C-1H-6,5-9	3.00	0.45				
7.73	246.7	7.73	108-659C-1H-6,21-25	3.72	0.33				
7.86	250.2	7.86	108-659C-1H-6,34-38	3.93	0.41				
7.98	253.4	7.98	108-659C-1H-6,46-49	4.03	0.18				
8.00	305.1	9.55	108-659A-2H-1,20	3.71	0.40	2.16	0.69		
8.12	25.9	8.12	108-659C-1H-6,62	3.77	0.24	1.73	-0.21		
8.25	264.0	8.25	108-659C-1H-6,73-76	4.16	0.17				
8.34	267.5	8.34	108-659C-1H-6,83-85	3.98	-0.06	1.81	-0.09		
