Age,n-alkanes MAR
(ka),(mg m-2 y-1)
0.80,9.12
1.44,5.64
2.08,5.02
5.27,4.76
8.46,4.06
18.07,12.93
22.14,21.66
22.95,22.98
26.21,40.28
30.28,27.18
31.91,22.43
32.73,28.16
34.36,18.52
45.06,14.57
48.44,10.64
49.57,14.46
55.21,15.50
59.72,26.35
63.07,17.30
65.23,34.80
67.82,35.23
68.25,28.38
76.00,10.41
80.38,5.98
83.29,6.14
86.35,10.71
90.18,3.89
97.10,5.97
112.06,3.86
124.01,2.23
127.85,1.87
133.65,4.70
137.77,7.05
142.13,11.37
143.59,32.62
145.49,20.00
148.38,19.03
150.86,23.65
152.92,28.42
155.40,12.30
157.05,20.13
159.53,15.67
161.18,19.11
163.65,21.27
165.31,21.14
167.62,26.02
167.99,21.99
169.09,25.52
171.30,27.08
174.24,20.15
177.92,16.91
179.39,21.31
184.54,8.90
194.29,4.94
198.92,5.78
203.04,3.64
205.32,4.54
209.90,3.11
211.73,3.97
214.94,3.95
217.22,4.09
218.80,8.58
220.37,11.76
224.32,6.34
227.63,3.81
236.45,2.90
246.64,2.92
253.61,5.16
260.52,6.76
264.54,22.26
266.58,19.36
267.95,20.30
268.17,34.46
269.05,23.91
269.49,26.77
271.69,30.96
273.01,45.93
275.88,7.36
276.89,25.56
283.64,9.49
289.66,2.73
292.95,8.79
295.14,5.66
305.00,3.08
308.28,3.33
310.47,3.39
317.19,2.38
325.65,1.73
338.54,7.33
341.35,17.29
342.95,32.15
344.20,32.23
345.08,29.52
346.86,39.48
350.48,28.56
352.41,23.96
354.14,39.24
355.73,25.43
357.27,42.46
358.96,40.56
360.72,44.43
364.07,32.04
366.22,22.79
366.87,29.51
368.15,33.71
369.00,37.72
371.57,15.39
376.49,18.44
378.62,11.50
386.32,12.58
387.59,11.76
389.68,23.43
391.77,12.81
393.86,8.51
395.95,6.88
398.04,4.92
400.13,5.80
402.22,5.15
404.99,3.52
408.30,3.00
411.60,3.14
414.91,3.23
421.19,2.71
423.83,6.86
426.47,5.35
429.96,21.23
431.10,34.01
432.25,61.28
433.39,35.45
434.53,68.77
435.67,50.95
436.81,45.86
437.96,54.43
439.10,41.00
440.24,30.56
441.38,65.94
442.52,46.61
443.67,19.53
445.42,14.54
447.19,20.08
448.96,25.48
450.73,21.29
452.49,20.53
454.26,21.03
457.97,31.40
459.85,27.86
461.73,23.50
467.36,18.51
469.24,8.73
473.51,8.81
475.68,7.62
477.85,7.69
482.19,5.40
484.36,3.84
486.52,4.26
493.03,4.61
495.20,5.73
499.54,5.82
501.71,6.75
503.87,6.44
508.21,6.23
510.38,7.01
512.55,5.99
516.89,5.00
519.05,5.01
521.22,5.19
524.11,6.55
525.56,7.69
527.01,11.76
529.58,18.90
