Sample ID,"Composite Depth, m",d13C,d180
758A 1-1 001,0.01,0.59,2.33
758A 1-1 001,0.01,0.58,2.66
758A 1-1 011,0.11,0.5,2.71
758A 1-1 011,0.11,0.33,3.12
758A 1-1 021,0.21,0.2,3.7
758A 1-1 021,0.21,0.1,3.25
758A 1-1 031,0.31,0.11,3.64
758A 1-1 031,0.31,-0.01,4.22
758A 1-1 041,0.41,-0.04,4.32
758A 1-1 041,0.41,0.02,4.5
758A 1-1 041,0.41,-0.23,4.24
758A 1-1 051,0.51,-0.02,4.22
758A 1-1 051,0.51,-0.06,4.3
758A 1-1 061,0.61,0.21,3.97
758A 1-1 061,0.61,0.12,4.25
758A 1-1 071,0.71,0.21,4.06
758A 1-1 071,0.71,0.21,4.03
758A 1-1 081,0.81,0.21,4.09
758A 1-1 081,0.81,0.2,3.84
758A 1-1 091,0.91,0.18,4.09
758A 1-1 091,0.91,0.18,3.83
758A 1-1 101,1.01,0.13,3.91
758A 1-1 101,1.01,0.14,3.89
758A 1-1 111,1.11,0.15,3.96
758A 1-1 111,1.11,0.19,3.73
758A 1-1 121,1.21,-0.14,3.89
758A 1-1 121,1.21,-0.04,3.59
758A 1-1 131,1.31,-0.1,3.89
758A 1-1 131,1.31,-0.24,3.81
758A 1-1 141,1.41,-0.02,3.97
758A 1-1 141,1.41,0.02,3.66
758A 1-2 001,1.51,0.09,4.02
758A 1-2 001,1.51,0.04,3.46
758A 1-2 041,1.91,0.29,3.87
758A 1-2 041,1.91,0.31,3.45
758A 1-2 061,2.11,0.34,3.56
758A 1-2 061,2.11,0.33,3.45
758A 1-2 071,2.21,0.41,3.54
758A 1-2 071,2.21,0.43,3.61
758A 1-2 081,231,0.32,3.28
758A 1-2 081,2.31,0.25,3.46
758A 1-2 091,2.41,0.3,3.3
758A 1-2 091,2.41,-0.08,3.83
758A 1-2 101,2.51,0.4,3.3
758A 1-2 101,2.51,0.24,3.37
758A 1-2 111,2.61,0.28,3.1
758A 1-2 111,2.61,0.13,3.24
758A 1-2 121,2.71,0.27,2.46
758A 1-2 121,2.71,0.3,2.96
758A 1-2 131,2.81,0.03,3.13
758A 1-2 131,2.81,0.17,3.8
758A 1-2 141,2.91,-0.13,4.07
758A 1-2 141,2.91,-0.13,4.31
758A 1-3 001,3.01,-0.14,4.41
758A 1-3 001,3.01,-0.28,4.23
758A 1-3 001,3.01,-0.33,4.13
758A 1-3 011,3.11,-0.28,4.18
758A 1-3 011,3.11,-0.14,4.34
758A 1-3 011,3.11,-0.28,4
758A 1-3 021,3.21,-0.31,4.2
758A 1-3 021,3.21,-0.17,4.32
758A 1-3 021,3.21,-0.4,4.08
758A 1-3 031,3.31,-0.33,4.27
758A 1-3 031,3.31,-0.27,4.16
758A 1-3 031,3.31,-0.36,4.26
758A 1-3 041,3.41,-0.11,4.22
758A 1-3 041,3.41,-0.21,4.05
758A 1-3 051,3.51,-0.42,3.88
758A 1-3 051,3.51,0,3.83
758A 1-3 061,3.61,-0.29,3.98
758A 1-3 061,3.61,-0.14,3.95
758A 1-3 071,3.71,-0.26,3.92
758A 1-3 071,3.71,-0.35,3.67
758A 1-3 081,3.81,-0.09,3.52
758A 1-3 081,3.81,-0.1,3.09
758A 1-3 091,3.91,0.13,3.26
758A 1-3 101,4.01,0.19,3.13
758A 1-3 101,4.01,0.1,3
758A 1-3 111,4.11,0.08,3.24
758A 1-3 111,4.11,0.01,2.81
758A 1-3 121,4.21,0.17,3.36
758A 1-3 131,4.31,-0.05,3.26
758A 1-3 141,4.41,-0.21,3.59
758A 1-4 001,4.51,-0.16,3.35
758A 1-4 011,4.61,-0.3,3.1
758A 1-4 021,4.71,-0.43,3.37
758A 1-4 031,4.81,-0.19,3.85
758A 1-4 041,4.91,-0.35,3.92
758A 1-4 051,5.01,-0.35,3.89
758A 1-4 061,5.11,-0.24,4.04
758A 1-4 061,5.11,-0.63,3.36
758A 1-4 071,5.21,-0.37,4.19
758A 1-4 081,5.31,-0.61,3.93
758B 1-3 081,5.32,-0.23,3.67
758B 1-3 081,5.32,-0.6,4
758B 1-3 091,5.42,-0.3,3.68
758B 1-3 091,5.42,-0.23,3.81
758B 1-3 101,5.52,-0.07,3.67
758B 1-3 101,5.52,0.04,3.59
758B 1-3 111,5.62,-0.12,3.6
758B 1-3 121,5.72,-0.05,3.45
758B 1-3 131,5.82,-0.22,3.44
758B 1-3 141,5.92,-0.11,3.4
758B 1-4 001,6.02,0.06,3.36
758B 1-4011,6.12,0.09,3.05
758B 1-4 021,6.22,0.05,2.95
758B 1-4031,6.32,0.05,2.66
758B 1-4031,6.32,0.08,2.86
758B 1-4 041,6.42,-0.08,3.15
758B 1-4051,6.52,-0.12,3.33
758B 1-4 061,6.62,-0.42,4.04
758B 1-4 071,6.72,-0.45,3.88
758B 1-4 081,6.82,-0.31,4.01
758B 1-4 091,6.92,-0.34,3.84
758B 1-4 091,6.92,-0.17,4.03
758B 1-4 101,7.02,-0.16,3.71
758B 1-4 111,7.12,-0.12,3.29
758B 1-4 111,7.12,0.02,3.58
758B 1-4 121,7.22,0.03,3.36
758B 1-4 121,7.22,0.05,3.65
758B 1-4 131,7.32,0.16,3.06
758B 1-4 141,7.42,0.2,3.37
758A 2-1 001,7.43,-0.1,3.6
758A 2-1 011,7.53,0.07,2.88
758A 2-1 021,7.63,-0.32,4.56
758A 2-1 031,7.73,-0.34,4.15
758A 2-1 031,7.73,-0.72,3.68
758A 2-1 041,7.83,-0.59,3.76
758A 2-1 041,7.83,-0.56,3.93
758A 2-1 051,7.93,-0.48,3.66
758A 2-1 051,7.93,-0.39,4.12
758A 2-1 061,8.03,-0.19,3.86
758A 2-1 071,8.13,0.46,3.54
758A 2-1 081,8.23,0.32,3.44
758A 2-1 091,8.33,0.35,3.43
758A 2-1 091,8.33,0.13,3.01
758A 2-1 101,8.43,0.31,3.41
758A 2-1 101,8.43,0.55,3.36
758A 2-1 121,8.63,0.26,3.42
758A 2-1 131,8.73,0.4,3.65
758A 2-1 141,8.83,0.04,3.8
758A 2-2 001,8.93,-0.04,3.93
758A 2-2 001,8.93,-0.14,4.05
758A 2-2 011,9.03,-0.15,4.09
758A 2-2 021,9.13,-0.09,4.18
758A 2-2 031,9.23,-0.12,3.4
758A 2-2 041,9.33,0.05,3.94
758A 2-2 051,9.43,0.15,3.21
758A 2-2 061,9.53,0.07,3.69
758A 2-2 071,9.63,0.13,3.79
758A 2-2 081,9.73,-0.09,3.44
758A 2-2 091,9.83,0.18,3.54
758A 2-2 101,9.93,0.07,3.45
758A 2-2 111,10.03,0.08,3.45
758A 2-2 121,10.13,-0.12,4.1
758A 2-2 131,10.23,-0.39,4.16
758A 2-2 141,10.33,-0.25,4.22
758A 2-3 001,10.43,-0.33,4.12
758A 2-3 011,10.53,-0.52,3.95
758A 2-3 021,10.63,-0.48,3.97
758A 2-3 021,10.63,-0.35,3.42
758A 2-3 021,10.63,-0.6,3.24
758A 2-3 031,10.73,-0.38,3.6
758A 2-3 031,10.73,-0.36,3.64
758A 2-3 041,10.83,-0.1,3.81
758A 2-3 041,10.83,-0.27,3.52
758A 2-3 051,10.93,0.23,2.62
758A 2-3 051,10.93,0.14,3.16
758A 2-3 061,11.03,0.3,3.18
758A 2-3 061,11.03,-0.07,2.86
758A 2-3 071,11.13,0.19,3.65
758A 2-3 071,11.13,0.13,3.33
758A 2-3 081,11.23,-0.02,3.7
758A 2-3 081,11.23,-0.01,3.66
758A 2-3 091,11.33,-0.25,3.96
758A 2-3 091,11.33,-0.24,3.98
758A 2-3 101,11.43,-0.09,4
758A 2-3 101,11.43,-0.11,4.17
758A 2-3 111,11.53,-0.19,3.59
758A 2-3 111,11.53,0.11,4.01
758A 2-3 121,11.63,-0.22,4
758A 2-3 121,11.63,-0.26,3.61
758A 2-3 131,11.73,-0.47,3.78
758A 2-3 131,11.73,-0.52,3.71
758A 2-3 141,11.83,-0.51,3.83
