/* DATA DESCRIPTION:
Citation:	Thomas, Nicola C; Bradbury, Harold J; Hodell, David A (2022): Determination of stable isotopes of IODP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.945863, 
	In: Thomas, NC et al. (2022): Reconstructed paleo-oxygen concentration, stable isotope measurements and Gaussian interpolated Δδ13C obtained from the IODP Site 339-U1385 for the past 1.5 Ma, including trace element analyses and Uvigerina spp. abundance over MIS 27-21. PANGAEA, https://doi.org/10.1594/PANGAEA.945872
Keyword(s):	Biological pump; Ice core; Inorganic carbon storage; MPT; Oxygen concentration
Coverage:	LATITUDE: 37.571416 * LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM ELEVATION: -2587.0 m * MAXIMUM ELEVATION: -2587.0 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
Parameter(s):	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: IODP 339-U1385 Depth (crmcd) Gint Age (ka BP)
	AGE [ka BP] (Age) * GEOCODE * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Age model, LR04 Lisiecki & Raymo (2005) (URI: https://doi.org/10.1029/2004PA001071)
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Globobulimina affinis, δ18O [‰ PDB] (G. affinis δ18O) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Globobulimina affinis, δ13C [‰ PDB] (G. affinis δ13C) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Δδ13C, gradient [‰ PDB] (Δδ13C grad) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: Between Cibicidoides wuellerstorfi and Globobulimina affinis [vs VPDB]
	Oxygen [µmol/kg] (O2) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Calculated according to Hoogakker et al., 2015 (URI: https://doi.org/10.1038/ngeo2317)
	Oxygen [µmol/kg] (O2) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Calculated according to Hoogakker et al., 2015 (URI: https://doi.org/10.1038/ngeo2317) * COMMENT: Truncated
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	27590 data points
*/
Depth corr cr [crmcd] (IODP 339-U1385 Depth (crmcd) ...)	Age [ka BP] (Age model, LR04 Lisiecki & Ra...)	C. wuellerstorfi δ18O [‰ PDB] (vs VPDB)	C. wuellerstorfi δ13C [‰ PDB] (vs VPDB)	G. affinis δ18O [‰ PDB] (vs VPDB)	G. affinis δ13C [‰ PDB] (vs VPDB)	Δδ13C grad [‰ PDB] (Between Cibicidoides wuellers...)	O2 [µmol/kg] (Calculated according to Hooga...)	O2 [µmol/kg] (Truncated, Calculated accordi...)
23.05	139.42	4.26	0.07	5.350	-1.76	1.83	199.85	199.85
23.09	139.79	4.54	0.35	5.440	-1.75	2.10	240.87	235.00
23.13	140.15	4.34	0.06	5.510	-1.77	1.83	199.47	199.47
23.17	140.51	4.32	0.17	5.470	-1.61	1.78	191.50	191.50
23.21	140.88	4.39	0.28	5.360	-2.53	2.81	352.06	235.00
23.25	141.24	4.46	0.11	5.390	-1.64	1.75	187.00	187.00
23.29	141.61	4.52	0.24	5.440	-1.74	1.98	222.77	222.77
23.33	141.97	4.41	0.16	5.410	-1.69	1.85	202.22	202.22
23.37	142.33	4.35	0.22	5.410	-1.63	1.85	201.71	201.71
23.41	142.70	4.08	0.23	5.340	-1.73	1.96	219.76	219.76
23.45	143.06	4.31	0.14	5.350	-1.85	1.99	224.29	224.29
23.49	143.43	4.26	0.21	5.240	-1.84	2.05	233.11	233.11
23.53	143.79	4.13	-0.24	5.230	-2.06	1.82	197.97	197.97
23.57	144.15	4.24	0.16	5.300	-2.02	2.18	254.24	235.00
23.61	144.52	4.05	0.19	5.310	-1.93	2.12	244.07	235.00
23.65	144.88	4.10	0.23	5.160	-1.87	2.10	241.30	235.00
23.69	145.25	4.10	0.13	5.280	-2.05	2.18	253.21	235.00
23.73	145.61	4.08	0.18	5.280	-1.84	2.02	229.39	229.39
23.77	145.97	4.02	-0.02	5.240	-1.94	1.92	213.45	213.45
23.81	146.34	3.95	0.18	5.200	-2.00	2.18	254.66	235.00
23.85	146.70	3.96	0.13	5.150	-2.18	2.31	273.48	235.00
23.89	147.07	4.04	0.04	5.030	-2.22	2.26	266.09	235.00
23.93	147.43	4.03	-0.05		-2.29	2.24	263.91	235.00
23.97	147.79	4.20	0.01	5.150	-2.39	2.40	288.32	235.00
24.01	148.16	4.36	0.18	5.250	-2.26	2.44	293.81	235.00
24.05	148.52	4.32	0.12	5.160	-2.13	2.25	264.09	235.00
24.09	148.89	4.23	0.22	5.260	-2.40	2.62	322.66	235.00
24.13	149.25	4.17	0.14	5.050	-2.48	2.62	321.95	235.00
24.17	149.61	4.22	0.05	5.130	-2.33	2.38	285.47	235.00
24.21	149.98	4.11	0.04	5.100	-2.50	2.54	310.31	235.00
24.25	150.34	4.14	0.10	5.260	-2.04	2.14	248.39	235.00
24.29	150.71		0.00	5.090	-1.92	1.92	213.62	213.62
24.33	151.07	4.11	0.22	5.150	-2.02	2.24	263.50	235.00
24.37	151.43	4.04	0.07	4.990	-2.11	2.18	253.13	235.00
24.45	152.16	4.12	-0.05	5.040	-2.42	2.37	282.81	235.00
24.49	152.53	4.31	0.03	5.040	-2.35	2.38	285.78	235.00
24.53	152.89	4.19	0.12	5.110	-2.31	2.43	292.19	235.00
24.57	153.25	4.10	-0.04	5.110	-2.19	2.15	249.22	235.00
24.61	153.62	4.06	-0.31	5.070	-2.49	2.18	254.06	235.00
24.65	153.98	4.14	-0.31	5.090	-2.52	2.21	258.75	235.00
24.69	154.35	4.10	-0.34	4.910	-2.16	1.82	197.19	197.19
24.73	154.71	4.11	-0.26	5.130	-2.58	2.32	275.31	235.00
24.77	155.07	3.96	-0.03	5.110	-2.37	2.34	278.44	235.00
24.81	155.44	4.25	-0.16	5.120	-2.29	2.13	245.47	235.00
24.85	155.80	4.14	-0.18	5.200	-2.32	2.14	247.19	235.00
24.89	156.17	4.36	-0.06	5.250	-2.24	2.18	253.75	235.00
24.93	156.53	4.13	-0.10	5.170	-2.18	2.08	238.28	235.00
24.97	156.89	4.25	-0.10	5.420	-2.36	2.26	266.56	235.00
25.05	157.62	4.26	0.12	5.380	-2.29	2.41	289.53	235.00
25.13	158.35	4.36	0.18	5.320	-2.28	2.46	298.28	235.00
25.17	158.71	4.23	0.16	5.260	-2.48	2.64	325.47	235.00
25.21	159.08	4.27	0.18	5.380	-2.63	2.81	351.88	235.00
25.25	159.44	4.22	0.44	4.910	-1.97	2.41	289.53	235.00
25.27	159.62	4.11	0.31	5.300	-2.26	2.57	314.22	235.00
25.33	160.17	4.08	0.18	4.880	-2.09	2.27	267.19	235.00
