mcd,ageSBP90,C13,O18
2.5,0,1.05,2.69
5.5,0.97,0.85,2.66
8.5,1.94,1.14,2.6
11.5,2.9,1.16,2.61
16,4.35,0.91,2.69
20.5,5.81,1.04,2.67
23.5,6.77,0.96,2.92
31,9.19,0.88,3.13
53.5,16.45,0.67,4.16
57.5,17.74,0.42,4.37
60.5,18.71,0.48,4.4
63.5,19.68,0.53,4.41
72,22.42,0.48,4.08
74,23.07,0.59,4.09
81.5,25.48,0.7,4.08
89.5,28.07,0.6,3.96
95.5,30,0.76,3.77
108.5,33.51,1,3.93
115.3,35.34,0.63,3.81
117.8,36.01,1.23,4.02
124.5,37.82,0.95,3.78
128,38.76,0.93,3.69
131.5,39.71,0.86,3.93
137.3,41.27,0.89,3.42
139.8,41.94,1.09,3.72
144.8,43.29,1.14,3.63
147,43.88,1.21,3.91
154.5,45.91,0.95,3.76
163.3,48.28,1.22,3.8
173.8,51.11,1.16,3.74
178.3,52.32,1.23,3.69
182.8,53.54,1.16,3.52
185.8,54.35,0.95,3.54
188.5,55.07,0.87,3.35
191.5,55.88,0.75,3.81
196.5,57.23,0.95,3.72
199.5,58.04,1.02,3.57
202,58.71,0.56,3.86
203,58.98,0.79,3.81
207.5,60.2,0.94,3.74
212,61.41,0.38,3.79
217,62.76,-0.01,4.13
221,63.84,0.09,3.61
229.3,66.07,-0.02,4.24
234.5,67.48,0.28,3.68
240.5,69.09,0.64,3.75
242.3,69.58,0.96,3.49
249,71.39,1.16,3.35
255,73,1.21,3.48
259,74.08,1.21,3.44
264,75.43,1.28,3.38
269.3,76.86,1.28,3.33
277,78.93,1.12,3.26
287,81.63,1.2,3.25
291,82.71,0.79,3.17
293,83.25,0.99,3.25
296.8,84.27,0.51,3.42
302.5,85.81,1,3.61
305.5,86.62,1.02,3.41
309,87.56,1.01,3.53
312.3,88.45,0.93,3.41
320.5,90.66,1.2,3.41
323.8,91.55,0.96,3.08
326.8,92.36,0.94,3.45
329.5,93.09,1.05,3.29
338.5,95.52,1.1,3.18
341.5,96.33,1.22,3.12
344,97,1.19,3.06
