/* DATA DESCRIPTION:
Citation:	Hoogakker, Babette A A; Elderfield, Henry; Schmiedl, Gerhard; McCave, I Nick; Rickaby, Rosalind E M; Shackleton, Nicholas J (2015): Bottom water oxygen reconstructions Iberian Margin sediment core MD95-2042 between 0 and 150,000 years BP. PANGAEA, https://doi.org/10.1594/PANGAEA.856564, 
	Supplement to: Hoogakker, Babette A A; Elderfield, Henry; Schmiedl, Gerhard; McCave, I Nick; Rickaby, Rosalind E M (2015): Glacial–interglacial changes in bottom-water oxygen content on the Portuguese margin. Nature Geoscience, 8(1), 40-43, https://doi.org/10.1038/ngeo2317
Abstract:	During the last and penultimate glacial maxima, atmospheric CO2 concentrations were lower than present, possibly in part because of increased storage of respired carbon in the deep oceans (Sigman and Boyle, 2000, doi:10.1038/35038000). The amount of respired carbon present in a water mass can be calculated from its oxygen content through apparent oxygen utilization; the oxygen content can in turn be calculated from the carbon isotope gradient within the sediment column (McCorkle and Emerson, 1988, doi:10.1016/0016-7037(88)90270-0). Here we analyse the shells of benthic foraminifera occurring at the sediment surface and the oxic/anoxic interface on the Portuguese Margin to reconstruct the carbon isotope gradient and hence bottom-water oxygenation over the past 150,000 years. We find that bottom-water oxygen concentrations were 45 and 65 µmol/kg lower than present during the last and penultimate glacial maxima, respectively. We calculate that concentrations of remineralized organic carbon were at least twice as high as today during the glacial maxima. We attribute these changes to decreased ventilation linked to a reorganization of ocean circulation (McManus et al., 2004, doi:10.1038/nature02494) and a strengthened global biological pump (Kohfeld et al., 2005, doi:10.1126/science.1105375). If the respired carbon pool was of a similar size throughout the entire glacial deep Atlantic basin, then this sink could account for 15 and 20 per cent of the glacial PCO2 drawdown during the last and penultimate glacial maxima.
Related to:	Shackleton, Nicholas J; Hall, Michael A; Vincent, Edith (2000): Phase relationships between millennial-scale events 64,000-24,000 years ago. Paleoceanography, 15(6), 565-569, https://doi.org/10.1029/2000PA000513
Source data set:	Shackleton, Nicholas J; Hall, Michael A; Vincent, Edith (2000): Stable carbon and oxygen isotope ratios of benthic foraminifera from sediment core MD95-2042 on the Iberian margin, North Atlantic. PANGAEA, https://doi.org/10.1594/PANGAEA.58220 (original d13C data)
Coverage:	LATITUDE: 37.799833 * LONGITUDE: -10.166500
	DATE/TIME START: 1995-07-09T00:00:00 * DATE/TIME END: 1995-07-09T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 29.80 m
Event(s):	MD95-2042 (MD952042) * LATITUDE: 37.799833 * LONGITUDE: -10.166500 * DATE/TIME: 1995-07-09T00:00:00 * ELEVATION: -3146.0 m * Recovery: 40 m * LOCATION: Marge Ibérique * CAMPAIGN: MD101 (IMAGES I) (URI: https://doi.org/10.17600/95200110) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXVII Sections, OK; core bent
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Hoogakker, Babette A A (https://orcid.org/0000-0002-8171-9679, b.hoogakker@hw.ac.uk)
	AGE [ka BP] (Age) * GEOCODE * PI: Hoogakker, Babette A A (https://orcid.org/0000-0002-8171-9679, b.hoogakker@hw.ac.uk) * COMMENT: used in Hoogakker et al. (2015) Nature Geoscience
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Shackleton, Nicholas J (http://en.wikipedia.org/wiki/Nicholas_Shackleton) * COMMENT: Shackleton et al., 2000
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Shackleton, Nicholas J (http://en.wikipedia.org/wiki/Nicholas_Shackleton) * COMMENT: Shackleton et al., 2000
	Globobulimina affinis, δ18O [‰ PDB] (G. affinis δ18O) * PI: Shackleton, Nicholas J (http://en.wikipedia.org/wiki/Nicholas_Shackleton) * COMMENT: Shackleton et al., 2000
	Globobulimina affinis, δ13C [‰ PDB] (G. affinis δ13C) * PI: Shackleton, Nicholas J (http://en.wikipedia.org/wiki/Nicholas_Shackleton) * COMMENT: Shackleton et al., 2000
	Δδ13C [‰ PDB] (Δδ13C) * PI: Hoogakker, Babette A A (https://orcid.org/0000-0002-8171-9679, b.hoogakker@hw.ac.uk) * COMMENT: C. wuellerstorif-G. affinis
	Oxygen [µmol/kg] (O2) * PI: Hoogakker, Babette A A (https://orcid.org/0000-0002-8171-9679, b.hoogakker@hw.ac.uk) * METHOD/DEVICE: Reconstructed * COMMENT: <235 µmol/kg
License:	Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported (CC-BY-NC-SA-3.0)
Size:	1780 data points
*/
Depth [m]	Age [ka BP]	C. wuellerstorfi δ18O [‰ PDB]	C. wuellerstorfi δ13C [‰ PDB]	G. affinis δ18O [‰ PDB]	G. affinis δ13C [‰ PDB]	Δδ13C [‰ PDB]	O2 [µmol/kg]
0.00	0.006	2.74	1.14				
0.00	0.006	2.64	0.70				
0.04	0.156	2.78	1.05				
0.04	0.156	2.50	0.98				
0.20	0.758	2.75	0.99				
0.40	1.515	2.63	0.99				
0.60	2.272	2.67	1.08				
1.00	3.785	2.66	1.06				
1.20	4.542	2.52	1.20				
1.40	5.298	2.85	0.50				
1.60	6.055	2.76	0.70				
1.80	6.812	2.58	0.94				
2.00	7.568	2.79	0.99				
2.20	8.325	2.72	0.75				
2.40	9.082	2.55	0.84				
2.50	9.460	2.79	0.89				
2.60	9.838	3.19	0.93				
2.80	10.595	2.99	0.79				
3.00	11.352	2.90	0.68	3.65	-2.41	3.09	
3.10	11.657			3.95	-1.86		
3.20	11.889			4.07	-1.80		
3.30	12.122			4.24	-1.66		
3.40	12.354			4.08	-1.74		
3.50	12.586			4.02	-1.74		
3.60	12.818			4.16	-1.87		
3.70	13.051			4.30	-2.09		
3.80	13.283			4.47	-2.10		
3.90	13.515	3.69	0.43	4.66	-1.92	2.35	
4.00	13.747	3.21	0.81	4.27	-2.14	2.95	
4.04	13.840			4.54	-2.16		
4.08	13.933	3.49	0.68	4.50	-2.02	2.70	
4.10	13.980	3.65	0.73	4.34	-2.11	2.84	
4.12	14.026	3.54	0.48	4.40	-2.05	2.53	
4.16	14.119	3.60	0.82	4.49	-2.06	2.88	
4.20	14.212			4.55	-2.00		
4.24	14.305	3.46	0.65	4.43	-2.20	2.85	
4.28	14.398	3.48	0.70	4.44	-2.20	2.90	
4.30	14.444	3.55	0.35	4.34	-2.24	2.59	
4.32	14.491			4.57	-2.24		
4.36	14.584			4.69	-2.06		
4.40	14.678			4.29	-2.28		
4.40	14.678			4.48	-2.19		
4.44	14.780			4.67	-2.15		
4.48	14.883	3.55	0.44	4.58	-2.16	2.60	
4.48	14.883			4.72	-2.07		
4.50	14.934			4.64	-2.13		
4.52	14.985			4.74	-2.05		
4.56	15.088			4.75	-2.03		
4.60	15.190			4.65	-2.12		
4.64	15.293	3.59	0.04	4.71	-2.02	2.06	213.0149
4.68	15.395			4.82	-2.08		
4.70	15.447			4.75	-1.94		
4.72	15.498			4.83	-1.96		
4.76	15.600			4.99	-1.85		
4.80	15.703			5.22	-1.91		
4.84	15.805			5.07	-1.87		
4.88	15.908			4.68	-1.96		
4.88	15.908			4.97	-1.92		
4.88	15.908	3.96	0.11	4.86	-1.59	1.70	166.4129
4.88	15.908			5.08	-1.89		
4.90	15.959			4.94	-2.13		
4.92	16.010			5.00	-2.03		
4.96	16.113			5.01	-1.95		
5.00	16.216			5.08	-1.73		
5.04	16.318			5.17	-1.94		
5.08	16.421			5.20	-1.92		
5.10	16.472			5.05	-2.13		
5.12	16.523			5.14	-1.98		
5.16	16.626			5.16	-1.99		
5.20	16.728			5.06	-2.00		
5.24	16.831			5.03	-1.87		
5.28	16.933			5.20	-1.76		
5.30	16.985			5.08	-1.96		
5.32	17.036			5.21	-1.92		
5.36	17.138			5.24	-1.81		
5.40	17.241			5.07	-1.92		
5.44	17.343			5.23	-1.83		
5.48	17.446			5.28	-1.81		
5.50	17.497			5.47	-1.77		
5.52	17.548			5.33	-1.91		
5.56	17.651			5.32	-2.01		
5.60	17.754			5.28	-1.96		
5.64	17.856			5.36	-1.94		
5.68	17.959			5.41	-1.65		
5.70	18.010			5.27	-2.01		
5.72	18.061			5.43	-1.98		
5.76	18.164			5.43	-1.78		
5.80	18.266			5.45	-1.87		
5.84	18.369			5.35	-1.79		
5.88	18.471			5.13	-2.14		
5.90	18.523	4.45	0.23	5.26	-1.64	1.87	188.4194
5.92	18.574			5.45	-1.84		
5.96	18.676			5.30	-1.93		
6.00	18.779	4.48	0.22				
6.04	18.881	4.40	0.27	5.53	-1.47	1.74	171.5909
6.08	18.984			5.40	-1.59		
6.12	19.087	4.14	0.12	5.44	-1.62	1.74	171.5909
6.16	19.189			5.31	-1.61		
6.20	19.292	4.56	0.23				
6.24	19.394	4.45	0.27	5.48	-1.76	2.03	209.1314
6.28	19.497			5.34	-1.76		
6.32	19.599	4.38	0.23	5.41	-1.61	1.84	184.5359
6.36	19.702	4.44	0.23	5.36	-1.65	1.88	189.7139
6.40	19.804			5.42	-1.65		
6.44	19.907			5.42	-1.64		
6.48	20.009			5.42	-1.66		
6.52	20.112			5.32	-1.51		
6.56	20.214			5.34	-1.52		
6.60	20.317						
6.64	20.419			5.42	-1.56		
6.68	20.522			5.44	-1.74		
6.72	20.625			5.27	-1.81		
6.76	20.727			5.35	-1.82		
6.81	20.855						
6.84	20.932			5.43	-1.74		
6.88	21.035			5.32	-1.84		
6.92	21.137			5.35	-1.59		
6.96	21.240			5.30	-1.67		
7.00	21.342	4.27	0.12				
7.04	21.445			5.07	-1.71		
7.04	21.445			5.47	-1.77		
7.08	21.547	4.28	0.17	5.41	-1.69	1.86	
7.12	21.650	4.28	0.17	5.29	-1.77	1.94	
7.16	21.752			5.37	-1.83		
7.20	21.855						
