/* DATA DESCRIPTION:
Citation:	Bertrand, Philippe (2003): Density and sound velocity of sediment core MD96-2077. PANGAEA, https://doi.org/10.1594/PANGAEA.124286
Related to:	Bertrand, Philippe; Shipboard Scientific Party (1997): Les rapport de campagne à la mer à bord du Marion Dufresne - Campagne Nausicaa - IMAGES II - MD105 du 20/10/96 au 25/11/96. Institut Francais pour la Recherche et la technologie Polaires, 381
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: -33.168333 * LONGITUDE: 31.246667
	DATE/TIME START: 1996-09-25T00:00:00 * DATE/TIME END: 1996-09-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.26 m * MAXIMUM DEPTH, sediment/rock: 35.38 m
Event(s):	MD96-2077 (MD962077) * LATITUDE: -33.168333 * LONGITUDE: 31.246667 * DATE/TIME: 1996-09-25T00:00:00 * ELEVATION: -3781.0 m * Recovery: 35.54 m * LOCATION: Natal Valley * CAMPAIGN: MD105 (IMAGES II) (URI: http://www.ifremer.fr/sismer/UK/catal/campagne/campagnea.htql?crno=96200070) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: Top soft brown mud, Forams, CC: gray mud (Nannofossil foraminiferal ooze), core liner disrupted at 2405 cm.
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Density, wet bulk [g/cm**3] (WBD) * PI: Bertrand, Philippe (bertrand@geocean.u-bordeaux.fr) * METHOD/DEVICE: Multi-Sensor Core Logger 17, GEOTEK
	Susceptibility [sensor values] (Suscept) * PI: Bertrand, Philippe (bertrand@geocean.u-bordeaux.fr) * METHOD/DEVICE: Multi-Sensor Core Logger 17, GEOTEK
	Velocity, compressional wave [m/s] (Vp) * PI: Bertrand, Philippe (bertrand@geocean.u-bordeaux.fr) * METHOD/DEVICE: Multi-Sensor Core Logger 17, GEOTEK
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	5059 data points
*/
Depth [m]	WBD [g/cm**3]	Suscept [sensor values]	Vp [m/s]
0.26		20	
0.28		25	
0.30		27	
0.32		28	
0.34		28	
0.36		26	
0.38		23	
0.40		22	
0.42		22	
0.44		20	
0.46		19	
0.48		18	
0.50		16	
0.52		16	
0.54		16	
0.56		16	
0.58		16	
0.60		17	
0.62		18	
0.64		18	
0.66		18	
0.68		18	
0.70		18	
0.72		18	
0.74		19	
0.76		22	
0.78		22	
0.80		21	
0.82		22	
0.84	1.578	23	1544.9
0.86	1.602	24	1543.0
0.88	1.598	25	1543.1
0.90	1.595	26	1543.0
0.92	1.582	26	1542.2
0.94	1.573	26	1541.3
0.96	1.579	26	1544.7
0.98	1.598	25	1545.3
1.00	1.580	24	1543.5
1.02	1.591	24	1543.1
1.04	1.581	23	1542.3
1.06	1.587	23	1540.9
1.08	1.588	24	1535.0
1.10	1.577	26	1530.3
1.12	1.559	27	1531.2
1.14	1.558	27	1532.8
1.16	1.561	28	1530.8
1.18	1.547	28	1538.4
1.20	1.559	29	1537.7
1.22	1.558	28	1541.2
1.24	1.559	28	1543.6
1.26	1.560	26	1543.5
1.28	1.575	25	1541.9
1.30	1.566	27	1541.0
1.32	1.571	27	1540.8
1.34	1.578	27	1539.4
1.36	1.569	27	1539.7
1.38	1.574	27	1540.7
1.40	1.581	27	1540.1
1.42	1.588	26	1542.3
1.44	1.576	25	1541.5
1.46	1.568	25	1539.2
1.48	1.573	22	1539.0
1.50	1.580	19	1537.6
1.52	1.571	20	1538.9
1.54	1.578	19	1538.5
1.56	1.583	20	1539.5
1.58	1.590	21	1541.6
1.60	1.582	20	1540.7
1.62	1.578	20	1543.2
1.64	1.573	20	1541.0
1.66	1.559	20	1540.2
1.68	1.536	20	1539.8
1.70	1.533	19	1540.9
1.72	1.533	21	1540.9
1.74	1.536	20	1539.6
1.76	1.533	21	1538.5
1.78	1.536	21	1539.6
1.80	1.543	21	1538.2
1.82	1.533	21	1538.5
1.84	1.543	21	1537.0
1.86	1.522	20	1537.7
1.88	1.525	21	1537.6
1.90	1.568	21	1538.6
1.92	1.573	23	1537.2
1.94	1.574	24	1537.2
1.96	1.571	24	1537.3
1.98	1.576	24	1536.0
