/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T4) Stable oxygen and carbon isotope ratios of benthic and planktonic foraminifera and carbonate concentrations of sediment core TTN057-6 in the South Atlantic. PANGAEA, https://doi.org/10.1594/PANGAEA.218129, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -42.913300 * LONGITUDE: 8.600000
	MINIMUM DEPTH, sediment/rock: 0.03 m * MAXIMUM DEPTH, sediment/rock: 12.04 m
Event(s):	TN057-6-PC4 * LATITUDE: -42.913300 * LONGITUDE: 8.600000 * ELEVATION START: -3751.0 m * ELEVATION END: -3701.6 m * Recovery: 12.76 m * METHOD/DEVICE: Piston corer (PC)
Comment:	Depth is composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Cibicidoides kullenbergi, δ18O [‰ PDB] (C. kullenbergi δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Cibicidoides kullenbergi, δ13C [‰ PDB] (C. kullenbergi δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Neogloboquadrina pachyderma sinistral, δ18O [‰ PDB] (N. pachyderma s δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Neogloboquadrina pachyderma sinistral, δ13C [‰ PDB] (N. pachyderma s δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 252
	Calcium carbonate [%] (CaCO3) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Coulometric titration (Knap et al., 1996, IOC Manuals and Guides 29, UNESCO) (URI: hdl:10013/epic.27912.d001)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	3012 data points
*/
Depth [m]	Age [ka BP]	Sample label	C. wuellerstorfi δ18O [‰ PDB]	C. wuellerstorfi δ13C [‰ PDB]	C. kullenbergi δ18O [‰ PDB]	C. kullenbergi δ13C [‰ PDB]	G. bulloides δ18O [‰ PDB]	G. bulloides δ13C [‰ PDB]	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]	CaCO3 [%]
0.03	0.83	177-TTNO57-6-PC4-IX,3-5			2.73	0.22	1.61	0.58	1.53	0.44	85.0
0.06	1.66	177-TTNO57-6-PC4-IX,6-8			2.75	0.08	1.30	0.04	1.39	0.44	81.0
0.09	2.48	177-TTNO57-6-PC4-IX,9-11	2.58	0.50	2.79	-0.01	1.78	0.61	1.35	0.75	86.4
0.12	3.31	177-TTNO57-6-PC4-IX,12-14			2.63	0.20	1.53	0.42	1.24	0.66	83.0
0.15	4.14	177-TTNO57-6-PC4-IX,15-17			2.76	0.30	1.47	0.03	1.38	0.58	85.0
0.18	4.97	177-TTNO57-6-PC4-IX,18-20			2.67	0.13	1.79	0.35	1.35	0.59	85.9
0.21	5.79	177-TTNO57-6-PC4-IX,21-23			2.71	0.19	1.83	0.40	1.30	0.55	87.6
0.24	6.62	177-TTNO57-6-PC4-IX,24-26			2.84	-0.21	1.29	-0.11	1.49	0.49	87.8
0.27	7.45	177-TTNO57-6-PC4-IX,27-29			2.75	-0.05	1.99	0.18	1.32	0.65	87.4
0.30	8.28	177-TTNO57-6-PC4-IX,30-32			3.06	-0.33	1.80	-0.06	1.44	0.46	81.5
0.33	9.10	177-TTNO57-6-PC4-IX,33-35			2.92	-0.34	2.03	-0.18	1.79	0.30	82.3
0.36	9.93	177-TTNO57-6-PC4-IX,36-38			2.95	-0.38	2.12	-0.26	1.63	0.09	84.4
0.39	10.76	177-TTNO57-6-PC4-IX,39-41	2.79	0.32	2.98	-0.20	2.05	0.15	1.71	0.42	85.7
0.42	11.59	177-TTNO57-6-PC4-IX,42-44			3.56	-0.64	2.00	-0.73	1.87	0.30	83.2
0.45	12.41	177-TTNO57-6-PC4-IX,45-47	3.59	0.22	3.74	-0.62	2.56	-0.17	2.15	0.10	85.2
0.48	13.24	177-TTNO57-6-PC4-IX,48-50	3.95	-0.34	3.69	-0.68	2.68	-0.18	1.97	-0.14	81.8
0.51	14.07	177-TTNO57-6-PC4-IX,51-53	4.09	-0.28	3.92	-0.91	2.34	-0.54	2.05	-0.04	82.3
0.54	14.90	177-TTNO57-6-PC4-IX,54-56	4.03	-0.03	3.92	-0.66	2.69	-0.45	2.39	-0.17	73.7
0.57	15.74	177-TTNO57-6-PC4-IX,57-59	3.59	0.16	3.92	-0.88	2.96	-0.19	2.41	-0.29	67.0
0.60	16.58	177-TTNO57-6-PC4-IX,60-62			4.38	-0.61	2.91	-0.48	2.80	-0.69	63.3
0.63	17.42	177-TTNO57-6-PC4-IX,63-65			4.23	-0.40	3.13	-0.36			59.9
0.66	18.26	177-TTNO57-6-PC4-IX,66-68					3.30	-0.03	2.77	-0.79	60.8
0.69	19.10	177-TTNO57-6-PC4-IX,69-71					3.09	-0.35	2.95	-0.66	61.3
0.72	19.94	177-TTNO57-6-PC4-IX,72-74			4.17	-0.99	3.08	-0.49			59.5
0.75	20.78	177-TTNO57-6-PC4-IX,75-77					3.00	0.07	2.95	-0.62	53.3
0.78	21.62	177-TTNO57-6-PC4-IX,80-82	4.03	-0.26			3.32	-0.43	2.64	-0.62	52.6
0.81	22.46	177-TTNO57-6-PC4-IX,81-83	4.13	-0.62			2.46	0.03			53.6
0.84	23.30	177-TTNO57-6-PC4-IX,84-86					3.29	0.26	3.00	-0.80	43.2
0.87	24.15	177-TTNO57-6-PC4-IX,87-89	4.21	-0.03			3.02	-0.53	2.52	-0.80	44.2
0.90	24.99	177-TTNO57-6-PC4-IX,90-92					2.80	0.09			43.1
0.93	25.83	177-TTNO57-6-PC4-IX,93-95	3.72	-0.13			2.76	0.09	2.76	-0.71	39.5
0.96	26.67	177-TTNO57-6-PC4-IX,96-98					2.10	-0.13			41.6
0.99	27.51	177-TTNO57-6-PC4-IX,99-101	3.00	0.16			2.17	0.18	2.52	-0.82	46.2
1.02	28.35	177-TTNO57-6-PC4-IX,102-104	4.15	-0.33			2.31	0.07	2.56	-0.91	46.8
1.03	28.74	177-TTNO57-6-PC4-VIII,0-2	4.01	-0.24			3.05	-0.38	2.50	-0.55	
1.06	29.58	177-TTNO57-6-PC4-VIII,3-5					3.05	0.25	2.72	-0.41	51.5
1.09	30.42	177-TTNO57-6-PC4-VIII,6-8					3.15	0.59			52.3
