CCSF (m),Age (ka),Method,Note
0.01,1,δ18O,MIS 1
3.01,130,δ18O,MIS 5/6
3.6,156,δ18O,MIS 6
5.6,251,δ18O,MIS 8
7.17,305,δ18O,MIS 9b/c
8.17,334,δ18O,MIS 9/10
9.17,404,δ18O,MIS 11
14.17,620,δ18O,MIS 15
17.54,781,PMAG,Brunhes/Matuyama
19.26,878,δ18O,MIS 22
21.64,988,PMAG,Upper Jaramillo
22.26,1038,δ18O,MIS 30
23.25,1072,PMAG,Lower Jaramillo
25.29,1195,δ18O,MIS 36
26.34,1247,δ18O,MIS 38
31.34,1540,δ18O,MIS 50
33.34,1655,δ18O,MIS 58
35.92,1795,δ18O,MIS 64
38.62,1945,PMAG,Lower Olduvai
40.96,2073,δ18O,MIS 78
43.96,2200,δ18O,MIS 84
49.01,2450,δ18O,MIS 96
52.11,2581,PMAG,Matuyama/G
54.51,2688,δ18O,MIS G4
57.01,2805,δ18O,MIS G10
62.02,3032,PMAG,Upper Keana
63.63,3116,PMAG,Lower Keana
65.98,3207,PMAG,Upper Mammoth
68.22,3330,PMAG,Lower Mammoth
74.58,3596,PMAG,Gauss/Gilbert
88.25,4187,PMAG,Upper Cochiti
