Exp,Site,Hole,Core,Section,Top offset cm,Bottom offset cm,Sample depth CSF m,Sample Depth CCSF m,U. peregrina δ13C (PDB‰),U. peregrina δ18O (PDB‰),U. peregrina size (mm) & note,U. auberiana size (mm) & note,U. auberiana δ18O (PDB‰),U. auberiana size (mm) & note,U. mediterranea δ13C (PDB‰),U. mediterranea δ18O (PDB‰),U. mediterranea size (mm) & note,U. spp δ13C (PDB‰),U. spp δ18O (PDB‰),U. spp size (mm) & note,C. brady δ13C (PDB‰),C. brady δ18O (PDB‰),C. brady size (mm) & note,C. lobatulus δ13C (PDB‰),C. lobatulus δ18O (PDB‰),C. lobatulus size (mm) & note,C. mundulus δ13C (PDB‰),C. mundulus δ18O (PDB‰),C. mundulus size (mm) & note,C. robertsonianus δ13C (PDB‰),C. robertsonianus δ18O (PDB‰),C. robertsonianus size (mm) & note,C. wuellerstorfi δ13C (PDB‰),C. wuellerstorfi δ18O (PDB‰),C. wuellerstorfi size (mm) & note,C. spp δ13C (PDB‰),C. spp δ18O (PDB‰),C. spp size (mm) & note
363,U1489,D,1,1,0,2,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,0.102,2.793,0.75,,,,,,
363,U1489,D,1,1,50,52,0.51,0.51,,,,,,,,,,,,,,,,,,,,,,,,,-0.276,4.295,0.5,,,
363,U1489,D,1,1,100,102,1.01,1.01,-0.79,4.29,0.75,,,,,,,,,,,,,,,,,,,,,,0.05,3.799,0.75,,,
363,U1489,D,1,2,0,2,1.51,1.51,-0.92,4.15,0.75,,,,,,,,,,,,,,,,,,,,,,-0.258,3.656,0.75,,,
363,U1489,D,1,2,50,52,2.01,2.01,-0.47,3.4,1,,,,,,,,,,,,,,,,,,,,,,0.009,3.02,0.5,,,
363,U1489,D,1,2,100,102,2.51,2.51,,,,,,,,,,,,,,,,,,,-0.162,3.37,0.5,,,,,,,,,
363,U1489,D,1,3,30,32,3.01,3.01,-1.05,4.14,0.75,,,,,,,,,,,,,,,,,,,-0.776,3.648,0.6,,,,,,
363,U1489,A,1,2,105,107,2.56,3.1,-1.05,4.28,0.75,,,,,,,,,,,,,,,,,,,-1.085,3.434,0.6,,,,,,
363,U1489,A,1,3,5,7,3.06,3.6,-1.16,4.56,0.75,,,,,,,,,,,,,,,,,,,-0.649,3.905,0.6,,,,,,
363,U1489,A,1,3,55,57,3.56,4.1,,,,,,,-0.91,4.42,0.75,,,,,,,,,,-0.429,3.382,0.75,,,,,,,,,
363,U1489,A,1,3,105,107,4.06,4.6,-1.26,4.48,0.75,,,,,,,,,,,,,,,,-0.726,3.802,0.75,,,,,,,,,
363,U1489,A,1,4,5,7,4.56,5.1,,,,,,,,,,,,,,,,,,,-0.116,2.981,0.6,-0.157,2.711,>0.60 ,,,,,,
363,U1489,A,1,4,55,57,5.06,5.6,-0.76,4.13,0.75-1,,,,,,,,,,,,,,,,-0.151,3.77,0.50-0.75 ,,,,,,,,,
363,U1489,A,1,4,105,107,5.56,6.1,-1.23,4.44,0.75,,,,,,,,,,,,,,,,-0.162,3.789,0.5,,,,,,,,,
363,U1489,A,1,5,5,7,6.06,6.6,-0.98,4.37,0.75-1,,,,,,,,,,,,,,,,-0.552,3.835,0.75,,,,,,,,,
363,U1489,D,2,1,105,107,4.76,6.67,-0.99,4.57,>1.0,,,,,,,,,,,,,,,,-0.86,4.007,0.6,,,,,,,,,
363,U1489,D,2,2,5,7,5.26,7.17,-1.02,4.32,1,,,,,,,,,,,,,,,,-0.439,3.686,0.6,,,,,,,,,
363,U1489,D,2,2,55,57,5.76,7.67,-0.85,3.83,0.75-1,,,,,,,,,,,,,,,,-0.163,3.008,0.6,,,,,,,,,
363,U1489,D,2,2,105,107,6.26,8.17,-1.14,3.76,0.75,,,,,,,,,,,,,,,,,,,,,,,,,-0.437,3.173,"0.6 , C.m+C.r"
363,U1489,D,2,3,5,7,6.76,8.67,-1.08,4.39,0.75-1.25,,,,,,,,,,,,,,,,-0.781,4.021,0.5,,,,,,,,,
363,U1489,D,2,3,55,57,7.26,9.17,-0.63,3.81,"0.75-1, 1 frag.",,,,,,,,,,,,,,,,-0.017,3.406,0.75,,,,,,,,,
363,U1489,D,2,3,105,107,7.76,9.67,,,,,,,,,,,,,,,,,,,-0.328,3.863,0.5,,,,,,,,,
363,U1489,D,2,4,5,7,8.26,10.17,-0.88,4.55,0.75,,,,,,,,,,,,,,,,-0.169,4.296,0.5-0.6 ,,,,,,,,,
363,U1489,D,2,4,55,57,8.76,10.67,-0.96,4.55,0.75,,,,,,,,,,,,,,,,-0.15,4.036,0.6,,,,,,,,,
363,U1489,D,2,4,105,107,9.26,11.17,-0.6,4.08,1,,,,,,,,,,,,,,,,0.308,3.286,0.5-0.6 ,,,,,,,,,
363,U1489,D,2,5,5,7,9.76,11.67,-0.5,3.66,0.75-1,,,,,,,,,,,,,,,,0.255,3.447,0.5-0.6 ,,,,,,,,,
363,U1489,D,2,5,55,57,10.26,12.17,-1,4.1,0.75-1,,,,,,,,,,,,,,,,-0.071,3.496,0.5-0.75 ,,,,,,,,,
363,U1489,D,2,5,105,107,10.76,12.67,,,,,,,,,,,,,,,,,,,-0.392,3.569,0.5-0.6 ,-0.322,3.505,0.5-0.6 ,,,,,,
363,U1489,D,2,6,5,7,11.26,13.17,-0.69,3.58,0.75-1,,,,,,,,,,,,,,,,-0.075,2.783,0.6-0.75 ,,,,,,,,,
363,U1489,D,2,6,55,57,11.76,13.67,,,,,,,,,,,,,,,,,,,-0.11,3.368,0.5-0.6 ,-0.222,3.325,0.4-0.5 ,,,,,,
363,U1489,D,2,6,105,107,12.26,14.17,-1,5.11,1,,,,,,,,,,,,,,,,-0.194,3.298,0.4,,,,,,,,,
363,U1489,D,2,7,5,7,12.76,14.67,-1.26,4.73,0.75,,,,,,,,,,,,,,,,-0.389,4.332,0.6,,,,,,,,,
363,U1489,C,2,4,110,112,9.11,14.73,-1.3,4.75,0.75,,,,,,,,,,,,,,,,-0.262,4.291,0.5-0.6 ,,,,,,,,,
363,U1489,C,2,5,10,12,9.61,15.23,-1.25,4.63,0.75,,,,,,,,,,,,,,,,-0.557,3.656,0.6,,,,,,,,,
363,U1489,C,2,5,60,62,10.11,15.73,-0.98,3.77,0.75,,,,,,,,,,,,,,,,-0.103,2.761,0.60-0.75 ,,,,,,,,,
