,Age [ka BP],U1476_d18O,U1476_d18O_error,U1476_d13C,U1476_d13C_error,U1308_d18O,U1308_d18O_error,U1308_d13C,U1308_d13C_error,MD06_3018_d18O,MD06_3018_d18O_error,MD06_3018_d13C,MD06_3018_d13C_error,ODP1143_d18O,ODP1143_d18O_error,ODP1143_d13C,ODP1143_d13C_error,ODP1090_d18O,ODP1090_d18O_error,ODP1090_d13C,ODP1090_d13C_error,ODP1088_d18O,ODP1088_d18O_error,ODP1088_d13C,ODP1088_d13C_error,ODP925_d18O,ODP925_d18O_error,ODP925_d13C,ODP925_d13C_error,ODP849_d18O,ODP849_d18O_error,ODP849_d13C,ODP849_d13C_error,DSDP502_d18O,DSDP502_d18O_error,DSDP502_d13C,DSDP502_d13C_error,ODP659_d18O,ODP659_d18O_error,ODP659_d13C,ODP659_d13C_error,ODP664_d18O,ODP664_d18O_error,ODP664_d13C,ODP664_d13C_error,ODP846_d18O,ODP846_d18O_error,ODP846_d13C,ODP846_d13C_error,DSDP607_d18O,DSDP607_d18O_error,DSDP607_d13C,DSDP607_d13C_error,DSDP552_d18O,DSDP552_d18O_error,DSDP552_d13C,DSDP552_d13C_error,ODP984_d18O,ODP984_d18O_error,ODP984_d13C,ODP984_d13C_error,ODP983_d18O,ODP983_d18O_error,ODP983_d13C,ODP983_d13C_error,ODP982_d18O,ODP982_d18O_error,ODP982_d13C,ODP982_d13C_error,ODP980_d18O,ODP980_d18O_error,ODP980_d13C,ODP980_d13C_error,ODP1063_d18O,ODP1063_d18O_error,ODP1063_d13C,ODP1063_d13C_error,ODP1264_d18O,ODP1264_d18O_error,ODP1264_d13C,ODP1264_d13C_error,ODP1267_d18O,ODP1267_d18O_error,ODP1267_d13C,ODP1267_d13C_error
0,3.5,2.8436,0.1181851428902973,0.6483999999999999,0.05028844797764195,2.81,0.03428043070024185,0.9276923076923076,0.02878514257943083,3.1854,0.03012274887854706,0.84065,0.07187740430761257,2.668,0.0,0.243,0.0,,,,,3.38,0.30405591591021536,0.495,0.03889087296526013,2.48,0.0,1.43,0.0,3.575,0.06010407640085651,0.145,0.045961940777125586,2.32,0.0,0.87,0.0,,,,,,,,,2.74,0.0,0.14,0.0,2.52,0.0,0.96,0.0,,,,,2.6625,0.044692234597671784,1.0858333333333334,0.04190694607853966,2.7963333333333327,0.017240026639147584,1.0253333333333332,0.03665676634017952,2.236666666666667,0.014076510510355467,0.9800000000000001,0.039651257511234404,2.596956521739131,0.01937038043088762,1.0213043478260868,0.039897336815887995,,,,,3.375,0.05303300858899119,1.055,0.06010407640085651,3.7300000000000004,0.20677416559027775,0.75,0.2163844315615664
1,8.5,2.6962,0.017815498870365626,0.6944000000000001,0.02277999122036705,2.791538461538462,0.0370006581397752,0.9753846153846155,0.037505271970488856,4.0213,0.0,0.804,0.0,,,,,,,,,3.54,0.0,0.53,0.0,2.875,0.18738329701443518,0.975,0.18031222920256962,3.31,0.0,0.19,0.0,2.18,0.0,0.93,0.0,2.59,0.0,1.04,0.0,3.46,0.0,0.86,0.0,3.0233333333333334,0.09914448864979661,-0.05000000000000001,0.026246692913372706,2.69,0.0,0.88,0.0,2.895,0.13081475451951133,1.275,0.010606601717798222,2.975,0.18031222920256954,0.825,0.03889087296526011,2.9989999999999997,0.0490397797711205,0.884,0.06415917705207883,2.2439999999999998,0.04153071152773574,0.8480000000000001,0.08036914830953479,2.7399999999999993,0.01673320053068147,0.8640000000000001,0.07113929996844219,,,,,4.115,0.1590990257669731,0.6950000000000001,0.045961940777125586,4.494999999999999,0.33587572106361013,0.41000000000000003,0.10606601717798214
2,13.5,3.2600000000000002,0.1535237947536328,0.48977777777777787,0.039414046711664895,3.4092857142857147,0.061598306080227185,0.6264285714285714,0.05009793615506615,4.1226,0.2809335241654153,-0.02165,0.000530330085889911,4.159,0.0,-0.121,0.0,,,,,4.05,0.0,0.09,0.0,3.675,0.038890872965260066,0.32,0.007071067811865481,4.17,0.0,-0.15,0.0,2.24,0.0,0.85,0.0,,,,,3.87,0.0919238815542511,0.775,0.017677669529663702,3.665,0.11667261889578036,-0.19,0.014142135623730942,3.365,0.1725,0.39249999999999996,0.11928825382241119,3.64,0.0,1.09,0.0,3.5691666666666664,0.1459426177824188,0.9025,0.08949802139339917,3.6627272727272735,0.08819672703481907,0.989090909090909,0.03496053372170807,3.293333333333333,0.24519077983994123,1.06,0.18263503375736967,3.458571428571428,0.11587227813264978,0.6849999999999999,0.06715615369861379,,,,,4.405,0.003535533905932662,0.725,0.010606601717798222,4.324999999999999,0.3429467888754755,0.655,0.13788582233137675
3,18.5,3.883555555555555,0.09092130183610476,0.29444444444444445,0.0442986265335304,4.1530000000000005,0.10222573061612228,0.22799999999999998,0.07278461375867841,4.67,0.053457272657702753,0.08655,0.030370236251962217,,,,,,,,,3.65,0.0,0.52,0.0,,,,,4.805,0.0813172798364528,-0.265,0.0035355339059327407,3.325,0.25809397513308985,0.845,0.22273863607376243,4.295,0.08131727983645311,0.135,0.017677669529663688,4.846666666666667,0.02227770850640396,-0.09333333333333334,0.03030707043774635,4.35,0.0,-0.42,0.007071067811865481,,,0.5233333333333333,0.13015660083430555,4.04,0.03535533905932725,0.995,0.03889087296526014,4.695,0.0298956518577535,1.55875,0.016718019843869083,4.416923076923076,0.020246545921636657,0.9592307692307694,0.04514882082455725,3.865,0.024748737341529103,1.435,0.0035355339059327407,4.535,0.03716517186829632,0.845,0.014361406616345085,,,,,4.09,0.0,0.64,0.0,5.06,0.0,0.33,0.0
4,23.5,4.269333333333333,0.007915058316155852,0.1069444444444445,0.0034937480905418454,4.378666666666666,0.030592180070754708,0.32733333333333337,0.04192550713048261,4.871,0.0,0.132,0.0,4.049,0.0,-0.217,0.0,,,,,4.58,0.0,0.28,0.0,4.08,0.03535533905932725,0.385,0.017677669529663684,,,,,3.85,0.0,1.29,0.0,4.29,0.0,0.4,0.0,4.6625,0.09057973007246155,-0.049999999999999996,0.08314144574157946,4.1000000000000005,0.0805536398239638,-0.34,0.029439202887759485,3.95,0.0,0.74,0.014142135623730963,3.925,0.10960155108391488,1.175,0.04596194077712555,4.63,0.07348469228349523,1.4333333333333336,0.11684113938100682,4.237500000000001,0.03224660834878605,1.1637499999999998,0.056539187184642126,3.75,0.007071067811865324,1.295,0.024748737341529183,4.48,0.014142135623730963,0.685,0.03889087296526011,,,,,4.66,0.049497474683058526,0.61,0.05656854249492377,5.045,0.03181980515339459,0.275,0.038890872965260115
5,28.5,4.196000000000001,0.02829507220544089,0.083,0.024220055968372803,4.258823529411764,0.021010499153989077,0.3141176470588235,0.042386088528105485,4.6518,0.0,0.3726,0.0,3.998333333333333,0.031980318021257136,-0.14366666666666666,0.018887581654111803,,,,,4.46,0.0,0.28,0.0,3.78,0.0,0.79,0.0,4.675,0.08838834764831843,-0.12,0.028284271247461898,,,,,3.895,0.16617009357883858,0.55,0.04242640687119285,4.4399999999999995,0.15627610892974717,0.5366666666666666,0.06400231477295408,3.983333333333333,0.059317101400173856,-0.38333333333333336,0.02596293654566205,3.85,0.028284271247461926,0.79,0.03535533905932737,3.91,0.0,1.16,0.0,4.378181818181818,0.04131752038310824,1.3809090909090909,0.04747255919775522,4.18,0.04930770730829007,1.2662499999999999,0.07407634364289316,2.9699999999999998,0.43840620433565936,1.255,0.13081475451951124,4.09,0.06964194138592057,0.8350000000000001,0.06581223290544091,,,,,4.42,0.0,0.58,0.0,4.68,0.0,0.23,0.0
6,33.5,3.9247222222222216,0.044314213132997195,0.23711111111111116,0.04876465697149243,4.156666666666667,0.02128904868622209,0.6074074074074075,0.056686253193545935,4.587,0.0,0.361,0.0,3.711,0.1551923537635365,-0.02033333333333333,0.04470727838664238,,,,,4.025,0.08838834764831859,0.41000000000000003,0.021213203435596423,3.7800000000000002,0.04690415759823425,0.695,0.09522998477370455,4.57,0.014142135623730963,0.035,0.010606601717798213,3.6,0.0,1.31,0.0,,,,,4.555,0.06269968101992231,0.51,0.0575543221661067,3.8575,0.021901769334919066,-0.185,0.008291561975888501,3.875,0.04596194077712555,0.9099999999999999,0.04242640687119285,3.9850000000000003,0.010606601717798142,1.155,0.038890872965260066,4.185384615384615,0.03638413375214458,1.2161538461538461,0.07681945683592295,4.092727272727273,0.0556121591599468,0.8209090909090908,0.12935603085963784,3.56,0.014142135623730963,1.255,0.024748737341529183,4.088,0.039334463260606495,0.916,0.05378475620470917,,,,,4.54,0.0,0.5,0.0,4.43,0.0,0.32,0.0
7,38.5,3.8636666666666666,0.018771530847812315,0.32366666666666666,0.008355526004675876,3.8699999999999997,0.03698648401781384,0.4699999999999999,0.05425863986500214,4.349,0.0,0.2985,0.0,3.796333333333333,0.028195350286488313,-0.12933333333333333,0.04211149222929268,,,,,4.06,0.0,0.44,0.0,,,,,4.72,0.0,0.02,0.0,,,,,3.74,0.0,0.66,0.0,4.28,0.0,0.7,0.0,3.7433333333333336,0.019626135258506344,-0.22,0.012472191289246471,3.55,0.0,0.77,0.0,3.92,0.007071067811865481,1.02,0.07778174593052017,3.8419999999999996,0.08447248072597369,0.943,0.06858644180885899,4.066363636363636,0.023115689182916475,1.07,0.029541957835039854,3.4800000000000004,0.007071067811865481,1.1,0.014142135623730963,3.91,0.08463155439905373,0.8500000000000001,0.08993052874302476,,,,,4.5,0.0,0.61,0.0,4.880000000000001,0.04242640687119289,0.26,0.15556349186104046
8,43.5,3.7123333333333335,0.01947885843487564,0.4331666666666667,0.019217203904989037,4.037727272727273,0.027566087518305287,0.7172727272727273,0.03220660202698692,4.5856,0.0,0.479,0.0,3.703,0.07576792050583006,-0.07766666666666666,0.04292284205840022,,,,,3.96,0.0,0.54,0.0,3.563333333333333,0.08384288657739329,0.6733333333333333,0.11741032827304922,4.41,0.03535533905932725,0.07500000000000001,0.017677669529663688,3.58,0.0,1.24,0.0,,,,,4.435,0.06010407640085651,0.15,0.0,3.7,0.007071067811865481,-0.235,0.01767766952966369,3.59,0.0,0.32,0.0,,,,,4.079444444444444,0.03483180239611303,1.1677777777777778,0.05337125709289851,3.947857142857143,0.03978486240981524,0.9214285714285712,0.09365512692230905,3.27,0.03535533905932725,1.255,0.09545941546018384,3.87,0.0,0.89,0.0,,,,,4.51,0.07071067811865481,0.6599999999999999,0.12020815280171306,4.61,0.0,0.42,0.0
9,48.5,3.6969999999999996,0.02302052224525855,0.43183333333333335,0.013483357368471918,3.9260000000000006,0.036656513745854234,0.6685,0.061908299120554094,4.4798,0.0,0.6037,0.0,3.5784,0.02221350940306372,-0.12940000000000002,0.03509567874634521,,,,,3.98,0.0,0.51,0.0,3.7,0.0,1.02,0.0,4.63,0.0,-0.02,0.0,,,,,3.785,0.003535533905932819,0.635,0.12374368670764582,4.34,0.0,-0.29,0.0,3.7433333333333336,0.03138765975961223,-0.31,0.030912061651652348,3.91,0.0,0.03,0.0,3.6399999999999997,0.035355339059327404,1.1949999999999998,0.03889087296526014,4.0825,0.12660840216984023,1.1725,0.07012266038877876,3.939,0.021328384842739488,1.1060000000000003,0.05817559625822498,3.5933333333333333,0.03781044339371905,1.3099999999999998,0.029439202887759457,3.905,0.07424621202458748,1.02,0.05656854249492385,,,,,4.11,0.0,0.39,0.0,4.67,0.05656854249492385,0.365,0.07424621202458748
