Sapropel no. in site,Site,Hole,Core,Section,Interval (top),Interval (bottom),mbsf (middle),rmcd (middle),Thickness (cm),Type,Insolation cycle,Age (Ma) with 3 ky lag
1,964,A,1,1,72,84,0.78,0.78,12,SAP,2,0.008
x,964,F,1,4,98,99,5.49,5.91,1,SAP,8,0.081
2,964,B,1,5,13,38,6.26,6.84,25,SAP,10,0.102
3,964,B,1,5,118,138,7.28,7.86,19.5,SAP,12,0.124
4,964,A,2,3,80,138,10.89,10.99,58,SAP,16,0.172
5,964,A,2,4,67,76,12.02,12.12,9,SAP,18,0.195
6,964,A,2,4,131,150,12.71,12.81,19,SAP,20,0.217
7,964,A,2,5,57,59,13.38,13.48,2,SAP,22,0.24
8,964,B,2,7,12,22,17.27,19.57,10,SAP,38,0.407
9,964,A,3,4,103,107,21.85,22.61,4,SAP,44,0.461
10,964,A,3,5,86,96,23.21,23.97,10,SAP,46,0.483
11,964,A,3,6,69,71,24.5,25.26,2,GHOST?,54,0.575
12,964,A,3,6,111,116,24.94,25.7,5,SAP,56,0.597
*,964,E,3,6,96,,23.46,28.76,,RED INTERVALS,64,0.69
*,964,D,4,2,50,,25.1,30.54,,RED INTERVALS,76,0.804
*,964,D,4,3,68,,26.78,32.22,,RED INTERVALS,82,0.862
*,964,D,4,3,112,,27.22,32.66,,RED INTERVALS,84,0.882
*,964,D,4,4,10,,27.7,33.14,,RED INTERVALS,86,0.908
13,964,D,4,4,114,126,28.8,34.24,12,SAP,90,0.955
14,964,D,4,5,20,25,29.33,34.77,5,SAP,92,0.977
15,964,D,4,5,65,68,29.77,35.21,3,SAP,94,0.997
16,964,D,4,5,140,147,30.54,35.98,7,SAP,96,1.027
17,964,D,4,6,85,97,31.51,36.95,12,SAP,100,1.07
18,964,B,4,3,118,122,31.3,37.86,4,SAP,102,1.091
19,964,B,4,4,126,129,32.88,39.44,3,SAP,104,1.111
*,964,B,4,5,56,,33.66,40.22,,RED INTERVALS,110,1.164
20,964,B,4,6,58,61,48.14,41.76,3,SAP,122,1.28
*,964,A,5,2,104,,37.84,43.16,,RED INTERVALS,128,1.335
21,964,A,5,3,29,35,38.62,43.94,6,SAP,130,1.356
22,964,A,5,4,101,103,40.82,46.14,2,SAP,136,1.406
23,964,B,5,3-Feb,142,15,39.64,47.1,23,SAP,140,1.449
24,964,B,5,3,49,54,40.12,47.58,4.5,SAP,142,1.471
*,964,B,5,4,96,,42.06,49.52,,RED INTERVALS,148,1.524
25,964,B,5,5,84,90,43.47,50.93,6,SAP,152,1.564
26,964,B,5,6,35,39,44.47,51.93,4,SAP,156,1.603
27,964,A,6,3,41,47,48.24,54.54,6,SAP,160,1.642
28,964,D,6,3,55.5,58.3,45.67,55.89,3,SAP,166,1.694
29,964,D,6,3,113,118,46.26,56.48,5,SAP,168,1.715
30,964,D,6,4,12,22,46.77,56.99,10,SAP,170,1.736
31,964,D,6,4,68,69,47.29,57.51,1,SAP,172,1.757
32,964,D,6,5,56,61.5,48.69,58.91,5.5,SAP,176,1.808
33,964,D,6,5,121,123.5,49.32,59.54,2.5,SAP,178,1.829
34,964,D,6,5,145,148,49.57,59.79,3,SAP,178,1.829
*,964,D,6,6,36,,49.96,60.18,,RED INTERVALS,180,1.851
35,964,D,6,6,112,114,50.73,60.95,2,SAP,182,1.872
36,964,D,6,6,120,124,50.82,61.04,4,SAP,182,1.872
37,964,B,6,5,116,121,53.28,61.86,5,SAP,184,1.9
38,964,B,6,6,90,93,54.52,63.1,3,SAP,188,1.944
*,964,D,7,2,24,,53.34,64.58,,RED INTERVALS,196,2.02
*,964,D,7,3,142,,56.02,67.26,,RED INTERVALS,204,2.094
39,964,D,7,4,48,51,56.6,67.84,3,SAP,206,2.115
*,964,D,7,4,120,,57.3,68.54,,RED INTERVALS,208,2.137
40,964,D,7,5,28,32,57.9,69.14,4,SAP,210,2.16
41,964,C,7,4,85,90,57.98,73.1,5,SAP,212,2.185
42,964,C,7,5,52,58,59.15,74.27,6,SAP,214,2.208
43,964,C,7,6,17,37,60.37,75.49,20,SAP,216,2.229
44,964,D,8,2,21,23,62.82,78.34,2,GHOST,222,2.301
