depth (mcd)	age SBP90 (kyr)	607 O18	607 C13
0	0.00	2.64	0.88
0.192	3.01	2.52	0.96
0.383	5.99	2.69	0.88
0.575	9.00	3.02	0.7
0.788	11.96	3.71	0.55
1.007	15.00	4.43	0.15
1.235	19.08	4.35	0.17
1.532	24.39	4.18	0.22
1.83	29.72	4.01	0.59
2.03	33.30	4.16	0.76
2.2	36.34	4.03	0.76
2.377	39.51	3.95	0.72
2.603	43.55	3.89	0.84
2.83	47.61	3.81	0.74
3.017	50.96	3.94	0.97
3.158	53.48	3.81	0.85
3.3	56.02	3.55	0.77
3.442	58.56	3.59	0.32
3.566	60.78	3.91	0.03
3.69	63.00	4.02	-0.01
3.814	68.08	3.73	0.4
4.01	76.12	3.32	1.09
4.129	81.00	3.35	1.19
4.224	82.69	3.25	1.07
4.32	84.39	3.13	0.91
4.416	86.10	3.4	0.67
4.521	87.96	3.65	0.93
4.636	90.00	3.43	1.01
4.757	92.95	3.38	0.98
4.879	95.93	3.17	1.01
5	98.88	2.98	0.83
5.187	103.44	3.33	0.71
5.374	108.00	3.36	0.7
5.489	112.28	3.05	0.91
5.596	116.26	2.98	0.81
5.687	119.65	2.55	0.78
5.777	123.00	2.41	0.92
5.856	127.07	3.2	0.29
6.01	135.00	4	0.12
6.322	144.34	4.25	-0.17
6.49	149.36	4.29	-0.25
6.557	151.37	4.33	-0.03
6.615	153.10	4.19	-0.02
6.672	154.81	4.1	0.07
6.751	157.17	3.94	0.14
6.848	160.08	3.95	-0.13
6.945	162.98	3.96	0.09
7.042	165.88	3.74	0.14
7.139	168.79	3.71	0.21
7.229	171.48	3.66	0.28
7.306	173.78	3.72	0.38
7.383	176.09	3.86	0.17
7.46	178.39	3.78	0.08
7.537	180.70	3.88	0.04
7.614	183.00	3.97	-0.18
7.773	186.50	3.69	0.02
8.005	191.60	3.42	0.61
8.236	196.68	3.09	0.86
8.296	198.00	2.84	0.85
8.347	200.02	3.05	0.84
8.397	202.00	3.16	1.09
8.448	204.03	2.99	0.92
8.498	206.01	2.91	0.97
8.548	207.99	2.92	0.86
8.614	210.61	2.97	0.8
8.698	213.94	2.89	0.38
8.75	216.00	2.92	0.26
8.8	225.00	4.03	0.44
8.85	227.40	3.69	0.53
8.9	229.80	3.35	0.62
8.95	232.20	3.64	0.83
9	234.60	3	0.79
9.05	237.00	2.81	0.7
9.1	238.05	2.76	0.72
9.15	239.10	3.27	0.56
9.32	242.67	3.76	0.62
9.48	246.03	4.06	0.39
9.62	248.97	4.06	-0.03
9.78	252.33	4	0.5
9.92	255.28	3.8	0.28
10.08	258.64	3.74	0.5
10.22	261.58	3.83	0.47
10.38	264.94	3.48	-0.39
10.525	267.98	3.75	0.33
10.585	269.25	2.91	0.74
10.755	272.82	3.5	-0.3
10.885	275.55	3.79	-0.15
11.035	278.70	3.65	0.44
11.185	281.85	3.39	0.91
11.335	285.00	3.22	0.77
11.485	287.69	3.21	0.68
11.635	290.37	3.35	-0.32
11.785	293.06	3.58	0.13
12.005	297.00	3.61	0.54
12.085	299.45	3.55	0.69
12.255	304.65	3.26	0.36
12.385	308.63	3.24	0.49
12.535	313.22	2.93	0.39
12.685	317.82	2.87	0.72
12.835	322.41	2.45	0.56
12.985	327.00	2.29	0.51
13.135	329.60	2.6	0.71
13.285	332.19	2.89	-0.12
13.505	336.00	3.17	-0.43
13.585	342.00	4.13	-0.27
13.755	345.40	3.88	-0.43
13.885	348.00	3.76	-0.06
14.035	351.00	4.07	0.14
14.185	354.00	3.73	0.83
