Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
306,1313,A,1,H,1,1.5,1.5,0,
306,1313,A,1,H,2,1.5,1.5,1.5,
306,1313,A,1,H,3,1.5,1.5,3,
306,1313,A,1,H,4,0.5,0.5,4.5,
306,1313,A,1,H,CC(4),0.15,0.15,5,
306,1313,A,2,H,1,1.5,1.5,5.2,
306,1313,A,2,H,2,1.5,1.5,6.7,
306,1313,A,2,H,3,1.5,1.5,8.2,
306,1313,A,2,H,4,1.5,1.5,9.7,
306,1313,A,2,H,5,1.5,1.5,11.2,
306,1313,A,2,H,6,1.5,1.5,12.7,
306,1313,A,2,H,7,0.71,0.71,14.2,
306,1313,A,2,H,CC(7),0.12,0.12,14.91,
306,1313,A,3,H,1,1.5,1.5,14.7,
306,1313,A,3,H,2,1.5,1.5,16.2,
306,1313,A,3,H,3,1.5,1.5,17.7,
306,1313,A,3,H,4,1.5,1.5,19.2,
306,1313,A,3,H,5,1.5,1.5,20.7,
306,1313,A,3,H,6,1.5,1.5,22.2,
306,1313,A,3,H,7,0.77,0.77,23.7,
306,1313,A,3,H,CC(7),0.3,0.3,24.47,
306,1313,A,4,H,1,1.5,1.5,24.2,
306,1313,A,4,H,2,1.5,1.5,25.7,
306,1313,A,4,H,3,1.5,1.5,27.2,
306,1313,A,4,H,4,1.5,1.5,28.7,
306,1313,A,4,H,5,1.5,1.5,30.2,
306,1313,A,4,H,6,1.5,1.5,31.7,
306,1313,A,4,H,7,0.66,0.66,33.2,
306,1313,A,4,H,CC(7),0.34,0.34,33.86,
306,1313,A,5,H,1,1.5,1.5,33.7,0/0 Other: VOID 0 to 31 cm
306,1313,A,5,H,2,1.5,1.5,35.2,
306,1313,A,5,H,3,1.5,1.5,36.7,
306,1313,A,5,H,4,1.5,1.5,38.2,
306,1313,A,5,H,5,1.5,1.5,39.7,
306,1313,A,5,H,6,1.5,1.5,41.2,
306,1313,A,5,H,7,0.86,0.86,42.7,
306,1313,A,5,H,CC(7),0.27,0.27,43.56,
306,1313,A,6,H,1,1.21,0.35,43.2,0/0
306,1313,A,6,H,2,1.33,1.33,43.55,
306,1313,A,6,H,3,1.5,1.5,44.88,
306,1313,A,6,H,4,1.5,1.5,46.38,
306,1313,A,6,H,5,1.5,1.5,47.88,
306,1313,A,6,H,6,1.5,1.5,49.38,
306,1313,A,6,H,7,0.86,0.86,50.88,
306,1313,A,6,H,CC(7),0.26,0.26,51.74,
306,1313,A,7,H,1,1.5,1.5,52.7,
306,1313,A,7,H,2,1.5,1.5,54.2,
306,1313,A,7,H,3,1.5,1.5,55.7,
306,1313,A,7,H,4,1.5,1.5,57.2,
306,1313,A,7,H,5,1.5,1.5,58.7,
306,1313,A,7,H,6,1.5,1.5,60.2,
306,1313,A,7,H,7,0.75,0.75,61.7,
306,1313,A,7,H,CC(7),0.16,0.16,62.45,
306,1313,A,8,H,1,1.5,1.5,62.2,
306,1313,A,8,H,2,1.5,1.5,63.7,
306,1313,A,8,H,3,1.5,1.5,65.2,
306,1313,A,8,H,4,1.5,1.5,66.7,
306,1313,A,8,H,5,1.5,1.5,68.2,
306,1313,A,8,H,6,1.5,1.5,69.7,
306,1313,A,8,H,7,0.8,0.8,71.2,
306,1313,A,8,H,CC(7),0.31,0.31,72,
306,1313,A,9,H,1,1.5,1.5,71.7,
306,1313,A,9,H,2,1.5,1.5,73.2,
306,1313,A,9,H,3,1.5,1.5,74.7,
306,1313,A,9,H,4,1.5,1.5,76.2,
306,1313,A,9,H,5,1.5,1.5,77.7,
306,1313,A,9,H,6,1.5,1.5,79.2,
306,1313,A,9,H,7,0.77,0.77,80.7,
306,1313,A,9,H,CC(7),0.29,0.29,81.47,
306,1313,A,10,H,1,1.5,1.5,81.2,
306,1313,A,10,H,2,1.5,1.5,82.7,
306,1313,A,10,H,3,1.5,1.5,84.2,
306,1313,A,10,H,4,1.5,1.5,85.7,
306,1313,A,10,H,5,1.5,1.5,87.2,
306,1313,A,10,H,6,1.5,1.5,88.7,
306,1313,A,10,H,7,0.69,0.69,90.2,
306,1313,A,10,H,CC(7),0.29,0.29,90.89,
306,1313,A,11,H,1,1.5,1.5,90.7,
306,1313,A,11,H,2,1.5,1.5,92.2,
306,1313,A,11,H,3,1.5,1.5,93.7,
306,1313,A,11,H,4,1.5,1.5,95.2,
306,1313,A,11,H,5,1.5,1.5,96.7,
306,1313,A,11,H,6,1.5,1.5,98.2,
306,1313,A,11,H,7,0.76,0.76,99.7,
306,1313,A,11,H,CC(7),0.26,0.26,100.46,
306,1313,A,12,H,1,1.5,1.5,100.2,
306,1313,A,12,H,2,1.5,1.5,101.7,
306,1313,A,12,H,3,1.5,1.5,103.2,
306,1313,A,12,H,4,1.5,1.5,104.7,
306,1313,A,12,H,5,1.5,1.5,106.2,
306,1313,A,12,H,6,1.5,1.5,107.7,
306,1313,A,12,H,7,0.7,0.7,109.2,
306,1313,A,12,H,CC(7),0.29,0.29,109.9,
306,1313,A,13,H,1,1.5,1.5,109.7,
306,1313,A,13,H,2,1.5,1.5,111.2,
306,1313,A,13,H,3,1.5,1.5,112.7,
306,1313,A,13,H,4,1.5,1.5,114.2,
306,1313,A,13,H,5,1.5,1.5,115.7,
306,1313,A,13,H,6,1.5,1.5,117.2,
306,1313,A,13,H,7,0.65,0.65,118.7,
306,1313,A,13,H,CC(7),0.25,0.25,119.35,
306,1313,A,14,H,1,1.5,1.5,119.2,
306,1313,A,14,H,2,1.5,1.5,120.7,
306,1313,A,14,H,3,1.5,1.5,122.2,
306,1313,A,14,H,4,1.5,1.5,123.7,
306,1313,A,14,H,5,1.5,1.5,125.2,
306,1313,A,14,H,6,1.5,1.5,126.7,
306,1313,A,14,H,7,0.84,0.84,128.2,
306,1313,A,14,H,CC(7),0.28,0.28,129.04,
306,1313,A,15,H,1,1.5,1.5,128.7,
306,1313,A,15,H,2,1.5,1.5,130.2,
306,1313,A,15,H,3,1.5,1.5,131.7,
306,1313,A,15,H,4,1.5,1.5,133.2,
306,1313,A,15,H,5,1.5,1.5,134.7,
306,1313,A,15,H,6,1.5,1.5,136.2,
306,1313,A,15,H,7,0.75,0.75,137.7,
306,1313,A,15,H,CC(7),0.26,0.26,138.45,
306,1313,A,16,H,1,1.5,1.5,138.2,
306,1313,A,16,H,2,1.5,1.5,139.7,
306,1313,A,16,H,3,1.5,1.5,141.2,
306,1313,A,16,H,4,1.5,1.5,142.7,
306,1313,A,16,H,5,1.5,1.5,144.2,
306,1313,A,16,H,6,1.5,1.5,145.7,
306,1313,A,16,H,7,0.68,0.68,147.2,
306,1313,A,16,H,CC(7),0.18,0.18,147.88,
306,1313,A,17,H,1,1.5,1.5,147.7,
306,1313,A,17,H,2,1.5,1.5,149.2,
306,1313,A,17,H,3,1.5,1.5,150.7,
306,1313,A,17,H,4,1.5,1.5,152.2,
306,1313,A,17,H,5,1.5,1.5,153.7,
306,1313,A,17,H,6,1.5,1.5,155.2,
306,1313,A,17,H,7,0.78,0.78,156.7,
306,1313,A,17,H,CC(7),0.28,0.28,157.48,
306,1313,A,18,H,1,1.5,1.5,157.2,
306,1313,A,18,H,2,1.5,1.5,158.7,
306,1313,A,18,H,3,1.5,1.5,160.2,
306,1313,A,18,H,4,1.5,1.5,161.7,
306,1313,A,18,H,5,1.5,1.5,163.2,
306,1313,A,18,H,6,1.5,1.5,164.7,
306,1313,A,18,H,7,0.78,0.78,166.2,0/0
306,1313,A,18,H,CC(7),0.22,0.22,166.98,
306,1313,A,19,H,1,1.5,1.5,166.7,
306,1313,A,19,H,2,1.5,1.5,168.2,
306,1313,A,19,H,3,1.5,1.5,169.7,
306,1313,A,19,H,4,1.5,1.5,171.2,
306,1313,A,19,H,5,1.5,1.5,172.7,
306,1313,A,19,H,6,1.5,1.5,174.2,
306,1313,A,19,H,7,0.84,0.84,175.7,
306,1313,A,19,H,CC(7),0.18,0.18,176.54,
306,1313,A,20,H,1,1.5,1.5,176.2,
306,1313,A,20,H,2,1.5,1.5,177.7,
306,1313,A,20,H,3,1.5,1.5,179.2,
306,1313,A,20,H,4,1.5,1.5,180.7,
306,1313,A,20,H,5,1.5,1.5,182.2,
306,1313,A,20,H,6,1.5,1.5,183.7,
306,1313,A,20,H,7,0.84,0.84,185.2,
306,1313,A,20,H,CC(7),0.38,0.38,186.04,
306,1313,A,21,H,1,1.5,1.5,185.7,
306,1313,A,21,H,2,1.5,1.5,187.2,
306,1313,A,21,H,3,1.5,1.5,188.7,
306,1313,A,21,H,4,1.5,1.5,190.2,
306,1313,A,21,H,5,1.5,1.5,191.7,
306,1313,A,21,H,6,1.5,1.5,193.2,
306,1313,A,21,H,7,0.75,0.75,194.7,
306,1313,A,21,H,CC(7),0.28,0.28,195.45,
306,1313,A,22,H,1,1.5,1.5,195.2,
306,1313,A,22,H,2,0.67,0.67,196.7,Crushed Liner.
306,1313,A,22,H,3,0.8,0.8,197.37,Crushed Liner.
306,1313,A,22,H,4,1.5,1.5,198.17,
306,1313,A,22,H,5,1.5,1.5,199.67,
306,1313,A,22,H,6,1.5,1.5,201.17,
306,1313,A,22,H,7,1.07,1.07,202.67,
306,1313,A,22,H,   CC,0.6,0.6,203.74,
306,1313,A,23,H,1,1.5,1.5,204.7,
306,1313,A,23,H,2,1.5,1.5,206.2,
306,1313,A,23,H,3,1.5,1.5,207.7,
306,1313,A,23,H,4,1.5,1.5,209.2,
306,1313,A,23,H,5,1.5,1.5,210.7,
306,1313,A,23,H,6,1.03,1.03,212.2,
306,1313,A,23,H,   CC,0.63,0.63,213.23,
306,1313,A,24,H,1,1.5,1.5,214.2,
306,1313,A,24,H,2,1.5,1.5,215.7,
306,1313,A,24,H,3,1.5,1.5,217.2,
306,1313,A,24,H,4,1.5,1.5,218.7,
306,1313,A,24,H,5,1.5,1.5,220.2,
306,1313,A,24,H,6,1.5,1.5,221.7,
306,1313,A,24,H,7,0.79,0.79,223.2,
306,1313,A,24,H,CC(7),0.26,0.26,223.99,
306,1313,A,25,H,1,1.5,1.5,223.7,
306,1313,A,25,H,2,1.5,1.5,225.2,
306,1313,A,25,H,3,1.5,1.5,226.7,
306,1313,A,25,H,4,1.5,1.5,228.2,
306,1313,A,25,H,5,1.5,1.5,229.7,
306,1313,A,25,H,6,1.5,1.5,231.2,
306,1313,A,25,H,7,0.74,0.74,232.7,
306,1313,A,25,H,CC(7),0.21,0.21,233.44,
306,1313,A,26,H,1,1.25,1.25,233.2,
306,1313,A,26,H,2,1.5,0.96,234.45,1/0 Crushed Liner.
306,1313,A,26,H,3,1.5,1.5,235.41,
306,1313,A,26,H,4,1.5,1.5,236.91,
306,1313,A,26,H,5,1.5,1.5,238.41,
306,1313,A,26,H,6,1.5,1.5,239.91,
306,1313,A,26,H,7,1.07,1.07,241.41,
306,1313,A,26,H,   CC,0.45,0.45,242.48,
306,1313,A,27,H,1,1.5,1.5,242.7,
306,1313,A,27,H,2,1.5,1.5,244.2,
306,1313,A,27,H,3,1.5,1.5,245.7,
306,1313,A,27,H,4,1.5,1.5,247.2,
306,1313,A,27,H,5,1.5,1.5,248.7,
