SectionLabel,Leg,Site,Hole,Core,Type,Section,LL(m),CL(m),Top(mbsf),Comment,CoreLabel,Bottom(mbsf),Top(mcd),Bottom(mcd),Filename
1313B_1H1,306,1313,B,1,H,1,1.5,1.5,0.0,,1313B_1,1.5,0.0,1.5595794392523363,1313b_001h_01.jpg
1313B_1H2,306,1313,B,1,H,2,1.5,1.5,1.5,,1313B_1,3.0,1.5595794392523363,3.1191588785046727,1313b_001h_02.jpg
1313B_1H3,306,1313,B,1,H,3,1.5,1.5,3.0,,1313B_1,4.5,3.1191588785046727,4.678738317757009,1313b_001h_03.jpg
1313C_2H1,306,1313,C,2,H,1,1.5,1.5,2.7,,1313C_2,4.2,3.130000000000001,4.630000000000001,1313c_002h_01.jpg
1313C_2H2,306,1313,C,2,H,2,1.5,1.5,4.2,,1313C_2,5.7,4.630000000000001,6.130000000000001,1313c_002h_02.jpg
1313C_2H3,306,1313,C,2,H,3,1.5,1.5,5.7,,1313C_2,7.2,6.130000000000001,7.630000000000002,1313c_002h_03.jpg
1313C_2H4,306,1313,C,2,H,4,1.5,1.5,7.2,,1313C_2,8.7,7.630000000000002,9.13,1313c_002h_04.jpg
1313C_2H5,306,1313,C,2,H,5,1.5,1.5,8.7,,1313C_2,10.2,9.13,10.630000000000003,1313c_002h_05.jpg
1313C_2H6,306,1313,C,2,H,6,1.5,1.5,10.2,,1313C_2,11.7,10.630000000000003,12.130000000000003,1313c_002h_06.jpg
1313B_2H3,306,1313,B,2,H,3,1.5,1.5,8.9,,1313B_2,10.4,10.660000000000002,12.160000000000002,1313b_002h_03.jpg
1313B_2H4,306,1313,B,2,H,4,1.5,1.5,10.4,,1313B_2,11.9,12.160000000000002,13.660000000000002,1313b_002h_04.jpg
1313B_2H5,306,1313,B,2,H,5,1.5,1.5,11.9,,1313B_2,13.4,13.660000000000002,15.160000000000002,1313b_002h_05.jpg
1313B_2H6,306,1313,B,2,H,6,1.5,1.5,13.4,,1313B_2,14.9,15.160000000000002,16.660000000000004,1313b_002h_06.jpg
1313C_3H2,306,1313,C,3,H,2,1.5,1.5,13.7,,1313C_3,15.2,15.14,16.64,1313c_003h_02.jpg
1313C_3H3,306,1313,C,3,H,3,1.5,1.5,15.2,,1313C_3,16.7,16.64,18.14,1313c_003h_03.jpg
1313C_3H4,306,1313,C,3,H,4,1.5,1.5,16.7,,1313C_3,18.2,18.14,19.639999999999997,1313c_003h_04.jpg
1313C_3H5,306,1313,C,3,H,5,1.5,1.5,18.2,,1313C_3,19.7,19.639999999999997,21.139999999999997,1313c_003h_05.jpg
1313C_3H6,306,1313,C,3,H,6,1.5,1.5,19.7,,1313C_3,21.2,21.139999999999997,22.639999999999997,1313c_003h_06.jpg
1313B_3H3,306,1313,B,3,H,3,1.5,1.5,18.4,,1313B_3,19.9,21.099999999999998,22.599999999999998,1313b_003h_03.jpg
1313B_3H4,306,1313,B,3,H,4,1.5,1.5,19.9,,1313B_3,21.4,22.599999999999998,24.1,1313b_003h_04.jpg
1313B_3H5,306,1313,B,3,H,5,1.5,1.5,21.4,,1313B_3,22.9,24.1,25.6,1313b_003h_05.jpg
1313B_3H6,306,1313,B,3,H,6,1.0,1.0,22.9,,1313B_3,23.9,25.6,26.6,1313b_003h_06.jpg
1313C_4H2,306,1313,C,4,H,2,1.5,1.5,23.2,,1313C_4,24.7,26.0,27.5,1313c_004h_02.jpg
1313C_4H3,306,1313,C,4,H,3,1.5,1.5,24.7,,1313C_4,26.2,27.5,29.0,1313c_004h_03.jpg
1313C_4H4,306,1313,C,4,H,4,1.5,1.5,26.2,,1313C_4,27.7,29.0,30.5,1313c_004h_04.jpg
1313C_4H5,306,1313,C,4,H,5,1.5,1.5,27.7,,1313C_4,29.2,30.5,32.0,1313c_004h_05.jpg
1313B_4H2,306,1313,B,4,H,2,1.5,1.5,26.4,,1313B_4,27.9,30.95,32.449999999999996,1313b_004h_02.jpg
1313B_4H3,306,1313,B,4,H,3,1.5,1.5,27.9,,1313B_4,29.4,32.449999999999996,33.949999999999996,1313b_004h_03.jpg
1313B_4H4,306,1313,B,4,H,4,1.5,1.5,29.4,,1313B_4,30.9,33.949999999999996,35.449999999999996,1313b_004h_04.jpg
1313B_4H5,306,1313,B,4,H,5,1.5,1.5,30.9,,1313B_4,32.4,35.449999999999996,36.949999999999996,1313b_004h_05.jpg
1313C_5H1,306,1313,C,5,H,1,1.5,1.5,31.2,,1313C_5,32.7,35.739999999999995,37.24,1313c_005h_01.jpg
1313C_5H2,306,1313,C,5,H,2,1.5,1.5,32.7,,1313C_5,34.2,37.24,38.74,1313c_005h_02.jpg
1313C_5H3,306,1313,C,5,H,3,1.5,1.5,34.2,,1313C_5,35.7,38.74,40.24,1313c_005h_03.jpg
1313C_5H4,306,1313,C,5,H,4,1.5,1.5,35.7,,1313C_5,37.2,40.24,41.74,1313c_005h_04.jpg
1313C_5H5,306,1313,C,5,H,5,1.5,1.5,37.2,,1313C_5,38.7,41.74,43.24,1313c_005h_05.jpg
1313C_5H6,306,1313,C,5,H,6,1.5,1.5,38.7,,1313C_5,40.2,43.24,44.74,1313c_005h_06.jpg
1313C_5H7,306,1313,C,5,H,7,0.82,0.82,40.2,,1313C_5,41.02,44.74,45.56,1313c_005h_07.jpg
1313B_5H4,306,1313,B,5,H,4,1.5,1.5,38.9,,1313B_5,40.4,45.1,46.6,1313b_005h_04.jpg
1313B_5H5,306,1313,B,5,H,5,1.5,1.5,40.4,,1313B_5,41.9,46.6,48.1,1313b_005h_05.jpg
1313B_5H6,306,1313,B,5,H,6,1.5,1.5,41.9,,1313B_5,43.4,48.1,49.6,1313b_005h_06.jpg
1313C_6H3,306,1313,C,6,H,3,1.5,1.5,43.7,,1313C_6,45.2,48.440000000000005,49.940000000000005,1313c_006h_03.jpg
1313C_6H4,306,1313,C,6,H,4,1.5,1.5,45.2,,1313C_6,46.7,49.940000000000005,51.440000000000005,1313c_006h_04.jpg
1313B_6H1,306,1313,B,6,H,1,1.5,1.5,43.9,,1313B_6,45.4,50.25,51.75,1313b_006h_01.jpg
1313B_6H2,306,1313,B,6,H,2,1.5,1.5,45.4,,1313B_6,46.9,51.75,53.25,1313b_006h_02.jpg
1313B_6H3,306,1313,B,6,H,3,1.5,1.5,46.9,,1313B_6,48.4,53.25,54.75,1313b_006h_03.jpg
1313B_6H4,306,1313,B,6,H,4,1.5,1.5,48.4,,1313B_6,49.9,54.75,56.25,1313b_006h_04.jpg
1313B_6H5,306,1313,B,6,H,5,1.5,1.5,49.9,,1313B_6,51.4,56.25,57.75,1313b_006h_05.jpg
1313B_6H6,306,1313,B,6,H,6,1.5,1.5,51.4,,1313B_6,52.9,57.75,59.25,1313b_006h_06.jpg
1313C_7H1,306,1313,C,7,H,1,1.5,1.5,50.2,,1313C_7,51.7,57.03,58.53,1313c_007h_01.jpg
1313C_7H2,306,1313,C,7,H,2,1.5,1.5,51.7,,1313C_7,53.2,58.53,60.03,1313c_007h_02.jpg
1313C_7H3,306,1313,C,7,H,3,1.5,1.5,53.2,,1313C_7,54.7,60.03,61.53,1313c_007h_03.jpg
1313C_7H4,306,1313,C,7,H,4,1.5,1.5,54.7,,1313C_7,56.2,61.53,63.03,1313c_007h_04.jpg
1313C_7H5,306,1313,C,7,H,5,1.5,1.5,56.2,,1313C_7,57.7,63.03,64.53,1313c_007h_05.jpg
1313C_7H6,306,1313,C,7,H,6,1.5,1.5,57.7,,1313C_7,59.2,64.53,66.03,1313c_007h_06.jpg
1313B_7H3,306,1313,B,7,H,3,1.5,1.5,56.4,,1313B_7,57.9,64.28999999999999,65.78999999999999,1313b_007h_03.jpg
1313B_7H4,306,1313,B,7,H,4,1.5,1.5,57.9,,1313B_7,59.4,65.78999999999999,67.28999999999999,1313b_007h_04.jpg
1313B_7H5,306,1313,B,7,H,5,1.5,1.5,59.4,,1313B_7,60.9,67.28999999999999,68.78999999999999,1313b_007h_05.jpg
1313B_7H6,306,1313,B,7,H,6,1.5,1.5,60.9,,1313B_7,62.4,68.78999999999999,70.28999999999999,1313b_007h_06.jpg
1313C_8H2,306,1313,C,8,H,2,1.5,1.5,61.2,,1313C_8,62.7,69.53,71.03,1313c_008h_02.jpg
1313C_8H3,306,1313,C,8,H,3,1.5,1.5,62.7,,1313C_8,64.2,71.03,72.53,1313c_008h_03.jpg
1313C_8H4,306,1313,C,8,H,4,1.5,1.5,64.2,,1313C_8,65.7,72.53,74.03,1313c_008h_04.jpg
1313C_8H5,306,1313,C,8,H,5,1.5,1.5,65.7,,1313C_8,67.2,74.03,75.53,1313c_008h_05.jpg
1313B_8H2,306,1313,B,8,H,2,1.5,1.5,64.4,,1313B_8,65.9,74.03,75.53,1313b_008h_02.jpg
1313B_8H3,306,1313,B,8,H,3,1.5,1.5,65.9,,1313B_8,67.4,75.53,77.03000000000002,1313b_008h_03.jpg
1313B_8H4,306,1313,B,8,H,4,1.5,1.5,67.4,,1313B_8,68.9,77.03000000000002,78.53000000000002,1313b_008h_04.jpg
1313C_9H1,306,1313,C,9,H,1,1.5,1.5,69.2,,1313C_9,70.7,77.13000000000001,78.63000000000001,1313c_009h_01.jpg
1313C_9H2,306,1313,C,9,H,2,1.5,1.5,70.7,,1313C_9,72.2,78.63000000000001,80.13000000000001,1313c_009h_02.jpg
1313C_9H3,306,1313,C,9,H,3,1.5,1.5,72.2,,1313C_9,73.7,80.13000000000001,81.63,1313c_009h_03.jpg
1313C_9H4,306,1313,C,9,H,4,1.5,1.5,73.7,,1313C_9,75.2,81.63,83.13,1313c_009h_04.jpg
1313C_9H5,306,1313,C,9,H,5,1.5,1.5,75.2,,1313C_9,76.7,83.13,84.63,1313c_009h_05.jpg
1313C_9H6,306,1313,C,9,H,6,1.5,1.5,76.7,,1313C_9,78.2,84.63,86.13,1313c_009h_06.jpg
1313B_9H2,306,1313,B,9,H,2,1.5,1.5,73.9,,1313B_9,75.4,83.97,85.47,1313b_009h_02.jpg
1313B_9H3,306,1313,B,9,H,3,1.5,1.5,75.4,,1313B_9,76.9,85.47,86.97,1313b_009h_03.jpg
1313B_9H4,306,1313,B,9,H,4,1.5,1.5,76.9,,1313B_9,78.4,86.97,88.47000000000001,1313b_009h_04.jpg
1313B_9H5,306,1313,B,9,H,5,1.5,1.5,78.4,,1313B_9,79.9,88.47000000000001,89.97000000000001,1313b_009h_05.jpg
1313B_9H6,306,1313,B,9,H,6,1.5,1.5,79.9,,1313B_9,81.4,89.97000000000001,91.47000000000001,1313b_009h_06.jpg
1313C_10H1,306,1313,C,10,H,1,1.5,1.5,78.7,,1313C_10,80.2,88.71000000000001,90.21000000000001,1313c_010h_01.jpg
1313C_10H2,306,1313,C,10,H,2,1.5,1.5,80.2,,1313C_10,81.7,90.21000000000001,91.71000000000001,1313c_010h_02.jpg
1313C_10H3,306,1313,C,10,H,3,1.5,1.5,81.7,,1313C_10,83.2,91.71000000000001,93.21000000000001,1313c_010h_03.jpg
1313C_10H4,306,1313,C,10,H,4,1.5,1.5,83.2,,1313C_10,84.7,93.21000000000001,94.71000000000001,1313c_010h_04.jpg
1313C_10H5,306,1313,C,10,H,5,1.5,1.5,84.7,,1313C_10,86.2,94.71000000000001,96.21000000000001,1313c_010h_05.jpg
1313B_10H2,306,1313,B,10,H,2,1.5,1.5,83.4,,1313B_10,84.9,94.71000000000001,96.21000000000001,1313b_010h_02.jpg
1313B_10H3,306,1313,B,10,H,3,1.5,1.5,84.9,,1313B_10,86.4,96.21000000000001,97.71000000000001,1313b_010h_03.jpg
1313B_10H4,306,1313,B,10,H,4,1.5,1.5,86.4,,1313B_10,87.9,97.71000000000001,99.21000000000001,1313b_010h_04.jpg
1313B_10H5,306,1313,B,10,H,5,1.5,1.5,87.9,,1313B_10,89.4,99.21000000000001,100.71000000000001,1313b_010h_05.jpg
1313C_11H2,306,1313,C,11,H,2,1.5,1.5,89.7,,1313C_11,91.2,100.61,102.11,1313c_011h_02.jpg
1313C_11H3,306,1313,C,11,H,3,1.5,1.5,91.2,,1313C_11,92.7,102.11,103.61,1313c_011h_03.jpg
