Leg,Site,Hole,Core,Type,Top section,Top Offset (cm),Top MBSF (m),Top MCD (m),Bottom section,Bottom Offset (cm),Bottom MBSF (m),Bottom MCD (m)
306,1313,         B,1, H,1,0.0,0.0,0.0,3,128.0,4.28,4.45
306,1313,       C,2, H,1,132.0,4.02,4.45,6,142.0,11.62,12.05
306,1313,       B,2, H,3,138.5,10.29,12.05,6,130.0,14.7,16.46
306,1313,       C,3, H,2,132.0,15.02,16.46,6,56.0,20.26,21.7
306,1313,       B,3, H,3,60.0,19.0,21.7,6,68.0,23.58,26.28
306,1313,       C,4, H,2,28.0,23.48,26.28,5,145.0,29.15,31.95
306,1313,       B,4, H,2,100.0,27.4,31.95,5,102.5,31.92,36.47
306,1313,       C,5, H,1,72.7,31.93,36.47,7,82.0,41.02,45.56
306,1313,       B,5, H,4,46.0,39.36,45.56,6,58.0,42.48,48.68
306,1313,       C,6, H,3,24.0,43.94,48.68,4,120.0,46.4,51.14
306,1313,       B,6, H,1,88.5,44.79,51.14,6,46.0,51.86,58.21
306,1313,       C,7, H,1,118.0,51.38,58.21,6,64.0,58.34,65.17
306,1313,       B,7, H,3,88.0,57.28,65.17,6,126.0,62.16,70.05
306,1313,       C,8, H,2,52.0,61.72,70.05,5,44.0,66.14,74.47
306,1313,       B,8, H,2,44.0,64.84,74.47,4,34.0,67.74,77.37
306,1313,       C,9, H,1,24.0,69.44,77.37,6,44.0,77.14,85.07
306,1313,       B,9, H,2,110.0,75.0,85.07,6,4.0,79.94,90.01
306,1313,       C,10, H,1,130.0,80.0,90.01,5,24.0,84.94,94.95
306,1313,       B,10, H,2,24.0,83.64,94.95,5,145.0,89.35,100.66
306,1313,       C,11, H,2,5.0,89.75,100.66,5,50.0,94.7,105.61
306,1313,       B,11, H,2,103.5,93.94,105.61,6,100.0,99.9,111.57
306,1313,       C,12, H,2,6.5,99.27,111.57,5,56.0,104.26,116.56
306,1313,       B,12, H,2,112.0,103.52,116.56,6,124.0,109.64,122.68
306,1313,       C,13, H,2,138.0,110.08,122.68,4,36.0,112.06,124.66
306,1313,       B,13, H,1,64.5,111.05,124.66,6,76.0,118.66,132.27
306,1313,       C,14, H,2,20.5,118.41,132.27,5,120.0,123.9,137.76
306,1313,       B,14, H,3,27.0,123.18,137.76,5,100.0,126.9,141.48
306,1313,       C,15, H,1,81.0,127.02,141.48,5,130.0,133.5,147.96
306,1313,       B,15, H,3,68.0,133.08,147.96,6,135.0,138.25,153.13
306,1313,       C,16, H,2,65.0,137.85,153.13,5,142.0,143.12,158.4
306,1313,       B,16, H,3,32.0,142.22,158.4,7,55.0,148.45,164.63
306,1313,       C,17, H,2,147.0,148.17,164.63,7,20.0,154.4,170.86
306,1313,       B,17, H,4,75.0,153.65,170.86,7,65.0,158.05,175.26
306,1313,       C,18, H,2,145.0,157.65,175.26,5,45.0,161.15,178.76
306,1313,       B,18, H,2,110.0,160.5,178.76,6,100.0,166.4,184.66
306,1313,       C,19, H,2,42.0,166.13,184.66,5,125.0,171.45,189.98
306,1313,       B,19, H,2,135.5,170.27,189.98,6,120.0,176.1,195.81
306,1313,       C,20, H,2,70.0,175.9,195.81,7,10.0,182.8,202.71
306,1313,       B,20, H,4,57.5,182.0,202.71,6,85.0,185.25,205.96
306,1313,       C,21, H,2,95.0,185.65,205.96,6,140.0,192.1,212.41
306,1313,       B,21, H,2,15.5,190.07,212.41,7,10.0,197.5,219.84
306,1313,       C,22, H,4,140.0,198.6,219.84,6,50.0,200.7,221.94
306,1313,       B,22, H,2,15.0,199.55,221.94,5,50.0,204.4,226.79
306,1313,       C,23, H,2,105.0,204.75,226.79,6,70.0,210.4,232.44
306,1313,       B,23, H,1,150.0,208.9,232.44,7,35.0,216.75,240.29
306,1313,       C,24, H,5,35.0,218.05,240.29,6,105.0,220.25,242.49
306,1313,       B,24, H,2,20.0,217.46,242.49,6,45.0,223.71,248.74
306,1313,       C,25, H,3,130.0,225.5,248.74,7,30.0,230.5,253.74
306,1313,       B,25, H,2,85.0,228.12,253.74,6,65.0,233.92,259.54
306,1313,       C,26, H,4,110.0,236.3,259.54,7,90.0,240.1,263.34
306,1313,       B,26, H,2,78.5,237.83,263.34,6,35.0,242.23,267.74
306,1313,       C,27, H,3,130.0,244.5,267.74,6,60.0,248.3,271.54
306,1313,       B,27, H,1,109.0,246.51,271.54,4,15.0,250.05,275.08
306,1313,       C,28, H,1,130.0,251.0,275.08,7,50.0,259.2,283.28
306,1313,       B,28, H,1,85.0,255.75,283.28,5,60.0,261.5,289.03
306,1313,       C,29, H,4,125.0,264.95,289.03,7,55.0,268.75,292.83
