Leg,Site,Sort Key,Hole Start,Core Start,CT,Sec. Start,Int. Start,MBSF Start,MCD Start,Relation,Hole End,Core End,CT,Sec. End,Int. End,MBSF End,MCD End
306,1313,1,         B,1, H,3,128,4.28,4.45,     tie,       C,2, H,1,132,4.02,4.45
306,1313,2,         C,2, H,6,142,11.62,12.05,     tie,       B,2, H,3,138.5,10.29,12.05
306,1313,3,         B,2, H,6,130,14.7,16.46,     tie,       C,3, H,2,132,15.02,16.46
306,1313,4,         C,3, H,6,56,20.26,21.7,     tie,       B,3, H,3,60,19,21.7
306,1313,5,         B,3, H,6,68,23.58,26.28,     tie,       C,4, H,2,28,23.48,26.28
306,1313,6,         C,4, H,5,145,29.15,31.95,     tie,       B,4, H,2,100,27.4,31.95
306,1313,7,         B,4, H,5,102.5,31.92,36.47,     tie,       C,5, H,1,72.7,31.93,36.47
306,1313,8,         C,5, H,7,82,41.02,45.56,     tie,       B,5, H,4,46,39.36,45.56
306,1313,9,         B,5, H,6,58,42.48,48.68,     tie,       C,6, H,3,24,43.94,48.68
306,1313,10,         C,6, H,4,120,46.4,51.14,     tie,       B,6, H,1,88.5,44.79,51.14
306,1313,11,         B,6, H,6,46,51.86,58.21,     tie,       C,7, H,1,118,51.38,58.21
306,1313,12,         C,7, H,6,64,58.34,65.17,     tie,       B,7, H,3,88,57.28,65.17
306,1313,13,         B,7, H,6,126,62.16,70.05,     tie,       C,8, H,2,52,61.72,70.05
306,1313,14,         C,8, H,5,44,66.14,74.47,     tie,       B,8, H,2,44,64.84,74.47
306,1313,15,         B,8, H,4,34,67.74,77.37,     tie,       C,9, H,1,24,69.44,77.37
306,1313,16,         C,9, H,6,44,77.14,85.07,     tie,       B,9, H,2,110,75,85.07
306,1313,17,         B,9, H,6,4,79.94,90.01,     tie,       C,10, H,1,130,80,90.01
306,1313,18,         C,10, H,5,24,84.94,94.95,     tie,       B,10, H,2,24,83.64,94.95
306,1313,19,         B,10, H,5,145,89.35,100.66,     tie,       C,11, H,2,5,89.75,100.66
306,1313,20,         C,11, H,5,50,94.7,105.61,     tie,       B,11, H,2,103.5,93.94,105.61
306,1313,21,         B,11, H,6,100,99.9,111.57,     tie,       C,12, H,2,6.5,99.27,111.57
306,1313,22,         C,12, H,5,56,104.26,116.56,     tie,       B,12, H,2,112,103.52,116.56
306,1313,23,         B,12, H,6,124,109.64,122.68,     tie,       C,13, H,2,138,110.08,122.68
306,1313,24,         C,13, H,4,36,112.06,124.66,     tie,       B,13, H,1,64.5,111.05,124.66
306,1313,25,         B,13, H,6,76,118.66,132.27,     tie,       C,14, H,2,20.5,118.41,132.27
306,1313,26,         C,14, H,5,120,123.9,137.76,     tie,       B,14, H,3,27,123.18,137.76
306,1313,27,         B,14, H,5,100,126.9,141.48,     tie,       C,15, H,1,81,127.02,141.48
306,1313,28,         C,15, H,5,130,133.5,147.96,     tie,       B,15, H,3,68,133.08,147.96
306,1313,29,         B,15, H,6,135,138.25,153.13,     tie,       C,16, H,2,65,137.85,153.13
306,1313,30,         C,16, H,5,142,143.12,158.4,     tie,       B,16, H,3,32,142.22,158.4
306,1313,31,         B,16, H,7,55,148.45,164.63,     tie,       C,17, H,2,147,148.17,164.63
306,1313,32,         C,17, H,7,20,154.4,170.86,     tie,       B,17, H,4,75,153.65,170.86
306,1313,33,         B,17, H,7,65,158.05,175.26,     tie,       C,18, H,2,145,157.65,175.26
306,1313,34,         C,18, H,5,45,161.15,178.76,     tie,       B,18, H,2,110,160.5,178.76
306,1313,35,         B,18, H,6,100,166.4,184.66,     tie,       C,19, H,2,42,166.13,184.66
306,1313,36,         C,19, H,5,125,171.45,189.98,     tie,       B,19, H,2,135.5,170.27,189.98
306,1313,37,         B,19, H,6,120,176.1,195.81,     tie,       C,20, H,2,70,175.9,195.81
306,1313,38,         C,20, H,7,10,182.8,202.71,     tie,       B,20, H,4,57.5,182,202.71
306,1313,39,         B,20, H,6,85,185.25,205.96,     tie,       C,21, H,2,95,185.65,205.96
306,1313,40,         C,21, H,6,140,192.1,212.41,     tie,       B,21, H,2,15.5,190.07,212.41
306,1313,41,         B,21, H,7,10,197.5,219.84,     tie,       C,22, H,4,140,198.6,219.84
306,1313,42,         C,22, H,6,50,200.7,221.94,     tie,       B,22, H,2,15,199.55,221.94
306,1313,43,         B,22, H,5,50,204.4,226.79,     tie,       C,23, H,2,105,204.75,226.79
306,1313,44,         C,23, H,6,70,210.4,232.44,     tie,       B,23, H,1,150,208.9,232.44
306,1313,45,         B,23, H,7,35,216.75,240.29,     tie,       C,24, H,5,35,218.05,240.29
306,1313,46,         C,24, H,6,105,220.25,242.49,     tie,       B,24, H,2,20,217.46,242.49
306,1313,47,         B,24, H,6,45,223.71,248.74,     tie,       C,25, H,3,130,225.5,248.74
306,1313,48,         C,25, H,7,30,230.5,253.74,     tie,       B,25, H,2,85,228.12,253.74
306,1313,49,         B,25, H,6,65,233.92,259.54,     tie,       C,26, H,4,110,236.3,259.54
306,1313,50,         C,26, H,7,90,240.1,263.34,     tie,       B,26, H,2,78.5,237.83,263.34
306,1313,51,         B,26, H,6,35,242.23,267.74,     tie,       C,27, H,3,130,244.5,267.74
306,1313,52,         C,27, H,6,60,248.3,271.54,     tie,       B,27, H,1,109,246.51,271.54
306,1313,53,         B,27, H,4,15,250.05,275.08,     tie,       C,28, H,1,130,251,275.08
306,1313,54,         C,28, H,7,50,259.2,283.28,     tie,       B,28, H,1,85,255.75,283.28
306,1313,55,         B,28, H,5,60,261.5,289.03,     tie,       C,29, H,4,125,264.95,289.03
306,1313,56,         C,29, H,7,55,268.75,292.83,     tie,       B,29, H,1,90,265.3,292.83
