/* DATA DESCRIPTION:
Citation:	Catubig, Nina R; Archer, David E; Francois, Roger; deMenocal, Peter B; Howard, William R; Yu, Ein-Fen (1998): (Appendix 2) Compilation of mass accumulation rates from deep sea sediments during the last glacial maximum. PANGAEA, https://doi.org/10.1594/PANGAEA.58146, 
	In supplement to: Catubig, NR et al. (1998): Global deep-sea burial rate of calcium carbonate during the last glacial maximum. Paleoceanography, 13(3), 298-310, https://doi.org/10.1029/98PA00609
Coverage:	MEDIAN LATITUDE: -3.189620 * MEDIAN LONGITUDE: -5.983759 * SOUTH-BOUND LATITUDE: -63.002000 * WEST-BOUND LONGITUDE: -163.400000 * NORTH-BOUND LATITUDE: 57.000000 * EAST-BOUND LONGITUDE: 166.980000
	DATE/TIME START: 1947-10-06T10:00:00 * DATE/TIME END: 1988-02-01T00:00:00
	MINIMUM ELEVATION: -5656.0 m * MAXIMUM ELEVATION: -1140.0 m
Event(s):	85-572_Site * LATITUDE: 1.434800 * LONGITUDE: -113.842000 * DATE/TIME: 1982-03-22T00:00:00 * ELEVATION: -3893.0 m * Penetration: 10.033 m * Recovery: 6.021 m * LOCATION: North Pacific * CAMPAIGN: Leg85 (URI: https://doi.org/10.2973/dsdp.proc.85.1985) * BASIS: Glomar Challenger (URI: http://www-odp.tamu.edu/glomar.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 76 cores; 674.1 m cored; 9.2 m drilled; 89.3% recovery
	85-574 * LATITUDE: 4.208700 * LONGITUDE: -133.330200 * DATE/TIME: 1982-04-11T00:00:00 * ELEVATION: -4561.0 m * Penetration: 206.5 m * Recovery: 208.2 m * LOCATION: North Pacific/TROUGH * CAMPAIGN: Leg85 (URI: https://doi.org/10.2973/dsdp.proc.85.1985) * BASIS: Glomar Challenger (URI: http://www-odp.tamu.edu/glomar.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 31 cores; 206.5 m cored; 0 m drilled; 100.8 % recovery
	115-708A * LATITUDE: -5.455800 * LONGITUDE: 59.943800 * DATE/TIME START: 1987-06-02T18:00:00 * DATE/TIME END: 1987-06-04T12:30:00 * ELEVATION: -4107.0 m * Penetration: 236.2 m * Recovery: 189.72 m * LOCATION: South Indian Ridge, South Indian Ocean * CAMPAIGN: Leg115 (URI: https://doi.org/10.2973/odp.proc.ir.115.1988) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 25 cores; 236.2 m cored; 0 m drilled; 80.3 % recovery
	280 * LATITUDE: 35.000000 * LONGITUDE: -44.000000 * ELEVATION: -4300.0 m * METHOD/DEVICE: Piston corer (PC)
	A152-118 * LATITUDE: 35.116700 * LONGITUDE: -44.666700 * ELEVATION: -4334.0 m * CAMPAIGN: A150/180
	AT_II-107_65 * LATITUDE: -32.030000 * LONGITUDE: -36.180000 * ELEVATION: -2795.0 m * CAMPAIGN: ATII_USA * BASIS: Atlantis II (1963)
	CHN82-15 * LATITUDE: 43.370000 * LONGITUDE: -28.230000 * ELEVATION: -2153.0 m * CAMPAIGN: CH8X * BASIS: Jean Charcot
	CHN82-20 * LATITUDE: 43.500000 * LONGITUDE: -29.870000 * ELEVATION: -3070.0 m * CAMPAIGN: CH8X * BASIS: Jean Charcot
	ELT45.027-PC * LATITUDE: -43.308000 * LONGITUDE: 105.548000 * DATE/TIME: 1970-01-01T00:00:00 * ELEVATION: -3823.0 m * Recovery: 4.53 m * CAMPAIGN: ELT45 (URI: http://ezid.cdlib.org/id/doi:10.7284/905169) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
