leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
1,1,,QUATERNARY,,0.0,770.5,,NO AGE GIVEN,,NO AGE GIVEN,0.0,1.8,0.9,DSDP INITIAL REPORTS
1,2,,UPPER PLEISTOCENE,,19.5,22.7,,NO AGE GIVEN,,NO AGE GIVEN,0.01,0.7,0.355,DSDP INITIAL REPORTS
1,2,,LOWER PLEISTOCENE,,57.6,58.8,,NO AGE GIVEN,,NO AGE GIVEN,1.2,1.8,1.5,DSDP INITIAL REPORTS
1,2,,UPPER PLIOCENE,,66.7,70.2,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
1,2,,LOWER PLIOCENE,,101.5,104.1,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
1,2,,UPPER MIOCENE,,136.0,136.1,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
1,2,,CRETACEOUS,JURASSIC,136.1,137.9,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,65.0,192.0,128.5,DSDP INITIAL REPORTS
1,3,,UPPER PLEISTOCENE,,0.0,180.0,,NO AGE GIVEN,,NO AGE GIVEN,0.01,0.7,0.355,DSDP INITIAL REPORTS
1,3,,LOWER PLEISTOCENE,,180.0,320.0,,NO AGE GIVEN,,NO AGE GIVEN,1.2,1.8,1.5,DSDP INITIAL REPORTS
1,3,,UPPER PLIOCENE,MIDDLE PLIOCENE,320.0,360.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,1.8,4.0,2.9,DSDP INITIAL REPORTS
1,3,,MIDDLE PLIOCENE,LOWER PLIOCENE,360.0,430.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,3.0,5.0,4.0,DSDP INITIAL REPORTS
1,3,,LOWER PLIOCENE,,430.0,560.0,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
1,3,,UPPER MIOCENE,,560.0,627.6,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
1,4,,PLEISTOCENE,PLIOCENE,0.0,9.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,0.011,5.0,2.506,DSDP INITIAL REPORTS
1,4,,TURONIAN,,104.2,106.1,,NO AGE GIVEN,,NO AGE GIVEN,86.0,92.0,89.0,DSDP INITIAL REPORTS
1,4,,ALBIAN,APTIAN,133.8,135.1,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,100.0,110.0,105.0,DSDP INITIAL REPORTS
