Leg,Site,H,Cor,T,Depth (mbsf),Format,DPI,Image Link,Filename
  1,1.0,*,1.0,M,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/1.1M.pdf,1.1M.pdf
  1,1.0,*,1.0,R,151.5,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/1.1R.PDF,1.1R.PDF
  1,1.0,*,2.0,R,299.3,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/1.2R.PDF,1.2R.PDF
  1,1.0,*,3.0,R,455.1,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/1.3R.PDF,1.3R.PDF
  1,1.0,*,5.0,R,484.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/1.5R.PDF,1.5R.PDF
  1,1.0,*,6.0,R,691.3,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/1.6R.PDF,1.6R.PDF
  1,1.0,*,7.0,R,695.6,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/1.7R.PDF,1.7R.PDF
  1,1.0,*,8.0,R,752.3,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/1.8R.PDF,1.8R.PDF
  1,1.0,*,9.0,R,761.4,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/1.9R.PDF,1.9R.PDF
  1,2.0,*,1.0,R,19.5,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/2.1R.PDF,2.1R.PDF
  1,2.0,*,3.0,R,66.8,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/2.3R.PDF,2.3R.PDF
  1,2.0,*,4.0,R,101.5,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/2.4R.PDF,2.4R.PDF
  1,2.0,*,5.0,R,136.3,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/2.5R.PDF,2.5R.PDF
  1,3.0,*,1.0,R,25.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/3.1R.PDF,3.1R.PDF
  1,3.0,*,2.0,R,35.7,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/3.2R.PDF,3.2R.PDF
  1,3.0,*,3.0,R,200.3,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/3.3R.PDF,3.3R.PDF
  1,3.0,*,4.0,R,209.4,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/3.4R.PDF,3.4R.PDF
  1,3.0,*,5.0,R,320.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/3.5R.PDF,3.5R.PDF
  1,3.0,*,6.0,R,330.1,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/3.6R.PDF,3.6R.PDF
  1,3.0,*,7.0,R,381.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/3.7R.PDF,3.7R.PDF
  1,3.0,*,8.0,R,429.5,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/3.8R.PDF,3.8R.PDF
  1,3.0,*,9.0,R,534.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/3.9R.PDF,3.9R.PDF
  1,3.0,*,10.0,R,609.6,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/3.10R.PDF,3.10R.PDF
