leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth (m),sample depth (m),percent total carbon,percent organic carbon,percent calcium carbonate (CaCO3),method code,data source code
1,1,,1,1,5.0,5.0,151.5,151.55,2.4,0.7,14.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,1,2,3.0,3.0,151.5,153.03,2.4,0.8,13.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,1,3,7.0,7.0,151.5,154.57,3.6,0.8,23.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,1,4,9.0,9.0,151.5,156.09,2.8,0.9,16.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,1,5,4.0,4.0,151.5,157.54,5.4,0.7,39.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,1,6,4.0,4.0,151.5,159.04,2.9,0.8,17.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,1,7,2.0,2.0,151.5,160.52,2.7,0.9,14.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,2,1,61.0,61.0,299.3,299.91,2.8,0.6,18.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,2,2,8.0,8.0,299.3,300.88,2.6,0.6,16.4,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,2,3,4.0,4.0,299.3,302.34,2.5,0.6,16.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,3,1,0.0,0.0,455.1,455.1,2.9,0.6,18.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,5,1,12.0,12.0,484.0,484.12,2.7,0.6,17.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,5,2,4.0,4.0,484.0,485.54,2.4,0.7,13.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,6,1,14.0,14.0,691.3,691.44,3.3,0.8,20.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,6,2,5.0,5.0,691.3,692.85,3.1,0.9,18.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,6,3,8.0,8.0,691.3,694.38,3.3,0.9,19.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,7,1,4.0,4.0,695.6,696.44,2.8,0.4,20.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,7,2,3.0,3.0,695.6,697.93,2.2,0.7,12.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,7,3,6.0,6.0,695.6,699.46,2.9,0.6,18.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,7,4,4.0,4.0,695.6,700.94,2.9,0.8,17.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,7,5,6.0,6.0,695.6,702.46,3.2,0.5,22.5,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,7,6,8.0,8.0,695.6,703.98,2.9,0.7,18.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,8,1,20.0,20.0,752.3,753.0,3.2,0.6,21.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,8,2,6.0,6.0,752.3,754.36,2.4,0.5,16.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,8,3,6.0,6.0,752.3,755.86,2.2,0.4,14.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,8,4,5.0,5.0,752.3,757.35,2.8,0.2,21.4,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,8,5,5.0,5.0,752.3,758.85,2.6,0.1,21.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
