Leg,Site,H,Cor,T,Depth (mbsf),Format,DPI,Image Link,Filename
  1,1.0,*,1.0,M,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/1.1M.pdf,1.1M.pdf
  1,4.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/4.1R.PDF,4.1R.PDF
  1,5.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/5.1R.PDF,5.1R.PDF
  1,7.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg001/7.1R.PDF,7.1R.PDF
  3,13.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg003/13.1R.PDF,13.1R.PDF
  3,14.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg003/14.1R.PDF,14.1R.PDF
  3,15.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg003/15.1R.PDF,15.1R.PDF
  3,16.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg003/16.1R.PDF,16.1R.PDF
  3,17.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg003/17.1R.PDF,17.1R.PDF
  3,18.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg003/18.1R.PDF,18.1R.PDF
  3,19.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg003/19.1R.PDF,19.1R.PDF
  3,22.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg003/22.1R.PDF,22.1R.PDF
  4,23.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg004/23.1R.PDF,23.1R.PDF
  4,25.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg004/25.1R.PDF,25.1R.PDF
  4,29.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg004/29.1R.PDF,29.1R.PDF
  4,31.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg004/31.1R.PDF,31.1R.PDF
  5,32.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg005/32.1R.PDF,32.1R.PDF
  5,33.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg005/33.1R.PDF,33.1R.PDF
  5,35.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg005/35.1R.PDF,35.1R.PDF
  5,36.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg005/36.1R.PDF,36.1R.PDF
  5,37.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg005/37.1R.PDF,37.1R.PDF
  5,38.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg005/38.1R.PDF,38.1R.PDF
  5,39.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg005/39.1R.PDF,39.1R.PDF
  5,40.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg005/40.1R.PDF,40.1R.PDF
  5,41.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg005/41.1R.PDF,41.1R.PDF
  5,42.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg005/42.1R.PDF,42.1R.PDF
  5,43.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg005/43.1R.PDF,43.1R.PDF
  6,46.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg006/46.1R.PDF,46.1R.PDF
  6,47.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg006/47.1R.PDF,47.1R.PDF
  6,49.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg006/49.1R.PDF,49.1R.PDF
  6,52.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg006/52.1R.PDF,52.1R.PDF
  6,53.0,A,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg006/53A1R.PDF,53A1R.PDF
  6,55.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg006/55.1R.PDF,55.1R.PDF
  7,63.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg007/63.1R.PDF,63.1R.PDF
  7,64.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg007/64.1R.PDF,64.1R.PDF
  7,67.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg007/67.1R.PDF,67.1R.PDF
  8,68.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg008/68.1R.PDF,68.1R.PDF
  8,70.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg008/70.1R.PDF,70.1R.PDF
  8,71.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg008/71.1R.PDF,71.1R.PDF
  8,72.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg008/72.1R.PDF,72.1R.PDF
  8,73.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg008/73.1R.PDF,73.1R.PDF
  8,74.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg008/74.1R.PDF,74.1R.PDF
  8,75.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg008/75.1R.PDF,75.1R.PDF
  9,76.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg009/76.1R.PDF,76.1R.PDF
  9,77.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg009/77.1R.PDF,77.1R.PDF
  9,77.0,A,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg009/77A1R.PDF,77A1R.PDF
  9,78.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg009/78.1R.PDF,78.1R.PDF
  9,80.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg009/80.1R.pdf,80.1R.pdf
  9,81.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg009/81.1R.pdf,81.1R.pdf
  9,82.0,*,1.0,R,0.0,PDF   ,300.0,http://deepseadrilling.org/cores/leg009/82.1R.pdf,82.1R.pdf
