leg,site,hole,well logging,latitude,longitude,ocean,ocean hemisphere,sea,physographic feature,hard rock feature,ta,td,re-entry,site survey,site termination,crust,equipment test,heat flow,in situ pore water,hydraulic piston core,variable length hpc,pressure core barrel,punch core,extended core barrel,water depth(m),total penetration(m),drilled penetration(m),cored penetration(m),number of cores recovered,meters recovered,percent recovery,meters of hard rock cored,number of hard rock cores,meters of hard rock recovered,depth to basememnt(m),oldest sediment sub-bottom depth,oldest sediment depth below sealevel,oldest sediment core number,oldest sediment age,oldest sediment lithology,oldest sediment lithology composition,oldest sediment source,oldest sediment heterogeneity,oldest sediment hardness,oldest comp1,oldest comp2,hard rock descriptions and comments
1,1,,YES,25.8583,-92.1833,ATLANTIC,NORTH,GULF OF MEXICO,PLAIN,,08/11/1968,08/16/1968,NO,YES,OBJECTIVE REACHED,,NO,NO,NO,NO,NO,NO,NO,NO,2827,770.5,693.0,77.0,9.0,50.0,64,,,,,770.5,3598.0,9,NO AGE GIVEN,SILTY CLAY,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,unk - 3100,unk - 0000,
1,2,,NO,23.455,-92.5867,ATLANTIC,NORTH,GULF OF MEXICO,KNOLL,,08/17/1968,08/20/1968,NO,YES,OBJECTIVE REACHED,,NO,NO,NO,NO,NO,NO,NO,NO,3572,144.0,108.0,36.0,6.0,13.0,36,,,,,137.9,3710.0,5,NO AGE GIVEN,COARSELY CRYSTALLINE GYPSUM,,,,,unk - 0000,unk - 0000,
1,3,,YES,23.03,-92.0433,ATLANTIC,NORTH,GULF OF MEXICO,PLAIN,,08/20/1968,08/23/1968,NO,YES,OBJECTIVE REACHED,,NO,NO,NO,NO,NO,NO,NO,NO,3747,628.0,530.0,98.0,11.0,47.0,47,,,,,627.6,4375.0,11,NO AGE GIVEN,SILTY MUDSTONE,DETRITAL,TERRIGENOUS,HETEROGENIC,HARD,unk - 3300,unk - 0000,
1,4,,NO,24.478,-73.792,ATLANTIC,NORTH,,BASIN,,08/29/1968,08/31/1968,NO,YES,DRILL BIT WORN OUT,,NO,NO,NO,NO,NO,NO,NO,NO,5319,259.0,201.0,58.0,5.0,15.0,25,,,,,249.8,5569.0,5,NO AGE GIVEN,NANNO CHALK,CALCAREOUS,PELAGIC,MONOGENIC,FIRM,NANNOFOSSIL,unk - 0000,
1,4,,NO,24.478,-73.792,ATLANTIC,NORTH,,BASIN,,08/29/1968,08/31/1968,NO,YES,DRILL BIT WORN OUT,,NO,NO,NO,NO,NO,NO,NO,NO,5319,259.0,201.0,58.0,5.0,15.0,25,,,,,249.8,5569.0,5,NO AGE GIVEN,NANNO CHALK,CALCAREOUS,PELAGIC,MONOGENIC,FIRM,NANNOFOSSIL,unk - 0000,
1,5,,NO,24.7265,-73.641,ATLANTIC,NORTH,,BASIN,,09/04/1968,09/05/1968,NO,YES,MECHANICAL OR EQUIPMENT FAILURE,,NO,NO,NO,NO,NO,NO,NO,NO,5354,80.0,53.0,27.0,3.0,6.4,23,,,,,71.7,5426.0,3,NO AGE GIVEN,CARBONATE RICH CLAY MINERAL RICH MUD,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,unk - 3300,CLAY MINERAL,
1,5,,NO,24.7265,-73.641,ATLANTIC,NORTH,,BASIN,,09/04/1968,09/05/1968,NO,YES,MECHANICAL OR EQUIPMENT FAILURE,,NO,NO,NO,NO,NO,NO,NO,NO,5354,80.0,53.0,27.0,3.0,6.4,23,,,,,71.7,5426.0,3,NO AGE GIVEN,CARBONATE RICH CLAY MINERAL RICH MUD,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,unk - 3300,CLAY MINERAL,
1,6,,NO,30.8398,-67.6477,ATLANTIC,NORTH,,RISE,,09/12/1968,09/14/1968,NO,YES,DRILL BIT WORN OUT,,NO,NO,NO,NO,NO,NO,NO,NO,5124,257.0,210.0,47.0,6.0,28.0,59,,,,,251.5,5376.0,6,NO AGE GIVEN,CHERTY MARL,CALCAREOUS,TRANSITIONAL,HETEROGENIC,SOFT,ESTIMATED CARBONATE,CHERT FRAGMENT,
1,6,,NO,30.8398,-67.6477,ATLANTIC,NORTH,,RISE,,09/12/1968,09/14/1968,NO,YES,DRILL BIT WORN OUT,,NO,NO,NO,NO,NO,NO,NO,NO,5124,257.0,210.0,47.0,6.0,28.0,59,,,,,251.5,5376.0,6,NO AGE GIVEN,CHERTY MARL,CALCAREOUS,TRANSITIONAL,HETEROGENIC,SOFT,ESTIMATED CARBONATE,CHERT FRAGMENT,
1,7,,NO,30.134,-68.2967,ATLANTIC,NORTH,,RISE,,09/16/1968,09/17/1968,NO,NO,MECHANICAL OR EQUIPMENT FAILURE,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,5182,236.0,226.0,9.8,2.0,9.8,100,,,,,236.0,5418.0,2,NO AGE GIVEN,CLAY AND MARL AND SILTSTONE,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,unk - 3100,unk - 0000,
1,7,,NO,30.134,-68.2967,ATLANTIC,NORTH,,RISE,,09/16/1968,09/17/1968,NO,NO,MECHANICAL OR EQUIPMENT FAILURE,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,5182,236.0,226.0,9.8,2.0,9.8,100,,,,,236.0,5418.0,2,NO AGE GIVEN,CLAY AND MARL AND SILTSTONE,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,unk - 3100,unk - 0000,
2,8,,NO,35.3833,-67.5533,ATLANTIC,NORTH,,RISE,,10/02/1968,10/06/1968,NO,YES,MECHANICAL OR EQUIPMENT FAILURE,,NO,NO,NO,NO,NO,NO,NO,NO,5184,258.0,231.0,27.0,3.0,4.7,17,,,,,258.0,5442.0,2,NO AGE GIVEN,CLAY MINERAL RICH SPICULE RICH MUDDY RAD OOZE,SILICEOUS,TRANSITIONAL,MONOGENIC,SOFT,RADIOLARIA,SPICULE,
2,8,,NO,35.3833,-67.5533,ATLANTIC,NORTH,,RISE,,10/02/1968,10/06/1968,NO,YES,MECHANICAL OR EQUIPMENT FAILURE,,NO,NO,NO,NO,NO,NO,NO,NO,5184,258.0,231.0,27.0,3.0,4.7,17,,,,,258.0,5442.0,2,NO AGE GIVEN,CLAY MINERAL RICH SPICULE RICH MUDDY RAD OOZE,SILICEOUS,TRANSITIONAL,MONOGENIC,SOFT,RADIOLARIA,SPICULE,
