Leg,Site,H,Cor,T,Depth (mbsf),Format,DPI,Image Link,Filename
301,1301,B,1,R,351.2,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B1R.PDF,1301B1R.PDF
301,1301,B,1,R,351.2,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_001r_01.jpg,1301b_001r_01.jpg
301,1301,B,1,R,352.7,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_001r_02.jpg,1301b_001r_02.jpg
301,1301,B,2,R,357.1,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B2R.PDF,1301B2R.PDF
301,1301,B,2,R,357.1,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_002r_01.jpg,1301b_002r_01.jpg
301,1301,B,2,R,358.54,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_002r_02.jpg,1301b_002r_02.jpg
301,1301,B,2,R,360.04,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_002r_03.jpg,1301b_002r_03.jpg
301,1301,B,3,R,361.1,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B3R.PDF,1301B3R.PDF
301,1301,B,3,R,361.1,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_003r_01.jpg,1301b_003r_01.jpg
301,1301,B,3,R,362.6,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_003r_02.jpg,1301b_003r_02.jpg
301,1301,B,4,R,366.6,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B4R.PDF,1301B4R.PDF
301,1301,B,4,R,366.6,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_004r_01.jpg,1301b_004r_01.jpg
301,1301,B,4,R,368.06,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_004r_02.jpg,1301b_004r_02.jpg
301,1301,B,4,R,369.39,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_004r_03.jpg,1301b_004r_03.jpg
301,1301,B,4,R,370.84,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_004r_04.jpg,1301b_004r_04.jpg
301,1301,B,5,R,376.3,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B5R.PDF,1301B5R.PDF
301,1301,B,5,R,376.3,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_005r_01.jpg,1301b_005r_01.jpg
301,1301,B,5,R,377.8,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_005r_02.jpg,1301b_005r_02.jpg
301,1301,B,5,R,379.3,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_005r_03.jpg,1301b_005r_03.jpg
301,1301,B,5,R,380.8,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_005r_04.jpg,1301b_005r_04.jpg
301,1301,B,6,R,386.0,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B6R.PDF,1301B6R.PDF
301,1301,B,6,R,386.0,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_006r_01.jpg,1301b_006r_01.jpg
301,1301,B,6,R,387.45,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_006r_02.jpg,1301b_006r_02.jpg
301,1301,B,7,R,395.6,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B7R.PDF,1301B7R.PDF
301,1301,B,7,R,395.6,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_007r_01.jpg,1301b_007r_01.jpg
301,1301,B,7,R,397.1,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_007r_02.jpg,1301b_007r_02.jpg
301,1301,B,8,R,405.2,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B8R.PDF,1301B8R.PDF
301,1301,B,8,R,405.2,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_008r_01.jpg,1301b_008r_01.jpg
301,1301,B,9,R,410.2,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B9R.PDF,1301B9R.PDF
301,1301,B,9,R,410.2,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_009r_01.jpg,1301b_009r_01.jpg
301,1301,B,10,R,414.8,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B10R.PDF,1301B10R.PDF
301,1301,B,10,R,414.8,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_010r_01.jpg,1301b_010r_01.jpg
301,1301,B,10,R,416.25,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_010r_02.jpg,1301b_010r_02.jpg
301,1301,B,11,R,424.4,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B11R.PDF,1301B11R.PDF
301,1301,B,11,R,424.4,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_011r_01.jpg,1301b_011r_01.jpg
301,1301,B,12,R,428.9,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B12R.PDF,1301B12R.PDF
301,1301,B,12,R,428.9,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_012r_01.jpg,1301b_012r_01.jpg
301,1301,B,13,R,429.9,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B13R.PDF,1301B13R.PDF
301,1301,B,13,R,429.9,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_013r_01.jpg,1301b_013r_01.jpg
301,1301,B,13,R,431.33,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_013r_02.jpg,1301b_013r_02.jpg
301,1301,B,14,R,434.0,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B14R.PDF,1301B14R.PDF
301,1301,B,14,R,434.0,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_014r_01.jpg,1301b_014r_01.jpg
301,1301,B,14,R,435.5,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_014r_02.jpg,1301b_014r_02.jpg
301,1301,B,15,R,443.6,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B15R.PDF,1301B15R.PDF
301,1301,B,15,R,443.6,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_015r_01.jpg,1301b_015r_01.jpg
301,1301,B,15,R,445.1,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_015r_02.jpg,1301b_015r_02.jpg
301,1301,B,15,R,446.6,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_015r_03.jpg,1301b_015r_03.jpg
301,1301,B,15,R,448.1,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_015r_04.jpg,1301b_015r_04.jpg
301,1301,B,15,R,449.6,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_015r_05.jpg,1301b_015r_05.jpg
301,1301,B,16,R,453.2,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B16R.PDF,1301B16R.PDF
301,1301,B,16,R,453.2,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_016r_01.jpg,1301b_016r_01.jpg
301,1301,B,17,R,461.4,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B17R.PDF,1301B17R.PDF
301,1301,B,17,R,461.4,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_017r_01.jpg,1301b_017r_01.jpg
301,1301,B,18,R,471.0,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B18R.PDF,1301B18R.PDF
301,1301,B,18,R,471.0,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_018r_01.jpg,1301b_018r_01.jpg
301,1301,B,18,R,472.3,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_018r_02.jpg,1301b_018r_02.jpg
301,1301,B,18,R,473.56,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_018r_03.jpg,1301b_018r_03.jpg
301,1301,B,18,R,474.88,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_018r_04.jpg,1301b_018r_04.jpg
301,1301,B,18,R,476.33,JPG   ,254.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/JPEG/1301b/1301b_018r_05.jpg,1301b_018r_05.jpg
301,1301,B,19,R,476.1,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301B19R.PDF,1301B19R.PDF
