Leg,Site,H,Cor,T,Depth (mbsf),Format,DPI,Image Link,Filename
301,1301,C,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/301/EXP_REPT/CORES/IMAGES/1301C1H.PDF,1301C1H.PDF
303,1302,A,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1302A1H.PDF,1302A1H.PDF
303,1302,B,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1302B1H.PDF,1302B1H.PDF
303,1302,C,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1302C1H.PDF,1302C1H.PDF
303,1302,D,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1302D1H.PDF,1302D1H.PDF
303,1302,E,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1302E1H.PDF,1302E1H.PDF
303,1303,A,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1303A1H.PDF,1303A1H.PDF
303,1303,B,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1303B1H.PDF,1303B1H.PDF
303,1304,A,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1304A1H.PDF,1304A1H.PDF
303,1304,B,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1304B1H.PDF,1304B1H.PDF
303,1304,C,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1304C1H.PDF,1304C1H.PDF
303,1305,A,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1305A1H.PDF,1305A1H.PDF
303,1305,B,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1305B1H.PDF,1305B1H.PDF
303,1305,C,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1305C1H.PDF,1305C1H.PDF
303,1306,A,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1306A1H.PDF,1306A1H.PDF
303,1306,B,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1306B1H.PDF,1306B1H.PDF
303,1306,C,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1306C1H.PDF,1306C1H.PDF
303,1306,D,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1306D1H.PDF,1306D1H.PDF
303,1307,A,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1307A1H.PDF,1307A1H.PDF
303,1307,B,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1307B1H.PDF,1307B1H.PDF
303,1308,A,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1308A1H.PDF,1308A1H.PDF
303,1308,B,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1308B1H.PDF,1308B1H.PDF
303,1308,C,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1308C1H.PDF,1308C1H.PDF
303,1308,D,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1308D1H.PDF,1308D1H.PDF
303,1308,E,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1308E1H.PDF,1308E1H.PDF
303,1308,F,1,H,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1308F1H.PDF,1308F1H.PDF
304,1309,A,1,R,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/304_305/EXP_REPT/CORES/IMAGES/1309A1R.PDF,1309A1R.PDF
304,1309,B,1,R,0.0,PDF   ,300.0,http://publications.iodp.org/proceedings/304_305/EXP_REPT/CORES/IMAGES/1309B1R.PDF,1309B1R.PDF
