"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%), CHNS with treated sample (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample treatment method (CHNS organic carbon)","Sample comments"
"317","U1351","A","1","H","1","W","11.0","13.0","0.110","0.110","","","4.2200","0.0000","0.5290","0.0400","","","",""
"317","U1351","A","1","H","1","W","11.0","13.0","0.110","0.110","","","0.8800","0.0000","0.3540","0.4200","","","","Decarbonated fraction for CHNS and SRA"
"317","U1351","A","1","H","1","W","11.0","13.0","0.110","0.110","3.513","29.274","","","","","","","",""
"317","U1351","A","1","H","1","W","25.0","26.0","0.250","0.250","","","0.9500","0.0000","0.3750","0.4000","","","","Decarbonated fraction for CHNS and SRA"
"317","U1351","A","1","H","1","W","25.0","26.0","0.250","0.250","3.321","27.674","4.0600","0.0000","0.6080","0.0600","","0.74","",""
"317","U1351","A","1","H","2","W","43.0","44.0","1.920","1.920","","","2.4900","0.0000","0.5380","0.2600","","","",""
"317","U1351","A","1","H","2","W","43.0","44.0","1.920","1.920","","","0.7700","0.0000","0.3240","0.6900","","","","Decarbonated fraction for CHNS and SRA"
"317","U1351","A","1","H","2","W","43.0","44.0","1.920","1.920","1.681","14.008","","","","","","","",""
"317","U1351","B","1","H","1","W","50.0","51.0","0.500","0.500","3.061","25.507","3.9300","0.0000","0.5790","0.0900","","0.87","",""
"317","U1351","B","1","H","1","W","78.0","79.0","0.780","0.780","3.192","26.599","3.6100","0.0000","0.5750","0.0200","","0.42","",""
"317","U1351","B","1","H","5","W","41.0","42.0","6.410","6.410","0.443","3.692","0.8700","0.0000","0.5810","0.5000","","0.43","",""
"317","U1352","B","1","H","3","W","29.0","30.0","3.290","3.290","0.445","3.708","0.7000","0.0000","0.0250","0.0300","","0.25","",""
