"Exp","Site","Hole","Core","Type","Top depth CSF-A (m)","Bottom depth CSF-A (m)","Top depth CSF-B (m)","Bottom depth CSF-B (m)","Image (PNG) link","Image filename","Timestamp (UTC)","Instrument","Text ID","Test No.","Sample comments","Test comments","Result comments"
"317","U1351","A","1","H","0.000","2.610","0.000","2.700","5720661","317U1351A317-U1351A-1H.png","2009-12-30 18:12:15","COCO","CORE1686511","16156631","","",""
"317","U1351","B","1","H","0.000","7.760","0.000","7.800","5720781","317U1351B317-U1351B-1H.png","2009-12-30 18:13:31","COCO","CORE1690881","16156691","","",""
"317","U1352","A","1","H","0.000","4.260","0.000","4.200","5722981","317U1352A317-U1352A-1H.png","2009-12-30 18:25:31","COCO","CORE1762471","16158421","","",""
"317","U1352","B","1","H","0.000","8.210","0.000","8.200","5723081","317U1352B317-U1352B-1H.png","2009-12-30 18:27:09","COCO","CORE1768741","16158521","","",""
"317","U1352","D","1","H","0.000","3.600","0.000","3.500","5728381","317U1352D317-U1352D-1H.png","2009-12-30 19:06:29","COCO","CORE1962041","16161621","","",""
"317","U1353","A","1","H","0.000","5.490","0.000","5.500","5728721","317U1353A317-U1353A-1H.png","2009-12-30 19:10:58","COCO","CORE1966211","16161781","","",""
"317","U1353","B","1","H","0.000","7.990","0.000","8.000","5728881","317U1353B317-U1353B-1H.png","2009-12-30 19:13:12","COCO","CORE1971381","16161861","","",""
"317","U1354","A","1","H","0.000","3.830","0.000","3.800","5730881","317U1354A317-U1354A-1H.png","2009-12-30 19:24:06","COCO","CORE2015531","16163381","04:25","",""
"317","U1354","B","1","H","0.000","4.140","0.000","4.100","5731281","317U1354B317-U1354B-1H.png","2009-12-30 19:27:23","COCO","CORE2025911","16163911","23:45","",""
"318","U1355","A","1","R","0.000","5.300","0.000","3.500","","New Folder318-U1355A-1R-A.jpg","2010-01-22 12:32:38","COCO","CORE2067111","16387331","","",""
"318","U1356","A","1","R","0.000","4.600","0.000","9.500","5966361","318U1356A318-U1356A-1R.png","2010-01-25 02:41:46","COCO","CORE2068711","16468161","","",""
"318","U1357","A","1","H","0.000","7.650","0.000","7.600","1520722","318U1357A1.png","2010-09-15 16:40:25","COCO","CORE2109171","9055702","","",""
"318","U1357","A","1","H","0.000","7.650","0.000","7.600","6098361","318U1357A318-U1357A-1H.png","2010-02-03 17:38:54","COCO","CORE2109171","16826451","","",""
"318","U1357","A","1","H","0.000","7.650","0.000","7.600","6096001","318U1357A318-U1357A-1H.png","2010-02-03 15:37:09","COCO","CORE2109171","16816001","","",""
"318","U1357","A","1","H","0.000","7.650","0.000","7.600","6097941","318U1357A318-U1357A-1H.png","2010-02-03 17:23:30","COCO","CORE2109171","16824901","","",""
"318","U1357","A","1","H","0.000","7.650","0.000","7.600","6095721","318U1357A318-U1357A-1H.png","2010-02-03 15:21:56","COCO","CORE2109171","16815011","","",""
"318","U1357","A","1","H","0.000","7.650","0.000","7.600","6097301","318U1357A318-U1357A-1H.png","2010-02-03 16:53:01","COCO","CORE2109171","16822401","","",""
"318","U1357","A","1","H","0.000","7.650","0.000","7.600","6096821","318U1357A318-U1357A-1H.png","2010-02-03 16:22:39","COCO","CORE2109171","16819891","","",""
"318","U1357","B","1","H","0.000","2.490","0.000","2.500","1521142","318U1357B1.png","2010-09-15 16:47:17","COCO","CORE2120861","9055912","","",""
"318","U1357","C","1","H","0.000","8.780","0.000","8.800","1521522","318U1357C1.png","2010-09-15 16:54:45","COCO","CORE2130681","9056102","Two Attempts At Mudline","",""
"318","U1358","A","1","R","0.000","1.100","0.000","2.000","6156481","318U1358A318-U1358A-1R.png","2010-02-07 03:13:40","COCO","CORE2147831","17068531","","",""
"318","U1358","A","1","R","0.000","1.100","0.000","2.000","6156361","318U1358A318-U1358A-1R.png","2010-02-07 02:58:27","COCO","CORE2147831","17068381","","",""
"318","U1358","B","1","R","0.000","0.420","0.000","8.200","6158241","318U1358B318-U1358B-1R.png","2010-02-07 09:50:17","COCO","CORE2148011","17073181","","",""
"318","U1359","A","1","H","0.000","0.670","0.000","0.600","6162101","318U1359A318-U1359A-1H.png","2010-02-08 18:54:32","COCO","CORE2152411","17088811","First attempt water core","",""
"318","U1359","B","1","H","0.000","7.740","0.000","7.700","6211081","318U1359B318-U1359B-1H.png","2010-02-10 15:02:42","COCO","CORE2161091","17221111","","",""
"318","U1359","C","1","H","0.000","7.250","0.000","7.200","6545641","318U1359C1.png","2010-06-15 05:36:24","COCO","CORE2171201","18298001","","",""
"318","U1359","D","1","W","0.000","0.150","0.000","152.200","6545981","318U1359D1.png","2010-06-15 05:55:00","COCO","CORE2185971","18298171","Check Valve Removed","",""
"318","U1360","A","1","R","0.000","0.600","0.000","14.300","6546881","318U1360A1.png","2010-06-15 06:10:21","COCO","CORE2183461","18298621","","",""
"318","U1361","A","1","H","0.000","9.030","0.000","9.000","6547001","318U1361A1.png","2010-06-15 06:11:30","COCO","CORE2205771","18298681","","",""
"318","U1361","B","1","H","0.000","2.640","0.000","2.600","6547801","318U1361B1.png","2010-06-15 06:29:56","COCO","CORE2225291","18299091","HIGHLY DISTURBED","",""
"320","U1331","A","1","H","0.000","5.190","0.000","5.200","1552722","320U1331A1.png","2010-10-25 14:07:26","COCO","CORE551161","9087492","Shot Time: 17:50","",""
"320","U1331","B","1","H","0.000","10.090","0.000","10.100","1552802","320U1331B1.png","2010-10-25 14:08:32","COCO","CORE562831","9087532","21:30","",""
"320","U1331","C","1","H","0.000","9.460","0.000","9.500","1552842","320U1331C1.png","2010-10-25 14:10:58","COCO","CORE571381","9087552","","",""
"320","U1332","A","1","H","0.000","3.910","0.000","3.900","1552882","320U1332A1.png","2010-10-25 14:13:09","COCO","CORE578311","9087572","20:50","",""
"320","U1332","B","1","H","0.000","2.100","0.000","2.100","1552942","320U1332B1.png","2010-10-25 14:15:03","COCO","CORE591581","9087602","Shot Time 22:25","",""
"320","U1332","C","1","H","0.000","7.490","0.000","7.500","1553002","320U1332C1.png","2010-10-25 14:17:45","COCO","CORE597171","9087632","11:05","",""
"320","U1333","A","1","H","0.000","10.050","0.000","9.500","1553062","320U1333A1.png","2010-10-25 14:19:20","COCO","CORE609421","9087662","","",""
"320","U1333","B","1","H","0.000","7.730","0.000","7.700","1553542","320U1333B1.png","2010-10-25 14:21:02","COCO","CORE623181","9087712","Spud @ 23:05 GMT","",""
"320","U1333","C","1","H","0.000","1.650","0.000","1.600","1553642","320U1333C1.png","2010-10-25 14:22:13","COCO","CORE633191","9087762","Spud 06.00 AM","",""
"320","U1334","A","1","H","0.000","8.240","0.000","8.200","1553742","320U1334A1.png","2010-10-25 14:24:01","COCO","CORE645661","9087812","","",""
"320","U1334","B","1","H","3.700","13.720","3.700","13.200","1553842","320U1334B1.png","2010-10-25 14:25:55","COCO","CORE666891","9087862","","",""
"320","U1334","C","1","H","0.000","9.830","0.000","9.500","1553942","320U1334C1.png","2010-10-25 14:27:52","COCO","CORE681981","9087912","","",""
"320","U1335","A","1","H","0.000","8.860","0.000","8.900","1554042","320U1335A1.png","2010-10-25 14:29:46","COCO","CORE700651","9087962","","",""
"320","U1335","B","1","H","0.000","3.480","0.000","3.300","1554142","320U1335B1.png","2010-10-25 14:31:32","COCO","CORE733841","9088012","","",""
"320","U1336","A","1","H","0.000","8.240","0.000","8.000","1554242","320U1336A1.png","2010-10-25 14:33:29","COCO","CORE759971","9088062","","",""
"320","U1336","B","1","H","0.000","1.730","0.000","1.800","1554342","320U1336B1.png","2010-10-25 14:35:15","COCO","CORE779311","9088112","","",""
"320T","U1330","A","1","W","0.000","0.070","0.000","103.600","227861",".\U1330_A_1.jpg","2009-02-18 07:52:46","COCO","CORE469551","4519601","","",""
"320T","U1330","A","1","W","0.000","0.070","0.000","103.600","244121","U1330_A_1.jpg","2009-02-20 09:25:57","COCO","CORE469551","4542811","","",""
"320T","U1330","B","1","H","0.000","6.670","0.000","6.700","331801","320T-U1330B-1H-A.jpg","2009-02-26 09:11:53","COCO","CORE473581","4603491","","",""
"321","U1337","A","1","H","0.000","0.190","0.000","5.500","1556402","321U1337A1.png","2010-10-27 20:07:52","COCO","CORE803581","9088972","Hard sea floor","",""
"321","U1337","B","1","H","1.000","7.410","1.000","10.500","1556522","321U1337B1.png","2010-10-27 20:09:53","COCO","CORE837491","9089032","Drilled down to 1 meter","",""
"321","U1337","C","1","H","0.000","1.920","0.000","1.900","1556582","321U1337C1.png","2010-10-27 20:10:43","COCO","CORE849831","9089062","","",""
"321","U1337","D","1","H","0.000","7.980","0.000","8.000","1556702","321U1337D1.png","2010-10-27 20:12:45","COCO","CORE859921","9089122","","",""
"321","U1338","A","1","H","0.000","2.730","0.000","2.700","1556822","321U1338A1.png","2010-10-27 20:14:47","COCO","CORE875541","9089182","","",""
"321","U1338","B","1","H","0.000","7.600","0.000","7.600","1556882","321U1338B1.png","2010-10-27 20:15:55","COCO","CORE902811","9089212","","",""
