Exp,Site,Hole,Latitude,Longitude,Water depth (m),Penetration DSF (m),Cored interval (m),Recovered length (m),Recovery (%),Drilled interval (m),Drilled interval (no.),Total cores (no.),APC cores (no.),HLAPC cores (no.),XCB cores (no.),RCB cores (no.),Other cores (no.),Date started (UTC),Date finished (UTC),Time on hole (days),Comments,
317,U1351,A,44 53.0307 S,171 50.4037 E,126.82,28,28,27.33,97.61,,0,6,6,0,0,0,0,11/18/09 9:30,11/18/09 23:30,0.58,,
317,U1351,B,44 53.0422 S,171 50.4065 E,126.22,1030.6,1030.6,304.52,29.55,,0,116,19,0,97,0,0,11/18/09 23:30,11/25/09 18:00,6.77,,
317,U1351,C,44 53.0572 S,171 50.4057 E,126.22,967.3,967.3,0,0,,0,1,0,0,0,0,1,11/25/09 18:00,11/30/09 2:00,4.33,Dedicated Logging Hole - No coring.,
317,U1352,A,44 56.2440 S,172 01.3615 E,348.32,42.2,42.2,43.92,104.08,,0,5,5,0,0,0,0,11/30/09 5:00,11/30/09 15:30,0.44,,
317,U1352,B,44 56.2558 S,172 01.3630 E,348.12,830.9,830.9,613.87,73.88,,0,94,36,0,58,0,0,11/30/09 15:30,12/5/09 16:15,5.03,,
317,U1352,C,44 56.2662 S,172 01.3630 E,348.12,1927.5,1927.5,656.5,34.06,,0,148,0,0,0,146,2,12/5/09 16:15,12/20/09 22:00,15.24,,
317,U1352,D,44 56.2326 S,172 01.3611 E,338.92,127,127,130.84,103.02,,0,14,14,0,0,0,0,12/20/09 22:00,12/21/09 21:00,0.96,,
317,U1353,A,44 46.1079 S,171 40.4368 E,89.32,56,56,56.38,100.68,,0,8,8,0,0,0,0,12/21/09 23:15,12/22/09 11:15,0.5,,
317,U1353,B,44 46.1203 S,171 40.4407 E,89.82,614.3,614.3,211.48,34.43,,0,98,51,0,47,0,0,12/22/09 11:15,12/26/09 20:45,4.4,,
317,U1353,C,44 46.0982 S,171 40.4380 E,89.82,529,529,0,0,,0,1,0,0,0,0,1,12/26/09 20:45,12/28/09 21:00,2.01,Dedicated Logging Hole,
317,U1354,A,44 50.8281 S,171 47.2096 E,115.12,85.4,85.4,84.43,98.86,,0,19,18,0,0,0,1,12/28/09 23:45,12/29/09 23:00,0.97,,
317,U1354,B,44 50.8367 S,171 47.2069 E,118.72,77.2,77.2,77.52,100.41,,0,15,15,0,0,0,0,12/29/09 23:00,12/30/09 12:45,0.57,,
317,U1354,C,44 50.8487 S,171 47.2080 E,118.72,384.2,384.2,133.37,34.71,,0,36,2,0,33,0,1,12/30/09 12:45,1/2/10 12:00,2.97,,
318,U1355,A,63 50.4704 S,138 49.4270 E,3733.52,31.7,31.7,14.95,47.16,,0,4,0,0,0,4,0,1/19/10 10:45,1/22/10 6:00,2.8,11 m offset to mbrf (3740.0 mbrf),
318,U1356,A,63 18.6138 S,135 59.9376 E,3996.62,1006.4,1006.4,350.13,34.79,,0,106,0,0,0,106,0,1/22/10 14:45,2/2/10 6:15,10.65,11.1 m offset to mbrf. 4003 mbrf,
318,U1357,A,66 24.7991 S,140 25.5008 E,1019.42,186.6,186.6,183.885,98.55,,0,21,20,0,1,0,0,2/3/10 6:15,2/3/10 11:20,0.21,11 m offset to rig floor; 1025.9 mbrf,
318,U1357,B,66  24.7990 S,140 25.5705 E,1021.52,170.7,170.7,172.44,101.02,,0,19,19,0,0,0,0,2/4/10 13:45,2/5/10 3:40,0.58,"11 m offset to rig floor, 1025.9 mbrf",
318,U1357,C,66 24.8013 S,140 25.4651 E,1020.52,103.8,103.8,110.71,106.66,,0,11,11,0,0,0,0,2/5/10 6:45,2/5/10 13:58,0.3,,
318,U1358,A,66 05.4239 S,143 18.7707 E,503.52,2,2,1.1,55,,0,1,0,0,0,1,0,2/6/10 17:30,2/7/10 0:15,0.28,,
318,U1358,B,66 05.4244 S,143 18.7666 E,503.52,35.6,35.6,8,22.47,,0,4,0,0,0,4,0,2/7/10 2:50,2/7/10 15:30,0.53,ADDED BY HORNBACHER,
318,U1359,A,64 54.2377 S,143 57.6825 E,3014.52,193.5,193.5,154.085,79.63,,0,22,17,0,5,0,0,2/8/10 7:00,2/9/10 17:00,1.42,11.1 m offset. 3020.9 mbrf,
318,U1359,B,64 54.2431 S,143 57.6553 E,3012.42,252,252,198.93,78.94,,0,28,23,0,5,0,0,2/9/10 18:15,2/10/10 22:40,1.18,11.1 m offset. 3018.8 mbrf,
318,U1359,C,64 54.2477 S,143 57.6248 E,3015.92,168.7,168.7,150.755,89.36,,0,18,18,0,0,0,0,2/10/10 23:40,2/12/10 0:15,1.02,11.1 m offset. 3022.3 mbrf,
318,U1359,D,64 54.2596 S,143 57.5624 E,3016.62,450,450,269.435,59.87,,0,47,0,0,0,47,1,2/19/10 22:15,2/24/10 22:45,5.02,11.1 m offset. 3023.0 mbrf,
318,U1360,A,66 22.0395 S,142 44.7050 E,499.52,70.8,70.8,7.03,9.93,,0,7,0,0,0,7,0,2/12/10 23:15,2/14/10 6:15,1.29,11 m offset to rig floor.,
318,U1361,A,64 24.5728 S,143 53.1992 E,3459.22,388,388,338.855,87.33,,0,41,16,0,25,0,0,2/25/10 19:45,3/2/10 6:05,4.43,11.2 m offset. 3465.5 mbrf,
318,U1361,B,64 24.5454 S,143 53.1966 E,3460.52,12.1,12.1,12.04,99.5,,0,2,2,0,0,0,0,3/2/10 8:40,3/3/10 0:30,0.66,11.2 m offset 3466.9 mbrf,
320,U1331,A,12 04.0884 N,142 09.6961 W,5120.92,190.6,190.6,155.11,81.38,,0,22,15,0,7,0,0,3/14/09 23:30,3/18/09 8:20,3.37,Subtract 11.1 m from mbrf for mbsl,
320,U1331,B,12 04.0877 N,142 09.7085 W,5121.02,188.5,188.5,175.74,93.23,,0,22,18,0,2,0,2,3/18/09 8:20,3/19/09 22:20,1.58,Spud 2130 UTC 18 Mar 09,
320,U1331,C,12 04.0892 N,142 09.7201 W,5121.62,189,189,191.54,101.34,,0,17,12,0,0,0,5,3/19/09 22:20,3/22/09 5:00,2.28,,
320,U1332,A,11 54.7095 N,141 02.7428 W,4917.62,152.4,152.4,145.61,95.54,,0,18,14,0,4,0,0,3/22/09 14:45,3/26/09 8:00,3.72,11.2 m from mbrf = mbsl,
320,U1332,B,11 54.7209 N,141 02.7427 W,4930.62,148.6,148.6,140.28,94.4,,0,18,13,0,5,0,0,3/26/09 8:00,3/27/09 22:30,1.6,11.2 m from mbrf = mbsl,
320,U1332,C,11 54.7366 N,141 02.7422 W,5121.72,155.5,155.5,148.06,95.22,,0,18,13,0,5,0,0,3/27/09 22:30,3/29/09 19:30,1.88,,
320,U1333,A,10 30.9953 N,138 25.1728 W,4858.82,184.1,184.1,176.25,95.74,,0,22,10,0,12,0,0,3/30/09 14:00,4/1/09 11:55,1.91,Spud 12:25,
320,U1333,B,10 30.9960 N,138 25.1597 W,4855.62,180.3,180.3,177.96,98.7,,0,20,18,0,2,0,0,4/1/09 11:55,4/2/09 18:45,1.28,Spud @ 13.05 HR,
320,U1333,C,10 30.9958 N,138 25.1459 W,4858.92,177,177,177.04,100.02,,0,24,21,0,3,0,0,4/2/09 18:45,4/4/09 18:15,1.98,Spud @ 06:00 HR,
320,U1334,A,07 59.9980 N,131 58.3937 W,4793.22,285.5,285.5,288.83,101.17,,0,32,22,0,10,0,0,4/6/09 12:15,4/8/09 21:50,2.4,,
320,U1334,B,07 59.9979 N,131 58.4071 W,4793.22,281.7,281.7,294.59,104.58,,0,31,22,0,9,0,0,4/8/09 21:50,4/10/09 18:40,1.87,Spud @ 08:30,
320,U1334,C,07 59.9979 N,131 58.4219 W,4794.92,280.7,280.7,285.78,101.81,,0,33,22,0,11,0,0,4/10/09 18:40,4/13/09 22:00,3.14,Spud @ 5:20 GMT,
320,U1335,A,05 18.7341 N,126 16.9949 W,4333.02,421.1,421.1,422.08,100.23,,0,45,36,0,9,0,0,4/15/09 16:30,4/18/09 17:25,3.04,,
320,U1335,B,05 18.7362 N,126 17.0088 W,4333.62,417.5,417.5,427.51,102.4,,0,46,41,0,5,0,0,4/18/09 17:25,4/21/09 21:45,3.18,Spud @ 4:55 GMT,
320,U1336,A,07 42.0735 N,128 15.2526 W,4291.02,302.9,302.9,259.12,85.55,,0,35,21,0,14,0,0,4/22/09 15:45,4/25/09 4:00,2.51,Spud @ 10:35,
320,U1336,B,07 42.0599 N,128 15.253 W,4292.22,173.9,173.9,179.59,103.27,,0,20,20,0,0,0,0,4/25/09 4:00,4/26/09 13:15,1.39,,
320T,U1330,A,03 36.335 N,156 37.446 E,,19.1,19.1,16.09,84.24,,0,2,0,0,0,2,1,2/15/09 4:15,2/19/09 9:45,4.23,Water Depth (sea level to sea floor),
320T,U1330,B,03 36.321 N,156 37.446 E,,92.2,92.2,87.18,94.56,,0,10,10,0,0,0,0,2/19/09 9:45,2/20/09 16:45,1.29,Water Depth (sea level to sea floor),
321,U1337,A,03 50.0065 N,123 12.3558 W,4465.62,449.8,449.8,420.11,93.4,,0,48,21,0,27,0,0,5/19/09 11:45,5/25/09 9:30,5.91,,
321,U1337,B,03 50.0067 N,123 12.3621 W,4466.12,250.6,250.6,242.65,96.83,,0,28,27,0,1,0,0,5/25/09 9:30,5/27/09 22:45,2.55,,
321,U1337,C,03 50.0067 N,123 12.3755 W,4472.22,282.3,282.3,273.72,96.96,,0,32,8,0,24,0,1,5/27/09 22:45,5/30/09 14:00,2.64,,
321,U1337,D,03 50.0067 N,123 12.3858 W,4470.12,442.9,442.9,431.97,97.53,,0,49,29,0,20,0,0,5/30/09 14:00,6/2/09 16:30,3.1,,
321,U1338,A,02 30.4685 N,117 58.1623 W,4204.52,410,410,345.96,84.38,,0,44,26,0,18,0,0,6/3/09 23:15,6/6/09 19:00,2.82,,
321,U1338,B,02 30.4692 N,117 58.1736 W,4203.72,413.6,413.6,417.93,101.05,,0,45,42,0,3,0,0,6/6/09 19:00,6/11/09 17:00,4.92,,
321,U1338,C,02 30.4687 N,117 58.1842 W,4206.52,414.4,414.4,432.82,104.44,,0,47,47,0,0,0,0,6/11/09 17:00,6/14/09 20:15,3.14,,
321,U1338,D,02 30.4689 N,117 58.1948 W,4206.42,23.9,23.9,24.79,103.72,,0,3,3,0,0,0,0,6/14/09 20:15,6/15/09 10:30,0.59,,
