Leg,Site,Hole,Ageprofile Fossil Group,Ageprofile Depth Top,Ageprofile Depth Base,Ageprofile Age Young,Ageprofile Age Old,Ageprofile Datum ID,Ageprofile Datum Description                                                    ,Ageprofile Datum Type,Genus Subgenus                                                                  ,Species Subspecies                                                              ,Depth Map Type,MCD Flag,Compression Flag
167,1010.0,   C,1.0,15.38,24.76,1.44,1.44,7491.0,Gephyrocapsa large                                                              ,FO                   ,Gephyrocapsa                                                                    ,large                                                                           ,              ,        ,         
167,1010.0,   C,1.0,62.76,53.5,3.82,3.82,7496.0,Reticulofenestra pseudoumbilicus                                                ,LO                   ,Reticulofenestra                                                                ,pseudoumbilicus                                                                 ,              ,        ,         
167,1010.0,   C,2.0,62.79,72.33,6.6,6.6,7421.0,Lamprocyrtis heteroporos                                                        ,FO                   ,Lamprocyrtis                                                                    ,heteroporos                                                                     ,              ,        ,         
167,1010.0,   C,1.0,75.06,74.32,5.55,5.55,7621.0,Discoaster quinqueramus/berggrenii                                              ,LO                   ,Discoaster                                                                      ,quinqueramus/berggrenii                                                         ,              ,        ,         
167,1010.0,   C,2.0,91.32,100.71,7.55,7.55,331.0,Stichocorys peregrina                                                           ,FO                   ,Stichocorys                                                                     ,peregrina                                                                       ,              ,        ,         
167,1010.0,   C,2.0,100.7,91.32,7.7,7.7,336.0,Diartus hughesi                                                                 ,LO                   ,Diartus                                                                         ,hughesi                                                                         ,              ,        ,         
167,1010.0,   C,1.0,110.29,100.74,9.4,9.4,56.0,Discoaster hamatus                                                              ,LO                   ,Discoaster                                                                      ,hamatus                                                                         ,              ,        ,         
167,1010.0,   C,5.0,119.53,110.32,8.4,8.4,7386.0,Denticulopsis hustedtii                                                         ,LCO                  ,Denticulopsis                                                                   ,hustedtii                                                                       ,              ,        ,         
167,1010.0,   C,2.0,119.53,110.32,10.0,10.0,7426.0,Cyrtocapsella japonica                                                          ,LO                   ,Cyrtocapsella                                                                   ,japonica                                                                        ,              ,        ,         
167,1010.0,   C,5.0,119.53,110.32,11.4,11.4,7401.0,Denticulopsis praedimorpha                                                      ,LCO                  ,Denticulopsis                                                                   ,praedimorpha                                                                    ,              ,        ,         
167,1010.0,   C,1.0,148.29,139.07,13.19,13.19,7501.0,Cyclicargolithus floridanus                                                     ,LCO                  ,Cyclicargolithus                                                                ,floridanus                                                                      ,              ,        ,         
167,1010.0,   C,2.0,148.34,157.88,12.39,12.39,7431.0,Cyrtocapsella japonica                                                          ,FO                   ,Cyrtocapsella                                                                   ,japonica                                                                        ,              ,        ,         
167,1010.0,   C,5.0,157.92,166.89,12.8,12.8,2391.0,Denticulopsis praedimorpha                                                      ,FO                   ,Denticulopsis                                                                   ,praedimorpha                                                                    ,              ,        ,         
167,1010.0,   C,5.0,174.9,180.91,13.1,13.1,2006.0,Denticulopsis hustedtii                                                         ,FCO                  ,Denticulopsis                                                                   ,hustedtii                                                                       ,              ,        ,         
167,1010.0,   C,1.0,184.76,184.62,13.6,13.6,1645.0,Sphenolithus heteromorphus                                                      ,LO                   ,Sphenolithus                                                                    ,heteromorphus                                                                   ,              ,        ,         
167,1010.0,   E,1.0,56.9,47.49,3.82,3.82,7496.0,Reticulofenestra pseudoumbilicus                                                ,LO                   ,Reticulofenestra                                                                ,pseudoumbilicus                                                                 ,              ,        ,         
167,1010.0,   E,1.0,75.89,56.95,5.55,5.55,7621.0,Discoaster quinqueramus/berggrenii                                              ,LO                   ,Discoaster                                                                      ,quinqueramus/berggrenii                                                         ,              ,        ,         
167,1010.0,   E,5.0,104.0,94.5,8.4,8.4,7386.0,Denticulopsis hustedtii                                                         ,LCO                  ,Denticulopsis                                                                   ,hustedtii                                                                       ,              ,        ,         
167,1010.0,   E,5.0,104.54,94.62,9.0,9.0,7391.0,Denticulopsis dimorpha                                                          ,LO                   ,Denticulopsis                                                                   ,dimorpha                                                                        ,              ,        ,         
167,1010.0,   E,2.0,104.54,94.62,7.7,7.7,336.0,Diartus hughesi                                                                 ,LO                   ,Diartus                                                                         ,hughesi                                                                         ,              ,        ,         
167,1010.0,   E,1.0,113.6,104.57,9.4,9.4,7511.0,Catinaster calyculus                                                            ,LO                   ,Catinaster                                                                      ,calyculus                                                                       ,              ,        ,         
167,1010.0,   E,5.0,113.65,123.07,9.8,9.8,7396.0,Denticulopsis dimorpha                                                          ,FO                   ,Denticulopsis                                                                   ,dimorpha                                                                        ,              ,        ,         
167,1010.0,   E,2.0,123.06,113.65,10.0,10.0,7426.0,Cyrtocapsella japonica                                                          ,LO                   ,Cyrtocapsella                                                                   ,japonica                                                                        ,              ,        ,         
167,1010.0,   E,5.0,132.91,123.08,11.4,11.4,7401.0,Denticulopsis praedimorpha                                                      ,LCO                  ,Denticulopsis                                                                   ,praedimorpha                                                                    ,              ,        ,         
167,1010.0,   E,1.0,132.91,123.08,11.35,11.35,7516.0,Discoaster kugleri                                                              ,LO                   ,Discoaster                                                                      ,kugleri                                                                         ,              ,        ,         
167,1010.0,   E,2.0,151.94,161.21,11.86,11.86,351.0,Diartus petterssoni                                                             ,FO                   ,Diartus                                                                         ,petterssoni                                                                     ,              ,        ,         
167,1010.0,   E,5.0,151.94,161.21,12.8,12.8,2391.0,Denticulopsis praedimorpha                                                      ,FO                   ,Denticulopsis                                                                   ,praedimorpha                                                                    ,              ,        ,         
167,1010.0,   E,2.0,151.94,161.21,12.39,12.39,7431.0,Cyrtocapsella japonica                                                          ,FO                   ,Cyrtocapsella                                                                   ,japonica                                                                        ,              ,        ,         
167,1010.0,   E,1.0,161.2,151.95,12.14,12.14,7521.0,Calcidiscus premacintyrei                                                       ,LCO                  ,Calcidiscus                                                                     ,premacintyrei                                                                   ,              ,        ,         
167,1010.0,   E,5.0,170.62,180.21,13.1,13.1,2006.0,Denticulopsis hustedtii                                                         ,FCO                  ,Denticulopsis                                                                   ,hustedtii                                                                       ,              ,        ,         
167,1011.0,   B,2.0,27.79,18.7,1.25,1.25,7646.0,Lamprocyrtis neoheteroporus/nigriniae evolutionary transition                   ,FO                   ,Lamprocyrtis                                                                    ,neoheteroporus/nigriniae evolutionary transition                                ,              ,        ,         
167,1011.0,   B,4.0,37.18,27.84,1.2,1.2,7566.0,Neogloboquadrina humerosa                                                       ,LO                   ,Neogloboquadrina                                                                ,humerosa                                                                        ,              ,        ,         
167,1011.0,   B,1.0,37.18,27.84,0.46,0.46,3230.0,Pseudoemiliania lacunosa                                                        ,LO                   ,Pseudoemiliania                                                                 ,lacunosa                                                                        ,              ,        ,         
167,1011.0,   B,1.0,65.73,56.43,1.96,1.96,7506.0,Discoaster brouweri                                                             ,LO                   ,Discoaster                                                                      ,brouweri                                                                        ,              ,        ,         
167,1011.0,   B,4.0,75.18,65.8,1.9,1.9,7571.0,Neogloboquadrina asanoi                                                         ,LO                   ,Neogloboquadrina                                                                ,asanoi                                                                          ,              ,        ,         
167,1011.0,   B,1.0,94.33,84.94,2.52,2.52,3285.0,Discoaster pentaradiatus                                                        ,LO                   ,Discoaster                                                                      ,pentaradiatus                                                                   ,              ,        ,         
167,1011.0,   B,4.0,122.68,132.33,3.3,3.3,7576.0,Globorotalia inflata                                                            ,FO                   ,Globorotalia                                                                    ,inflata                                                                         ,              ,        ,         
167,1011.0,   B,1.0,138.13,132.36,3.82,3.82,7496.0,Reticulofenestra pseudoumbilicus                                                ,LO                   ,Reticulofenestra                                                                ,pseudoumbilicus                                                                 ,              ,        ,         
167,1011.0,   B,1.0,138.16,145.96,4.99,4.99,7526.0,Ceratolithus acutus                                                             ,FO                   ,Ceratolithus                                                                    ,acutus                                                                          ,              ,        ,         
167,1011.0,   B,1.0,166.11,156.36,5.55,5.55,7621.0,Discoaster quinqueramus/berggrenii                                              ,LO                   ,Discoaster                                                                      ,quinqueramus/berggrenii                                                         ,              ,        ,         
167,1011.0,   B,5.0,175.31,166.11,8.3,8.3,7361.0,Denticulopsis spp.                                                              ,LO                   ,Denticulopsis                                                                   ,spp.                                                                            ,              ,        ,         
167,1011.0,   B,5.0,175.31,166.15,9.0,9.0,7391.0,Denticulopsis dimorpha                                                          ,LO                   ,Denticulopsis                                                                   ,dimorpha                                                                        ,              ,        ,         
167,1011.0,   B,2.0,213.86,204.32,7.55,7.55,7611.0,Stichocorys delmontensis/peregrina evolutionary transition                      ,FO                   ,Stichocorys                                                                     ,delmontensis/peregrina evolutionary transition                                  ,              ,        ,         
