Leg,Site,H,Cor,T,Depth (mbsf),Format,DPI,Image Link,Filename
100,625,A,1,R,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/100_IR/VOLUME/CORES/IMAGES/625A1R.PDF,625A1R.PDF
100,625,B,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/100_IR/VOLUME/CORES/IMAGES/625B1H.PDF,625B1H.PDF
101,626,A,1,R,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/626A1R.PDF,626A1R.PDF
101,626,B,1,W,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/626B1W.PDF,626B1W.PDF
101,626,C,1,X,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/626C1X.PDF,626C1X.PDF
101,627,A,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/627A1H.PDF,627A1H.PDF
101,627,B,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/627B1H.PDF,627B1H.PDF
101,628,A,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/628A1H.PDF,628A1H.PDF
101,629,A,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/629A1H.PDF,629A1H.PDF
101,630,A,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/630A1H.PDF,630A1H.PDF
101,630,B,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/630B1H.PDF,630B1H.PDF
101,630,C,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/630C1H.PDF,630C1H.PDF
101,631,A,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/631A1H.PDF,631A1H.PDF
101,632,A,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/632A1H.PDF,632A1H.PDF
101,633,A,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/633A1H.PDF,633A1H.PDF
101,634,A,1,R,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/634A1R.PDF,634A1R.PDF
101,635,A,1,R,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/635A1R.PDF,635A1R.PDF
101,635,B,1,R,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/635B1R.PDF,635B1R.PDF
101,636,A,1,W,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/101_IR/VOLUME/CORES/IMAGES/636A1W.PDF,636A1W.PDF
103,637,A,1,R,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/103_IR/VOLUME/CORES/IMAGES/637A1R.PDF,637A1R.PDF
103,638,B,1,R,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/103_IR/VOLUME/CORES/IMAGES/638B1R.PDF,638B1R.PDF
103,639,A,1,R,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/103_IR/VOLUME/CORES/IMAGES/639A1R.PDF,639A1R.PDF
103,639,B,1,R,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/103_IR/VOLUME/CORES/IMAGES/639B1R.PDF,639B1R.PDF
103,641,A,1,X,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/103_IR/VOLUME/CORES/IMAGES/641A1X.PDF,641A1X.PDF
104,642,B,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/104_IR/VOLUME/CORES/IMAGES/642B1H.PDF,642B1H.PDF
104,642,C,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/104_IR/VOLUME/CORES/IMAGES/642C1H.PDF,642C1H.PDF
104,642,D,1,W,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/104_IR/VOLUME/CORES/IMAGES/642D1W.PDF,642D1W.PDF
104,643,A,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/104_IR/VOLUME/CORES/IMAGES/643A1H.PDF,643A1H.PDF
104,644,A,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/104_IR/VOLUME/CORES/IMAGES/644A1H.PDF,644A1H.PDF
104,644,B,1,H,0.0,PDF   ,300.0,http://www-odp.tamu.edu/publications/104_IR/VOLUME/CORES/IMAGES/644B1H.PDF,644B1H.PDF
