Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
101,628.0,A,Post Moratorium          ,154.38,26.299999,FO Paragloborotalia pseudokugleri
101,628.0,A,Post Moratorium          ,214.28,30.0,LO Chiloguembelina (common)
101,628.0,A,Post Moratorium          ,228.65,31.6,FO Globigerina angulisuturalis
101,628.0,A,Post Moratorium          ,228.66,32.0,LO Subbotina angiporoides
101,628.0,A,Post Moratorium          ,228.67,32.799999,"LO ""Turborotalia"" ampliapertura"
101,628.0,A,Post Moratorium          ,233.03,34.0,LO Pseudohastigerina spp.
101,628.0,A,Post Moratorium          ,257.78,36.599998,LO Turborotalia cerroazulensis gr.
101,628.0,A,Post Moratorium          ,257.79,36.599998,LO Hantkenina spp.
104,642.0,B,Initial Reports          ,37.11,0.73,Brunhes/Matuyama
104,642.0,B,Initial Reports          ,41.96,0.91,Top Jaramillo
104,642.0,B,Initial Reports          ,45.56,0.98,Base Jaramillo
104,642.0,B,Initial Reports          ,52.75,1.66,Top Olduvai
104,642.0,B,Initial Reports          ,55.15,1.88,Base Olduvai
104,642.0,B,Initial Reports          ,64.65,2.47,Matuyama/Gauss
104,642.0,B,Initial Reports          ,69.99,3.4,Gauss/Gilbert
104,642.0,B,Initial Reports          ,79.76,5.35,Gilbert/Epoch 5
104,642.0,B,Initial Reports          ,83.35,5.89,Epoch 5/Epoch 6
104,642.0,B,Initial Reports          ,95.33,6.7,Epoch 6/Epoch 7
104,642.0,B,Initial Reports          ,113.02,7.41,Epoch 7/Epoch 8
104,642.0,C,Initial Reports          ,33.57,0.73,Brunhes/Mattuyama
104,642.0,C,Initial Reports          ,39.57,0.91,Top Jaramillo
104,642.0,C,Initial Reports          ,42.97,0.98,Base Jaramillo
104,642.0,C,Initial Reports          ,51.05,1.66,Top Olduvai
104,642.0,C,Initial Reports          ,53.92,1.88,Base Olduvai
104,642.0,C,Initial Reports          ,60.11,2.47,Matuyama/Gauss
104,642.0,C,Initial Reports          ,79.76,5.35,Gilbert /Epoch 5
104,642.0,C,Initial Reports          ,84.76,5.89,Epoch 5/Epoch 6
104,642.0,C,Initial Reports          ,94.26,6.7,Epoch 6/Epoch 7
104,642.0,C,Initial Reports          ,114.76,7.41,Epoch 7/Epoch 8
104,643.0,A,Initial Reports          ,26.56,0.73,Brunhes /Matuyama
104,643.0,A,Initial Reports          ,29.94,0.91,Top Jaramillo
104,643.0,A,Initial Reports          ,31.46,0.98,Base Jaramillo
104,643.0,A,Initial Reports          ,49.71,1.66,Top Olduvai
104,643.0,A,Initial Reports          ,54.34,1.88,Base Olduvai
104,643.0,A,Initial Reports          ,63.2,2.47,Matuyama/Gauss
104,643.0,A,Initial Reports          ,77.86,3.4,Gauss /Gilbert
104,643.0,A,Initial Reports          ,87.11,5.35,Gilbert /Epoch 5
104,644.0,A,Initial Reports          ,22.0,0.135,FO Emiliania huxleyi
104,644.0,A,Initial Reports          ,51.0,0.35,LO Pseudoemiliania lacunosa
104,644.0,A,Initial Reports          ,81.77,0.73,Brunhes /Matuyama
104,644.0,A,Initial Reports          ,103.81,0.91,Top Jaramillo
104,644.0,A,Initial Reports          ,111.22,0.98,Base Jaramillo
104,644.0,A,Initial Reports          ,166.31,1.66,Top Olduvai
104,644.0,A,Initial Reports          ,180.81,1.88,Base Olduvai
104,644.0,A,Initial Reports          ,225.21,2.47,Matuyama /Gauss
105,645.0,B,Initial Reports          ,95.0,0.73,Brunhes /Matuyama
105,645.0,B,Initial Reports          ,115.0,0.91,Top Jaramillo
105,645.0,B,Initial Reports          ,126.0,0.98,Base Jaramillo
105,645.0,B,Initial Reports          ,242.0,1.66,Top Olduvai
105,645.0,B,Initial Reports          ,269.5,2.5,FO Neogloboquadrina pachyderma
105,645.0,D,Initial Reports          ,459.0,3.4,Base Gauss
105,645.0,E,Initial Reports          ,613.0,8.92,Top Chron C-11
105,645.0,E,Initial Reports          ,679.0,10.42,Base Chron C-11
105,645.0,E,Initial Reports          ,782.0,16.5,FO Reticulofenestra pseudoumbilica
105,645.0,E,Initial Reports          ,1055.0,20.549999,FO Globigerina praebulloides
105,645.0,E,Initial Reports          ,1111.5,20.6,LO Distatodinium paradoxum
