exp,site,hole,core_num,type,section,sec_half,top_offset_cm,bottom_offset_cm,volume_cc,top40,CCSF_A_m,benthic_species,δ13C,d13C_stdev,d18O,d18O_stdev,user_id,user_name,notes
361,U1474,F,1,H,1,W,3,4,18,CM1,0,,,,,,,,
361,U1474,F,1,H,1,W,15,16,18,CM2,0.12,cib,0.493,0.024,2.83,0.023,,,
361,U1474,F,1,H,1,W,27,28,18,CM3,0.24,,,,,,,,
361,U1474,F,1,H,1,W,40,41,18,CM4,0.37,uvi,-0.547,0.03,4.969,0.029,,,
361,U1474,F,1,H,1,W,52,53,18,CM5,0.49,uvi,-0.512,0.013,5.155,0.022,,,
361,U1474,F,1,H,1,W,64,65,18,CM6,0.61,uvi,-0.598,0.016,5.097,0.028,,,
361,U1474,F,1,H,1,W,64,65,18,CM6,0.61,uvi,-0.639,0.01,5.11,0.019,,,
361,U1474,F,1,H,1,W,76,77,18,CM7,0.73,cib,0.128,0.013,4.34,0.023,,,
361,U1474,F,1,H,1,W,89,90,18,CM8,0.86,cib,0.238,0.014,4.236,0.031,,,
361,U1474,F,1,H,1,W,101,102,18,CM9,0.98,cib,0.466,0.02,4.151,0.047,,,
361,U1474,F,1,H,1,W,101,102,18,CM9,0.98,cib,-0.211,0.025,4.734,0.016,,,
361,U1474,F,1,H,1,W,113,114,18,CM10,1.1,cib,0.43,0.013,3.961,0.021,,,
361,U1474,F,1,H,1,W,113,114,18,CM10,1.1,cib,0.652,0.021,4.065,0.024,,,
361,U1474,F,1,H,1,W,113,114,18,CM10,1.1,uvi,-0.215,0.026,4.482,0.028,,,
361,U1474,F,1,H,1,W,125,126,18,CM11,1.22,cib,0.377,0.013,3.754,0.033,,,
361,U1474,F,1,H,1,W,125,126,18,CM11,1.22,uvi,-0.125,0.012,4.506,0.028,,,
361,U1474,F,1,H,1,W,125,126,18,CM11,1.22,uvi,-0.195,0.012,4.555,0.028,,,
361,U1474,F,1,H,1,W,125,126,18,CM11,1.22,uvi,-0.661,0.009,4.648,0.021,,,
361,U1474,F,1,H,1,W,138,139,18,CM12,1.35,uvi,-0.507,0.021,4.625,0.027,,,
361,U1474,F,1,H,2,W,0,1,18,CM13,1.47,,,,,,,,
361,U1474,F,1,H,2,W,12,13,18,CM14,1.59,cib,,,3.553,0.026,,,
361,U1474,F,1,H,2,W,24,25,18,CM15,1.71,,,,,,,,
361,U1474,F,1,H,2,W,37,38,18,CM16,1.84,uvi,-0.08,0.021,4.514,0.027,,,
361,U1474,F,1,H,2,W,49,50,18,CM17,1.96,cib,-0.375,0.012,4.185,0.028,,,
361,U1474,F,1,H,2,W,61,62,18,CM18,2.08,uvi,-0.526,0.014,4.617,0.017,,Chiza Mwinde,
361,U1474,F,1,H,2,W,73,74,18,CM19,2.2,uvi,-0.183,0.011,4.39,0.025,,Chiza Mwinde,
361,U1474,F,1,H,2,W,86,87,18,CM20,2.33,cib,0.492,0.008,3.781,0.035,,Chiza Mwinde,
361,U1474,F,1,H,2,W,86,87,18,CM20,2.33,uvi,-0.271,0.017,4.195,0.017,,Chiza Mwinde,
