"Exp","Site","Hole","Core","Type","Sect","A/W","Top depth CSF-A (m)","Bottom depth CSF-A (m)","Top depth CCSF-361-U1474-ABDEF-20160220 (m)","Bottom depth CCSF-361-U1474-ABDEF-20160220 (m)","Display status (T/F)","Uncropped image (JPG) link","Uncropped image filename","Cropped image (JPG) link","Cropped image filename","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Comments"
"361","U1474","A","1","H","1","A","0.000","1.500","0.000","1.500","T","33375001","361-u1474a-1h-1-a_shlf7597381_20160210181424.jpg","33375011","361-u1474a-1h-1-a_shlf7597381_20160210181424_trim.jpg","2016-02-11 00:15:55","CV-L107C-L170542B","SHIL","SHLF7597381","94784501",""
"361","U1474","A","1","H","2","A","1.500","3.000","1.500","3.000","T","33375141","361-u1474a-1h-2-a_shlf7597411_20160210182107.jpg","33375151","361-u1474a-1h-2-a_shlf7597411_20160210182107_trim.jpg","2016-02-11 00:22:52","CV-L107C-L170542B","SHIL","SHLF7597411","94784551",""
"361","U1474","A","1","H","3","A","3.000","4.010","3.000","4.010","T","33375471","361-u1474a-1h-3-a_shlf7597441_20160210183144.jpg","33375481","361-u1474a-1h-3-a_shlf7597441_20160210183144_trim.jpg","2016-02-11 00:33:36","CV-L107C-L170542B","SHIL","SHLF7597441","94785481",""
"361","U1474","A","1","H","4","A","4.010","5.240","4.010","5.240","T","33375971","361-u1474a-1h-4-a_shlf7597471_20160210184915.jpg","33375981","361-u1474a-1h-4-a_shlf7597471_20160210184915_trim.jpg","2016-02-11 00:50:27","CV-L107C-L170542B","SHIL","SHLF7597471","94786201",""
"361","U1474","A","1","H","CC","A","5.240","5.430","5.240","5.430","T","33376121","361-u1474a-1h-cc-a_shlf7597501_20160210185041.jpg","33376131","361-u1474a-1h-cc-a_shlf7597501_20160210185041_trim.jpg","2016-02-11 00:51:29","CV-L107C-L170542B","SHIL","SHLF7597501","94786271",""
"361","U1474","A","2","H","1","A","5.400","6.900","3.902","5.402","T","33379131","361-u1474a-2h-1-a_shlf7597791_20160210211840.jpg","33379141","361-u1474a-2h-1-a_shlf7597791_20160210211840_trim.jpg","2016-02-11 03:20:00","CV-L107C-L170542B","SHIL","SHLF7597791","94801211",""
"361","U1474","A","2","H","2","A","6.900","8.400","5.402","6.902","T","33379261","361-u1474a-2h-2-a_shlf7597821_20160210212206.jpg","33379281","361-u1474a-2h-2-a_shlf7597821_20160210212206_trim.jpg","2016-02-11 03:24:40","CV-L107C-L170542B","SHIL","SHLF7597821","94801321",""
"361","U1474","A","2","H","3","A","8.400","9.900","6.902","8.402","T","33379411","361-u1474a-2h-3-a_shlf7597851_20160210212637.jpg","33379421","361-u1474a-2h-3-a_shlf7597851_20160210212637_trim.jpg","2016-02-11 03:28:41","CV-L107C-L170542B","SHIL","SHLF7597851","94801381",""
"361","U1474","A","2","H","4","A","9.900","11.400","8.402","9.902","T","33379461","361-u1474a-2h-4-a_shlf7597881_20160210213012.jpg","33379471","361-u1474a-2h-4-a_shlf7597881_20160210213012_trim.jpg","2016-02-11 03:33:05","CV-L107C-L170542B","SHIL","SHLF7597881","94801591",""
"361","U1474","A","2","H","5","A","11.400","12.900","9.902","11.402","T","33379611","361-u1474a-2h-5-a_shlf7597911_20160210213422.jpg","33379621","361-u1474a-2h-5-a_shlf7597911_20160210213422_trim.jpg","2016-02-11 03:36:07","CV-L107C-L170542B","SHIL","SHLF7597911","94801701",""
"361","U1474","A","2","H","6","A","12.900","14.110","11.402","12.612","T","33380111","361-u1474a-2h-6-a_shlf7597941_20160210215556.jpg","33380121","361-u1474a-2h-6-a_shlf7597941_20160210215556_trim.jpg","2016-02-11 03:58:15","CV-L107C-L170542B","SHIL","SHLF7597941","94804751",""
"361","U1474","A","2","H","7","A","14.110","14.650","12.612","13.152","T","33380191","361-u1474a-2h-7-a_shlf7597971_20160210220334.jpg","33380201","361-u1474a-2h-7-a_shlf7597971_20160210220334_trim.jpg","2016-02-11 04:05:26","CV-L107C-L170542B","SHIL","SHLF7597971","94805441",""
