Section,Top Depth CCSF (m),Bottom Depth CCSF (m)
U1474D_1H2,2.42,2.45
U1474D_1H4,5.89,5.93
U1474F_2H2,5.73,5.75
U1474F_2H3,6.33,6.35
U1474F_2H4,8.49,8.53
U1474F_2H5,8.95,9
U1474F_2H5,9.09,9.11
U1474F_2H5,9.44,9.46
U1474F_2H5,10.27,10.28
U1474F_2H6,11.23,11.25
U1474D_3H1,11.24,11.26
U1474D_3H3,14.62,14.67
U1474D_3H4,15.16,15.18
U1474D_3H4,15.24,15.26
U1474D_3H5,17.72,17.75
U1474D_3H5,17.82,17.86
U1474A_3H4,18.6,18.63
U1474A_3H4,19.03,19.06
U1474A_3H5,19.64,19.67
U1474A_3H5,19.99,20.01
U1474A_3H5,20.07,20.09
U1474D_4H2,20.2,20.23
U1474D_4H3,20.4,20.42
U1474D_4H3,20.5,20.52
U1474F_4H3,26.1,26.13
U1474A_4H4,30.34,30.39
U1474A_4H6,33.25,33.27
U1474F_5H3,36.165,36.17
U1474F_5H3,36.34,36.35
U1474D_6H1,41.8,41.87
U1474D_6H1,41.88,41.89
U1474D_6H5,43.42,43.43
U1474D_6H5,43.78,43.85
U1474D_6H5,46.69,46.7
U1474D_6H5,46.94,46.95
U1474D_6H6,48.71,48.75
U1474D_7H3,53.8,53.82
U1474D_7H4,55.96,55.98
U1474D_7H5,56.33,56.35
U1474D_7H5,56.59,56.61
U1474D_7H6,56.21,56.23
U1474F_7H5,59.88,59.9
U1474F_7H5,60.09,60.11
U1474D_8H2,62.22,62.24
U1474D_8H2,62.43,62.45
U1474D_8H3,62.63,62.65
U1474D_8H4,64.87,64.9
U1474F_8H4,69.7,69.74
U1474F_8H5,70.06,70.09
U1474F_8H5,70.69,70.72
U1474F_8H6,71.42,71.45
U1474A_8H5,72.54,72.57
U1474F_9H1,74.46,74.49
U1474F_9H1,75.33,75.35
U1474F_9H4,79.94,79.97
