Exp,Site,Hole,Core,Type,Section,A/W,Top offset (cm),Bottom offset (cm),Top depth CCSF (m),Bottom depth CCSF (m),d18O stack species,benthic d18O,cib d13C,uvi d13C
361,U1474,F,1,H,1,W,15.0,16.0,0.15,0.16,cib,3.47,0.493,
361,U1474,F,1,H,1,W,40.0,41.0,0.4,0.41,uvi,4.969,,-0.547
361,U1474,F,1,H,1,W,52.0,53.0,0.52,0.53,uvi,5.155,,-0.512
361,U1474,F,1,H,1,W,64.0,65.0,0.64,0.65,uvi & cib,5.1035,,-0.6185
361,U1474,F,1,H,1,W,76.0,77.0,0.76,0.77,cib,4.9799999999999995,0.128,
361,U1474,F,1,H,1,W,89.0,90.0,0.89,0.9,cib,4.8759999999999994,0.238,
361,U1474,F,1,H,1,W,101.0,102.0,1.01,1.02,uvi & cib,5.0825,0.1275,
361,U1474,F,1,H,1,W,113.0,114.0,1.13,1.14,uvi & cib,4.596,0.541,-0.215
361,U1474,F,1,H,1,W,125.0,126.0,1.25,1.26,uvi & cib,4.52575,0.377,-0.327
361,U1474,F,1,H,1,W,138.0,139.0,1.38,1.39,uvi,4.625,,-0.507
361,U1474,F,1,H,2,W,37.0,38.0,1.87,1.88,uvi,4.514,,-0.08
361,U1474,F,1,H,2,W,49.0,50.0,1.99,2.0,cib,4.824999999999999,-0.375,
361,U1474,F,1,H,2,W,61.0,62.0,2.11,2.12,uvi,4.617,,-0.526
361,U1474,F,1,H,2,W,73.0,74.0,2.23,2.24,uvi,4.39,,-0.183
361,U1474,F,1,H,2,W,86.0,87.0,2.36,2.37,uvi & cib,4.326333333333333,0.492,-0.2565
361,U1474,D,1,H,2,W,83.0,84.0,2.4819999999999998,2.492,uvi & cib,4.023,0.718,-0.114
361,U1474,D,1,H,2,W,95.0,96.0,2.602,2.612,uvi & cib,3.9146666666666667,0.743,-0.156
361,U1474,D,1,H,2,W,107.0,108.0,2.722,2.732,uvi & cib,4.1894,0.5,-0.308
361,U1474,D,1,H,2,W,132.0,133.0,2.972,2.982,uvi & cib,4.0725,0.727,-0.17733333333333334
361,U1474,D,1,H,2,W,144.0,145.0,3.0919999999999996,3.102,uvi & cib,3.924666666666667,0.617,-0.2695
361,U1474,D,1,H,3,W,20.0,21.0,3.3520000000000003,3.362,uvi & cib,3.9116666666666666,0.523,-0.5585
361,U1474,D,1,H,3,W,33.0,34.0,3.482,3.492,uvi & cib,3.9405,0.248,-0.187
361,U1474,D,1,H,3,W,45.0,46.0,3.6020000000000003,3.612,uvi & cib,4.024,0.402,-0.27
361,U1474,D,1,H,3,W,57.0,58.0,3.722,3.732,uvi & cib,3.921333333333333,0.663,-0.1935
361,U1474,D,1,H,3,W,69.0,70.0,3.842,3.8520000000000003,uvi & cib,3.862,,0.0315
361,U1474,D,1,H,3,W,82.0,83.0,3.972,3.982,uvi & cib,3.2415000000000003,0.9495,
361,U1474,D,1,H,3,W,94.0,95.0,4.0920000000000005,4.102,cib,3.327,0.484,
361,U1474,D,1,H,3,W,106.0,107.0,4.212,4.222,uvi & cib,4.7235,-0.234,-0.782
361,U1474,D,1,H,3,W,118.0,119.0,4.332,4.3420000000000005,cib,4.7299999999999995,0.263,
361,U1474,D,1,H,4,W,17.0,18.0,4.822,4.832,cib,4.968999999999999,0.443,
361,U1474,D,1,H,4,W,30.0,31.0,4.952,4.962,cib,4.9079999999999995,-0.277,
361,U1474,D,1,H,4,W,42.0,43.0,5.072,5.082,uvi,4.823,,-0.766
361,U1474,D,1,H,4,W,54.0,55.0,5.192,5.202,uvi,4.728,,-0.954
361,U1474,D,1,H,4,W,66.0,67.0,5.312,5.322,uvi,4.687,,-0.845
361,U1474,F,2,H,2,W,109.0,110.0,5.4399999999999995,5.449999999999999,uvi & cib,4.558666666666666,0.122,-0.7464999999999999
361,U1474,F,2,H,2,W,121.0,122.0,5.56,5.569999999999999,uvi & cib,4.807,-0.002,-0.776
361,U1474,F,2,H,2,W,133.0,134.0,5.68,5.6899999999999995,uvi & cib,4.5,-0.312,-0.924
361,U1474,F,2,H,2,W,145.0,146.0,5.8,5.81,uvi & cib,4.529,-0.208,-0.794
361,U1474,F,2,H,3,W,8.0,9.0,5.93,5.9399999999999995,uvi & cib,4.6594999999999995,-0.463,-0.929
361,U1474,F,2,H,3,W,20.0,21.0,6.05,6.06,uvi & cib,4.628,-0.102,-0.772
361,U1474,F,2,H,3,W,32.0,33.0,6.17,6.18,uvi & cib,4.309,0.125,-0.579
361,U1474,F,2,H,3,W,44.0,45.0,6.29,6.3,uvi & cib,4.0035,0.12,-0.531
361,U1474,F,2,H,3,W,56.0,57.0,6.41,6.42,uvi & cib,3.9725,0.399,-0.373
361,U1474,F,2,H,3,W,69.0,70.0,6.539999999999999,6.55,uvi & cib,3.9205,0.552,-0.386
361,U1474,F,2,H,3,W,81.0,82.0,6.66,6.67,uvi & cib,3.79,0.126,-0.532
361,U1474,F,2,H,3,W,93.0,94.0,6.779999999999999,6.789999999999999,uvi & cib,3.967,0.646,-0.152
361,U1474,F,2,H,3,W,105.0,106.0,6.8999999999999995,6.91,uvi & cib,3.7455,0.68,-0.279
361,U1474,F,2,H,3,W,118.0,119.0,7.029999999999999,7.039999999999999,uvi & cib,3.657,0.86,-0.203
361,U1474,F,2,H,3,W,130.0,131.0,7.1499999999999995,7.16,cib,3.71,0.42,
361,U1474,F,2,H,3,W,142.0,143.0,7.27,7.279999999999999,uvi & cib,3.8075,0.606,-0.59
361,U1474,F,2,H,4,W,4.0,5.0,7.39,7.3999999999999995,uvi & cib,4.0495,0.19,-0.629
361,U1474,F,2,H,4,W,17.0,18.0,7.52,7.529999999999999,uvi & cib,4.5705,-0.152,-0.89
361,U1474,F,2,H,4,W,29.0,30.0,7.64,7.6499999999999995,uvi & cib,4.6345,-0.091,-0.924
361,U1474,F,2,H,4,W,41.0,42.0,7.76,7.77,uvi & cib,4.3815,0.241,-0.493
361,U1474,F,2,H,4,W,115.0,116.0,8.5,8.51,uvi & cib,4.753,-0.165,-0.532
361,U1474,F,2,H,4,W,127.0,128.0,8.62,8.629999999999999,uvi & cib,4.715,0.012,-0.741
361,U1474,F,2,H,4,W,139.0,140.0,8.74,8.75,uvi & cib,4.824999999999999,0.094,-0.814
361,U1474,F,2,H,5,W,1.0,2.0,8.86,8.87,uvi & cib,4.7535,-0.018,-0.919
361,U1474,F,2,H,5,W,26.0,27.0,9.11,9.12,uvi & cib,4.794499999999999,-0.003,-0.661
361,U1474,F,2,H,5,W,38.0,39.0,9.23,9.24,uvi & cib,4.727,-0.126,-1.088
361,U1474,F,2,H,5,W,50.0,51.0,9.35,9.36,uvi & cib,4.599,-0.436,-0.907
361,U1474,F,2,H,5,W,62.0,63.0,9.469999999999999,9.48,uvi & cib,4.7865,-0.464,-1.117
361,U1474,F,2,H,5,W,75.0,76.0,9.6,9.61,uvi & cib,4.846,-0.666,-1.069
361,U1474,F,2,H,5,W,87.0,88.0,9.719999999999999,9.73,uvi & cib,4.725,-0.484,-1.134
361,U1474,F,2,H,5,W,99.0,100.0,9.84,9.85,uvi & cib,4.6685,-0.693,-0.965
361,U1474,F,2,H,5,W,111.0,112.0,9.959999999999999,9.969999999999999,uvi & cib,4.3555,0.476,-0.566
