Era,Leg/Exp,Site,Hole,Latitude,Longitude,Water depth (m),Transition Depth,Green bands assoc. with transition,Red bands assoc. with transition,Green bands deeper than transiition,Red bands deeper than transiition,Unusable image,Bottomwater O2 (umol/L),Holocene-LGM CaCO3 (%),Organic Carbon (%),CaCO3 (%),Productivity (mgC/m2/day),Sedimentation Rate (cm/ka)
DSDP,1,1,*,25.8583,-92.1833,2827,None,FALSE,FALSE,FALSE,FALSE,FALSE,,9.888888888888886,0.6961193084716797,,240.18179321289065,18.76567268371582
DSDP,1,4,*,24.478,-73.792,5319,None,FALSE,FALSE,FALSE,FALSE,TRUE,250.8125,11.384615384615389,0.397281289,28.0875,132.1124267578125,0.5597407221794128
DSDP,1,5,*,24.7265,-73.641,5354,None,FALSE,FALSE,FALSE,FALSE,TRUE,250.8125,11.384615384615389,0.4217695891857147,28.0875,132.1124267578125,0.6152594089508057
DSDP,1,7,*,30.134,-68.2967,5182,None,FALSE,FALSE,FALSE,FALSE,FALSE,260.6875,20.444444444444443,0.5212348699569702,15.495,158.8913574,0.7364625334739685
DSDP,3,13,*,6.04,-18.2285,4585,None,FALSE,FALSE,FALSE,FALSE,FALSE,242.125,24.8125,0.5905801057815552,27.557499999999997,334.465332,1.8768832683563232
DSDP,3,14,*,-28.3315,-20.941,4343,None,FALSE,FALSE,FALSE,FALSE,FALSE,230.6875,10.999999999999991,0.2972792387008667,78.065,172.93130493164062,0.2938086986541748
DSDP,3,15,*,-30.8897,-17.9832,3927,None,FALSE,FALSE,FALSE,FALSE,FALSE,245.375,10.999999999999991,0.3026116788387298,89.4775,181.9329833984375,0.5243052840232849
DSDP,3,16,*,-30.3358,-15.7132,3527,None,FALSE,FALSE,FALSE,FALSE,FALSE,245.5625,10.999999999999991,0.2744933664798736,90.8925,180.1869354248047,0.9922720193862916
DSDP,3,17,*,-28.0457,-6.6025,4265,None,FALSE,FALSE,FALSE,FALSE,FALSE,235.25,10.999999999999991,0.272087425,91.2675,173.4777374267578,0.3559125661849975
DSDP,3,18,*,-27.9787,-8.0117,4018,None,FALSE,FALSE,FALSE,FALSE,FALSE,235.9375,10.999999999999991,0.2693572342395782,90.5025,164.46141052246094,0.4514245986938476
DSDP,3,19,*,-28.5347,-23.6772,4677,None,FALSE,FALSE,FALSE,FALSE,FALSE,228.1875,10.999999999999991,0.3270730078220367,42.905,178.48910522460938,0.2584031820297241
DSDP,3,22,*,-30.0052,-35.25,2134,None,FALSE,FALSE,FALSE,FALSE,FALSE,218.75,10.999999999999991,0.4066023230552673,34.2,283.92340087890625,0.8828005790710449
DSDP,4,23,*,-6.1458,-31.0433,5079,None,FALSE,FALSE,FALSE,FALSE,TRUE,226.5625,10.999999999999991,0.3544846475124359,11.45,143.2307891845703,1.3491754531860352
DSDP,4,25,*,-0.5167,-39.24,1916,None,FALSE,FALSE,FALSE,FALSE,FALSE,229.6875,18.095238095238106,0.4213777184486389,48.91,257.1156005859375,1.826634168624878
DSDP,4,29,*,14.7852,-69.3227,4247,None,FALSE,FALSE,FALSE,FALSE,FALSE,,9.888888888888886,0.9735878705978394,41.3425,380.0613403320313,0.7175775170326233
DSDP,4,31,*,14.9433,-72.0272,3369,None,FALSE,FALSE,FALSE,FALSE,FALSE,,9.888888888888886,0.7964133024215698,52.8625,313.3685607910156,0.7571026086807251
DSDP,5,32,*,37.1272,-127.5563,4758,None,FALSE,FALSE,FALSE,FALSE,FALSE,130.5625,-14.77777778,0.7199265956878662,0.8225,622.6430053710938,1.096629619598389
DSDP,5,33,*,39.4747,-127.4968,4284,None,FALSE,FALSE,FALSE,FALSE,FALSE,115.8125,-14.77777778,0.825698733,1.145,729.6407470703125,4.330684661865234
DSDP,5,35,*,40.6737,-127.4747,3273,None,FALSE,FALSE,FALSE,FALSE,FALSE,109.625,-14.77777778,1.2253031730651855,4.79,770.0686035,10.360051155090332
DSDP,5,36,*,40.9847,-130.1097,3273,None,FALSE,FALSE,FALSE,FALSE,FALSE,125.4375,-14.77777778,0.74845475,1.6475,463.9610290527344,2.1581788063049316
