Exp,Site,Hole,Core,Type,Sect,A/W,Top Offset (cm),Bottom Offset (cm),Top Depth CCSF (m),Bottom Depth CCSF (m),Benthic d18O (VPDB),s d18O,Benthic d13C (VPDB),s d13C,Total Weight (g),Coarse Fraction (g),Coarse Fraction (%),Carbonate (g),Carbonate (%),Pyrite > 250 (mg),Pyrite > 250 (mg/g sample)
361,U1474,F,3,H,3,W,5,6,35.914,35.924,4.7,0.0515,-0.5195,0.0195,15.77,2.06,13.06277743,0.1991,31.80003194,0.632,40.07609385
361,U1475,F,3,H,3,W,18,19,36.044,36.054,4.738,0.059,-0.58775,0.02225,14.34,1.46,10.18131102,0.3295,49.80350665,6.736,469.735007
361,U1476,F,3,H,3,W,30,31,36.164,36.174,4.633,0.04525,-0.5115,0.031,14.71,2.53,17.19918423,0.6693,59.05761934,3.416,232.2229776
361,U1477,F,3,H,3,W,42,43,36.284,36.294,4.391,0.033,-0.053,0.014666667,14.91,3.91,26.22401073,1.3356,72.11273689,1.062,71.22736419
361,U1478,F,3,H,3,W,54,55,36.404,36.414,4.223,0.037333333,-0.211,0.022333333,16.16,3.44,21.28712871,1.1679,66.08011769,0.0,0.0
361,U1479,F,3,H,3,W,67,68,36.534,36.544,4.161,0.06575,-0.03975,0.0275,14.95,3.89,26.02006689,1.1001,63.25321987,0.0,0.0
361,U1480,F,3,H,3,W,79,80,36.654,36.664,4.384,0.06375,-0.23175,0.03325,16.12,3.83,23.75930521,1.2059,61.50354465,0.0,0.0
361,U1481,F,3,H,3,W,91,92,36.774,36.784,4.707,0.051666667,-0.997666667,0.024333333,13.24,0.49,3.700906344,0.073,31.64282618,4.723,356.7220544
361,U1482,F,3,H,3,W,103,104,36.894,36.904,4.806,0.0525,-0.66125,0.02825,13.57,0.81,5.969049374,0.1374,36.72814755,3.825,281.871776
361,U1483,F,3,H,3,W,115,116,37.014,37.024,4.656,0.097,-0.812,0.025,15.53,1.23,7.92015454,0.1912,33.84669853,4.63,298.1326465
361,U1484,F,3,H,3,W,128,129,37.144,37.154,4.603,0.065,-0.789,0.042,15.49,1.22,7.876049064,0.2076,37.800437,3.197,206.3912201
361,U1485,F,3,H,3,W,140,141,37.264,37.274,4.528,0.0475,-0.515,0.023,12.89,1.16,8.999224205,0.2397,47.5689621,3.424,265.6322731
