SectionLabel,Si/Al Threshold,Top depth CCSF (m),Bottom depth CCSF (m),Thickness (cm)
U1474D_1H3,13,3.148,3.274,12.6
U1474F_2H4,13,8.634,8.714,8
U1474D_3H2,12,12.275,12.305,3
U1474A_3H5,12,20.408,20.492,8.4
U1474F_4H5,13,29.226,29.296,7
U1474F_5H1,12,33.748,33.82,7.2
U1474F_5H2,13,35.653,35.701,4.8
U1474F_5H5,14.25,40.138,40.45,31.2
U1474D_6H2,13,43.315,43.347,3.2
U1474D_7H2,13,52.751,52.825,7.4
U1474D_8H5,13,66.889,66.955,6.6
U1474F_8H5,14,71.164,71.226,6.2
U1474F_9H1,13,75.3,75.354,5.4
U1474F_9H2,14,76.373,76.845,47.2
U1474F_9H6,14,81.851,81.891,4
U1474D_10H2,14,83.632,83.722,9
U1474D_10H2,,84.07,84.11,4
U1474D_10H4,14,87.401,87.445,4.4
U1474D_11H1,13,93.52,93.594,7.4
U1474F_11H6,14,104.06,104.122,6.2
U1474D_12H2,14,104.993,105.045,5.2
U1474F_12H5,12.9,113.085,113.121,3.6
U1474E_2H4,12,116.786,117.028,24.2
U1474E_2H5,13.5,118.405,118.489,8.4
U1474D_14H3,13.5,127.519,127.563,4.4
U1474A_14H5,13,136.875,136.973,9.8
U1474F_15H5,12,142.751,142.981,23
U1474E_6H2,12.5,147.578,147.666,8.8
U1474F_16H4,12,151.473,151.577,10.4
U1474F_16H5,14.1,153.089,153.309,22
U1474A_16H6,14,155.589,155.661,7.2
U1474E_8H2,13,165.328,165.511,18.3
U1474E_8H4,12,168.634,168.91,27.6
U1474E_9H3,13.2,177.944,178.102,15.8
U1474F_19H4,12,183.12,183.234,11.4
U1474E_10F1,13,185.817,185.851,3.4
U1474F_20H2,13,189.182,189.222,4
U1474A_20H1,11,191.654,191.83,17.6
U1474A_20H6,10.5,198.181,198.207,2.6
U1474F_23F3,12,216.023,216.174,15.1
U1474E_18F1,12,227.5,227.546,4.6
U1474E_19F2,12,233.4,233.472,7.2
U1474F_30F3,13,249.328,249.37,4.2
