Exp,Site,Hole,Core,Type,Section,A/W,Top offset (cm),Bottom offset (cm),Top depth CCSF (m),Bottom depth CCSF (m),Species,benthic d18O,s d18O,benthic d13C,s d13C
361,U1474,F,1,H,1,W,15.0,16.0,0.15,0.16,cib,3.47,0.023,0.423,0.024
361,U1474,F,1,H,1,W,40.0,41.0,0.4,0.41,uvi,4.969,0.029,0.2829999999999999,0.03
361,U1474,F,1,H,1,W,52.0,53.0,0.52,0.53,uvi,5.155,0.022,0.31799999999999995,0.013
361,U1474,F,1,H,1,W,64.0,65.0,0.64,0.65,uvi & cib,5.1035,0.0235,0.21149999999999997,0.013000000000000001
361,U1474,F,1,H,1,W,76.0,77.0,0.76,0.77,cib,4.9799999999999995,0.023,0.057999999999999996,0.013
361,U1474,F,1,H,1,W,89.0,90.0,0.89,0.9,cib,4.8759999999999994,0.031,0.16799999999999998,0.014
361,U1474,F,1,H,1,W,101.0,102.0,1.01,1.02,uvi & cib,5.0825,0.0315,0.057499999999999996,0.0225
361,U1474,F,1,H,1,W,113.0,114.0,1.13,1.14,uvi & cib,4.596,0.024333333333333335,0.519,0.02
361,U1474,F,1,H,1,W,125.0,126.0,1.25,1.26,uvi & cib,4.52575,0.0275,0.45399999999999996,0.0115
361,U1474,F,1,H,1,W,138.0,139.0,1.38,1.39,uvi,4.625,0.027,0.32299999999999995,0.021
361,U1474,F,1,H,2,W,37.0,38.0,1.87,1.88,uvi,4.514,0.027,0.75,0.021
361,U1474,F,1,H,2,W,49.0,50.0,1.99,2.0,cib,4.824999999999999,0.028,-0.445,0.012
361,U1474,F,1,H,2,W,61.0,62.0,2.11,2.12,uvi,4.617,0.017,0.30399999999999994,0.014
361,U1474,F,1,H,2,W,73.0,74.0,2.23,2.24,uvi,4.39,0.025,0.647,0.011
361,U1474,F,1,H,2,W,86.0,87.0,2.36,2.37,uvi & cib,4.326333333333333,0.025000000000000005,0.523,0.015
361,U1474,D,1,H,2,W,83.0,84.0,2.4819999999999998,2.492,uvi & cib,4.023,0.030000000000000002,0.6819999999999999,0.011
361,U1474,D,1,H,2,W,95.0,96.0,2.602,2.612,uvi & cib,3.9146666666666667,0.023000000000000003,0.6733333333333332,0.018
361,U1474,D,1,H,2,W,107.0,108.0,2.722,2.732,uvi & cib,4.1894,0.040600000000000004,0.48519999999999996,0.0196
361,U1474,D,1,H,2,W,132.0,133.0,2.972,2.982,uvi & cib,4.0725,0.027,0.6537499999999999,0.01625
361,U1474,D,1,H,2,W,144.0,145.0,3.0919999999999996,3.102,uvi & cib,3.924666666666667,0.024000000000000004,0.5559999999999999,0.018666666666666668
