Era,Leg/Exp,Site,Hole,Latitude,Longitude,Water depth (m),Transition Depth,Green bands assoc. with transition,Red bands assoc. with transition,Green bands deeper than transiition,Red bands deeper than transiition,Unusable image,Bottomwater O2 (umol/L),CaCO3 (%),Productivity (mgC/m2/day),Organic Carbon (%),Sedimentation Rate (cm/ka)
DSDP,1,1,*,25.8583,-92.1833,2827.0,None,False,False,False,False,False,,,240.18179321289065,0.6961193084716797,18.76567268371582
DSDP,1,4,*,24.478,-73.792,5319.0,None,False,False,False,False,True,250.8125,28.0875,132.1124267578125,0.397281289100647,0.5597407221794128
DSDP,1,5,*,24.7265,-73.641,5354.0,None,False,False,False,False,True,250.8125,28.0875,132.1124267578125,0.4217695891857147,0.6152594089508057
DSDP,1,7,*,30.134,-68.2967,5182.0,None,False,False,False,False,False,260.6875,15.495,158.891357421875,0.5212348699569702,0.7364625334739685
DSDP,3,13,*,6.04,-18.2285,4585.0,None,False,False,False,False,False,242.125,27.557499999999997,334.46533203125,0.5905801057815552,1.8768832683563232
DSDP,3,14,*,-28.3315,-20.941,4343.0,None,False,False,False,False,False,230.6875,78.065,172.93130493164062,0.2972792387008667,0.2938086986541748
DSDP,3,15,*,-30.8897,-17.9832,3927.0,None,False,False,False,False,False,245.375,89.4775,181.9329833984375,0.3026116788387298,0.5243052840232849
DSDP,3,16,*,-30.3358,-15.7132,3527.0,None,False,False,False,False,False,245.5625,90.8925,180.1869354248047,0.2744933664798736,0.9922720193862916
DSDP,3,17,*,-28.0457,-6.6025,4265.0,None,False,False,False,False,False,235.25,91.2675,173.4777374267578,0.272087424993515,0.3559125661849975
DSDP,3,18,*,-27.9787,-8.0117,4018.0,None,False,False,False,False,False,235.9375,90.5025,164.46141052246094,0.2693572342395782,0.4514245986938476
DSDP,3,19,*,-28.5347,-23.6772,4677.0,None,False,False,False,False,False,228.1875,42.905,178.48910522460938,0.3270730078220367,0.2584031820297241
DSDP,3,22,*,-30.0052,-35.25,2134.0,None,False,False,False,False,False,218.75,34.2,283.92340087890625,0.4066023230552673,0.8828005790710449
DSDP,4,23,*,-6.1458,-31.0433,5079.0,None,False,False,False,False,True,226.5625,11.45,143.2307891845703,0.3544846475124359,1.3491754531860352
