Code,Hmin,Hmax,Smin,Smax,Vmin,Vmax,U1474,1313
30-0-20,30,39.9,0,9.9,20,29.9,False,False
30-0-30,30,39.9,0,9.9,30,39.9,False,False
30-0-40,30,39.9,0,9.9,40,49.9,False,False
30-0-50,30,39.9,0,9.9,50,59.9,False,False
30-0-60,30,39.9,0,9.9,60,69.9,False,False
30-0-70,30,39.9,0,9.9,70,79.9,False,False
30-0-80,30,39.9,0,9.9,80,89.9,False,False
30-0-90,30,39.9,0,9.9,90,99.9,False,False
30-10-20,30,39.9,10,19.9,20,29.9,False,False
30-10-30,30,39.9,10,19.9,30,39.9,False,False
30-10-40,30,39.9,10,19.9,40,49.9,False,False
30-10-50,30,39.9,10,19.9,50,59.9,False,False
30-10-60,30,39.9,10,19.9,60,69.9,False,False
30-10-70,30,39.9,10,19.9,70,79.9,False,False
30-10-80,30,39.9,10,19.9,80,89.9,False,False
30-10-90,30,39.9,10,19.9,90,99.9,False,False
30-20-20,30,39.9,20,29.9,20,29.9,False,False
30-20-30,30,39.9,20,29.9,30,39.9,False,False
30-20-40,30,39.9,20,29.9,40,49.9,False,False
30-20-50,30,39.9,20,29.9,50,59.9,False,False
30-20-60,30,39.9,20,29.9,60,69.9,False,False
30-20-70,30,39.9,20,29.9,70,79.9,False,False
30-20-80,30,39.9,20,29.9,80,89.9,False,False
30-20-90,30,39.9,20,29.9,90,99.9,False,False
30-30-0,30,39.9,30,39.9,0,9.9,False,False
30-30-10,30,39.9,30,39.9,10,19.9,False,False
30-30-20,30,39.9,30,39.9,20,29.9,False,False
30-30-30,30,39.9,30,39.9,30,39.9,False,False
30-30-40,30,39.9,30,39.9,40,49.9,False,False
30-30-50,30,39.9,30,39.9,50,59.9,False,False
30-30-60,30,39.9,30,39.9,60,69.9,False,False
30-30-70,30,39.9,30,39.9,70,79.9,False,False
30-30-80,30,39.9,30,39.9,80,89.9,False,False
30-30-90,30,39.9,30,39.9,90,99.9,False,False
30-40-0,30,39.9,40,49.9,0,9.9,False,False
30-40-10,30,39.9,40,49.9,10,19.9,False,False
30-40-20,30,39.9,40,49.9,20,29.9,False,False
30-40-30,30,39.9,40,49.9,30,39.9,False,False
30-40-40,30,39.9,40,49.9,40,49.9,False,False
30-40-50,30,39.9,40,49.9,50,59.9,False,False
30-40-60,30,39.9,40,49.9,60,69.9,False,False
30-40-70,30,39.9,40,49.9,70,79.9,False,False
30-50-0,30,39.9,50,59.9,0,9.9,False,False
30-50-10,30,39.9,50,59.9,10,19.9,False,False
30-50-20,30,39.9,50,59.9,20,29.9,False,False
30-50-30,30,39.9,50,59.9,30,39.9,False,False
30-50-40,30,39.9,50,59.9,40,49.9,False,False
30-50-50,30,39.9,50,59.9,50,59.9,False,False
30-60-0,30,39.9,60,69.9,0,9.9,False,False
30-60-10,30,39.9,60,69.9,10,19.9,False,False
30-60-20,30,39.9,60,69.9,20,29.9,False,False
30-60-30,30,39.9,60,69.9,30,39.9,False,False
30-60-40,30,39.9,60,69.9,40,49.9,False,False
30-70-0,30,39.9,70,79.9,0,9.9,False,False
30-70-10,30,39.9,70,79.9,10,19.9,False,False
30-80-0,30,39.9,80,89.9,0,9.9,False,False
30-80-10,30,39.9,80,89.9,10,19.9,False,False
40-0-20,40,49.9,0,9.9,20,29.9,False,False
40-0-30,40,49.9,0,9.9,30,39.9,False,False
40-0-40,40,49.9,0,9.9,40,49.9,False,False
40-0-50,40,49.9,0,9.9,50,59.9,False,False
40-0-60,40,49.9,0,9.9,60,69.9,False,False
40-0-70,40,49.9,0,9.9,70,79.9,False,False
40-0-80,40,49.9,0,9.9,80,89.9,False,False
40-0-90,40,49.9,0,9.9,90,99.9,False,False
40-10-20,40,49.9,10,19.9,20,29.9,False,False
40-10-30,40,49.9,10,19.9,30,39.9,False,False
40-10-40,40,49.9,10,19.9,40,49.9,False,False
40-10-50,40,49.9,10,19.9,50,59.9,False,False
40-10-60,40,49.9,10,19.9,60,69.9,False,False
40-10-70,40,49.9,10,19.9,70,79.9,False,False
40-10-80,40,49.9,10,19.9,80,89.9,False,False
40-10-90,40,49.9,10,19.9,90,99.9,False,False
40-20-20,40,49.9,20,29.9,20,29.9,False,False
40-20-30,40,49.9,20,29.9,30,39.9,False,False
40-20-40,40,49.9,20,29.9,40,49.9,False,False
40-20-50,40,49.9,20,29.9,50,59.9,False,False
40-20-60,40,49.9,20,29.9,60,69.9,False,False
40-20-70,40,49.9,20,29.9,70,79.9,False,False
40-20-80,40,49.9,20,29.9,80,89.9,False,False
40-20-90,40,49.9,20,29.9,90,99.9,False,False
40-30-0,40,49.9,30,39.9,0,9.9,False,False
40-30-10,40,49.9,30,39.9,10,19.9,False,False
40-30-20,40,49.9,30,39.9,20,29.9,False,False
40-30-30,40,49.9,30,39.9,30,39.9,True,False
