Exp,Site,Hole,Core,Type,Section,Top Offset (cm),Bottom Offset (cm),Top Depth CSF-A (m),Bottom Depth CSF-A (m),Top Depth CCSF (m),Bottom Depth CCSF (m),Thickness (cm),N,Class
361,U1474,F,1,H,1,33.9,35.4,0.33899999999999997,0.354,0.339,0.354,1.5,853,1
361,U1474,F,1,H,1,37.1,41.0,0.371,0.41,0.371,0.41,3.9,854,1
361,U1474,F,1,H,1,53.4,54.1,0.534,0.541,0.534,0.541,0.7,856,1
361,U1474,F,1,H,1,57.7,58.7,0.5770000000000001,0.5870000000000001,0.577,0.587,1.0,857,2
361,U1474,F,1,H,1,59.6,60.3,0.596,0.603,0.596,0.603,0.7,858,3
361,U1474,F,1,H,1,60.4,61.4,0.604,0.614,0.604,0.614,1.0,859,3
361,U1474,F,1,H,1,61.5,62.4,0.615,0.624,0.615,0.624,0.9,860,3
361,U1474,F,1,H,1,64.2,67.5,0.642,0.675,0.642,0.675,3.3,861,3
361,U1474,F,1,H,1,74.2,75.5,0.742,0.755,0.742,0.755,1.3,863,2
361,U1474,F,1,H,2,-1.5,3.0,1.485,1.53,1.505,1.517,4.5,870,2
361,U1474,F,1,H,2,4.0,5.7,1.54,1.557,1.54,1.557,1.7,872,1
361,U1474,D,1,H,3,107.0,109.3,4.07,4.093,4.222,4.245,2.3,501,3
361,U1474,D,1,H,3,120.3,121.1,4.203,4.211,4.355,4.363,0.8,502,2
361,U1474,D,1,H,4,66.3,67.0,5.163,5.17,5.315,5.322,0.7,514,3
361,U1474,D,1,H,4,67.1,69.5,5.171,5.195,5.323,5.347,2.4,515,3
361,U1474,D,1,H,4,69.6,70.3,5.196,5.203,5.348,5.355,0.7,516,2
361,U1474,F,2,H,2,109.5,110.7,5.795,5.807,5.445,5.457,1.2,905,2
361,U1474,F,2,H,3,22.3,22.9,6.423,6.429,6.073,6.079,0.6,906,2
361,U1474,F,2,H,3,23.6,25.1,6.436,6.4510000000000005,6.086,6.101,1.5,908,3
361,U1474,F,2,H,3,25.2,25.6,6.452,6.456,6.102,6.106,0.4,909,3
361,U1474,F,2,H,3,113.1,114.9,7.331,7.349,6.981,6.999,1.8,911,3
361,U1474,F,2,H,3,115.0,116.1,7.35,7.361000000000001,7.0,7.011,1.1,912,2
361,U1474,F,2,H,3,116.8,117.1,7.368,7.371,7.018,7.021,0.3,913,1
361,U1474,F,2,H,4,100.8,102.5,8.708,8.725,8.358,8.375,1.7,914,3
361,U1474,F,2,H,4,121.8,122.1,8.918,8.921,8.568,8.571,0.3,917,2
361,U1474,F,2,H,4,122.2,123.6,8.922,8.936,8.572,8.586,1.4,918,2
361,U1474,F,2,H,4,125.3,126.2,8.953,8.962,8.603,8.612,0.9,919,2
361,U1474,F,2,H,4,126.3,126.6,8.963000000000001,8.966000000000001,8.613,8.616,0.3,920,2
361,U1474,F,2,H,4,145.1,147.1,9.151,9.171,8.801,8.821,2.0,929,2
361,U1474,F,2,H,4,147.8,148.9,9.178,9.189,8.828,8.839,1.1,930,1
361,U1474,F,2,H,5,-0.7,3.5,9.193,9.235,8.843,8.885,4.2,931,3
361,U1474,F,2,H,5,4.6,6.2,9.245999999999999,9.261999999999999,8.896,8.912,1.6,933,3
361,U1474,F,2,H,5,40.7,41.5,9.607,9.614999999999998,9.257,9.265,0.8,939,3
361,U1474,F,2,H,5,41.6,41.8,9.616,9.617999999999999,9.266,9.268,0.2,940,3
361,U1474,F,2,H,5,72.5,73.0,9.924999999999999,9.93,9.575,9.58,0.5,942,1
361,U1474,F,2,H,5,74.6,74.8,9.946,9.947999999999999,9.596,9.598,0.2,943,1
