Exp,Hole,Core,Section,Top offset (cm),Bottom offset (cm),SectionLabel
U1474,A,2,1,0,112,U1474A_2H1
U1474,A,3,1,0,150,U1474A_3H1
U1474,A,3,2,0,4,U1474A_3H2
U1474,A,4,1,0,50,U1474A_4H1
U1474,A,5,1,0,150,U1474A_5H1
U1474,A,5,2,0,150,U1474A_5H2
U1474,A,5,3,0,150,U1474A_5H3
U1474,A,5,4,0,150,U1474A_5H4
U1474,A,5,5,0,23,U1474A_5H5
U1474,A,6,1,0,113,U1474A_6H1
U1474,A,7,1,0,135,U1474A_7H1
U1474,A,8,1,0,150,U1474A_8H1
U1474,A,8,2,0,8,U1474A_8H2
U1474,A,9,1,0,58,U1474A_9H1
U1474,A,1,1,0,150,U1474A_10H1
U1474,A,1,1,0,7,U1474A_11H1
U1474,A,1,1,0,63,U1474A_12H1
U1474,A,1,1,0,86,U1474A_13H1
U1474,A,1,1,0,75,U1474A_14H1
U1474,A,1,1,0,8,U1474A_15H1
U1474,A,1,1,0,31,U1474A_16H1
U1474,A,1,1,0,28,U1474A_17H1
U1474,A,1,7,39,75,U1474A_18H7
U1474,A,1,1,0,60,U1474A_18H1
U1474,A,1,1,0,71,U1474A_19H1
U1474,A,2,1,0,21,U1474A_20H1
U1474,A,2,1,0,64,U1474A_21H1
U1474,B,1,1,0,8,U1474B_1H1
U1474,B,2,1,0,113,U1474B_2H1
U1474,B,3,1,0,151,U1474B_3H1
U1474,B,5,1,0,38,U1474B_5H1
U1474,B,6,1,0,35,U1474B_6H1
U1474,B,7,1,0,70,U1474B_7H1
U1474,B,8,1,0,52,U1474B_8H1
U1474,B,9,1,0,10,U1474B_9H1
U1474,B,1,1,0,75,U1474B_10H1
U1474,B,1,1,0,11,U1474B_11H1
U1474,B,1,1,0,11,U1474B_12H1
U1474,B,1,1,0,128,U1474B_13H1
U1474,B,1,1,0,115,U1474B_14H1
U1474,B,1,1,0,93,U1474B_15H1
U1474,B,1,1,0,5,U1474B_16H1
U1474,B,1,1,0,5,U1474B_16H1
U1474,B,1,4,34,105,U1474B_16H4
U1474,C,1,1,0,10,U1474C_1H1
U1474,D,2,1,0,20,U1474D_2H1
U1474,D,3,1,0,65,U1474D_3H1
U1474,D,4,1,0,37,U1474D_4H1
U1474,D,5,1,0,150,U1474D_5H1
U1474,D,6,1,0,65,U1474D_6H1
U1474,D,7,1,0,70,U1474D_7H1
U1474,D,8,1,0,102,U1474D_8H1
U1474,D,9,1,0,10,U1474D_9H1
U1474,D,1,1,0,12,U1474D_10H1
U1474,D,1,1,0,16,U1474D_11H1
U1474,D,1,1,0,71,U1474D_12H1
U1474,D,1,1,0,7,U1474D_13H1
U1474,D,1,1,0,73,U1474D_14H1
U1474,F,2,1,0,120,U1474F_2H1
U1474,F,3,1,0,121,U1474F_3H1
U1474,F,4,1,0,25,U1474F_4H1
U1474,F,5,1,0,67,U1474F_5H1
U1474,F,6,1,0,33,U1474F_6H1
U1474,F,6,2,55,110,U1474F_6H2
U1474,F,7,1,0,52,U1474F_7H1
U1474,F,8,1,0,5,U1474F_8H1
U1474,F,9,1,0,5,U1474F_9H1
